Principais culturas temporárias (Alto Alentejo - Campo Maior),,,,,,,,,,,
,,,,,,,,,,,Pág 3/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Alter do Chão,,,,,,,,,,
,Culturas temporárias,   190 ,  6 620 ,   141 ,  6 234 ,   71 ,   388 ,- ,- ,   71 ,   388 
,Cereais para grão,   80 ,  3 267 ,   72 ,  3 211 ,   12 ,   57 ,- ,- ,   12 ,   57 
,Leguminosas secas para grão,   4 ,   24 ,   3 ,   23 ,   1 ,... ,- ,- ,   1 ,... 
,Prados temporários,   4 ,   132 ,   4 ,   132 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   135 ,  2 935 ,   89 ,  2 606 ,   59 ,   329 ,- ,- ,   59 ,   329 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   4 ,   236 ,   4 ,   236 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   15 ,   27 ,   14 ,   26 ,   1 ,... ,- ,- ,   1 ,... 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Arronches,,,,,,,,,,
,Culturas temporárias,   217 ,  6 127 ,   190 ,  5 961 ,   70 ,   164 ,   4 ,   14 ,   67 ,   151 
,Cereais para grão,   69 ,  4 158 ,   67 ,  4 147 ,   3 ,   11 ,- ,- ,   3 ,   11 
,Leguminosas secas para grão,   5 ,   8 ,   3 ,   8 ,   2 ,... ,- ,- ,   2 ,... 
,Prados temporários,   5 ,   56 ,   5 ,   56 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   164 ,  1 764 ,   138 ,  1 611 ,   65 ,   152 ,   4 ,   14 ,   62 ,   140 
,Batata,   1 ,... ,- ,- ,   1 ,... ,- ,- ,   1 ,... 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   5 ,   81 ,   5 ,   81 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   6 ,   17 ,   5 ,   17 ,   1 ,... ,- ,- ,   1 ,... 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Avis,,,,,,,,,,
,Culturas temporárias,   231 ,  11 388 ,   201 ,  10 716 ,   91 ,   672 ,   8 ,   116 ,   87 ,   555 
,Cereais para grão,   140 ,  6 510 ,   128 ,  6 219 ,   41 ,   292 ,   2 ,... ,   39 ,   286 
,Leguminosas secas para grão,   20 ,   250 ,   13 ,   194 ,   7 ,   56 ,- ,- ,   7 ,   56 
,Prados temporários,   20 ,   171 ,   17 ,   161 ,   4 ,   10 ,- ,- ,   4 ,   10 
,Culturas forrageiras,   95 ,  2 741 ,   72 ,  2 461 ,   38 ,   279 ,   6 ,   110 ,   34 ,   169 
,Batata,   5 ,   3 ,   4 ,   3 ,   1 ,... ,- ,- ,   1 ,... 
,Beterraba sacarina,   8 ,   253 ,   8 ,   253 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   25 ,   939 ,   25 ,   939 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   62 ,   520 ,   52 ,   484 ,   15 ,   36 ,- ,- ,   15 ,   36 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Campo Maior,,,,,,,,,,
,Culturas temporárias,   228 ,  8 798 ,   227 ,  8 788 ,   4 ,   10 ,- ,- ,   4 ,   10 
,Cereais para grão,   198 ,  6 669 ,   198 ,  6 669 ,- ,- ,- ,- ,- ,- 
,Leguminosas secas para grão,   5 ,   28 ,   5 ,   28 ,- ,- ,- ,- ,- ,- 
,Prados temporários,   6 ,   73 ,   5 ,   72 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   18 ,   146 ,   17 ,   138 ,   2 ,... ,- ,- ,   2 ,... 
,Batata,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   7 ,   120 ,   7 ,   120 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   49 ,  1 441 ,   49 ,  1 441 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   26 ,   320 ,   25 ,   320 ,   1 ,... ,- ,- ,   1 ,... 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
