Efectivo animal (Alentejo Central - Portel),,,,,,,,,
,,,,,,,,,Pág 8/13
,,Évora,,Montemor-o-Novo,,Mourão,,Portel,
,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,   181 ,  29 260 ,   240 ,  31 989 ,   74 ,  7 390 ,   50 ,  5 816 
Bovinos com menos de 1 ano,,   160 ,  7 650 ,   217 ,  8 440 ,   58 ,  1 544 ,   48 ,  1 399 
Vitelos de carne (para abate < 1 ano),,   11 ,   219 ,   3 ,   116 ,- ,- ,   4 ,   14 
Outros vitelos,,   155 ,  7 431 ,   216 ,  8 324 ,   58 ,  1 544 ,   44 ,  1 385 
,Machos,   143 ,  3 733 ,   207 ,  3 996 ,   54 ,   771 ,   39 ,   628 
,Fêmeas,   143 ,  3 698 ,   203 ,  4 328 ,   50 ,   773 ,   41 ,   757 
Bovinos de 1 a menos de 2 anos,,   114 ,  3 629 ,   137 ,  3 936 ,   37 ,   517 ,   26 ,   346 
Machos,,   54 ,  1 026 ,   65 ,  1 343 ,   11 ,   128 ,   11 ,   40 
Fêmeas reprodutoras,,   102 ,  2 570 ,   102 ,  2 138 ,   35 ,   389 ,   22 ,   296 
Fêmeas não reprodutoras,,   5 ,   33 ,   18 ,   455 ,- ,- ,   1 ,... 
Bovinos de 2 anos e mais,,   168 ,  17 981 ,   230 ,  19 613 ,   73 ,  5 329 ,   49 ,  4 071 
Machos,,   139 ,   737 ,   201 ,   487 ,   42 ,   552 ,   40 ,   105 
Novilhas reprodutoras,,   41 ,  1 208 ,   44 ,   610 ,   32 ,   393 ,   9 ,   74 
Novilhas não reprodutoras,,   1 ,... ,- ,- ,   1 ,... ,- ,- 
Vacas leiteiras,,   25 ,  1 317 ,   16 ,  2 191 ,   1 ,... ,   3 ,   393 
Outras vacas,,   141 ,  14 715 ,   214 ,  16 325 ,   70 ,  4 368 ,   46 ,  3 499 
SUÍNOS,,   174 ,  8 373 ,   152 ,  81 943 ,   40 ,  1 754 ,   87 ,  4 349 
Suínos com menos de 20 kg de PV,,   46 ,  2 600 ,   61 ,  22 587 ,   11 ,   353 ,   29 ,  1 243 
Fêmeas reprodutoras de 50 kg de PV e mais,,   74 ,  2 173 ,   78 ,  9 970 ,   20 ,   553 ,   46 ,  1 066 
Outros suínos,,   170 ,  3 600 ,   148 ,  49 386 ,   39 ,   848 ,   78 ,  2 040 
OVINOS,,   432 ,  61 908 ,   430 ,  77 663 ,   110 ,  8 326 ,   226 ,  25 386 
Fêmeas reprodutoras,,   416 ,  48 453 ,   423 ,  59 593 ,   110 ,  7 245 ,   222 ,  19 415 
Outros ovinos,,   407 ,  13 455 ,   422 ,  18 070 ,   97 ,  1 081 ,   205 ,  5 971 
CAPRINOS,,   62 ,  1 237 ,   34 ,  1 061 ,   61 ,  2 469 ,   63 ,  4 828 
