Explorações segundo o número de caprinos (Baixo Alentejo - Vidigueira),,,,,,,,
,,,,,,,,Pág 2/2
REGIÃO AGRÁRIA,,Total,Classes de número de animais,,,,,
Nut III / Concelho,,,1 a 9,10 a 19,20 a 49,50 a 99,100 a 499,> = 500
Borba,expl,   31 ,   16 ,   8 ,   3 ,   3 ,   1 ,- 
,efect,   721 ,   48 ,   122 ,   130 ,   201 ,... ,- 
Estremoz,expl,   59 ,   31 ,   6 ,   8 ,   2 ,   10 ,   2 
,efect,  4 562 ,   105 ,   90 ,   211 ,... ,  2 699 ,... 
Évora,expl,   62 ,   46 ,   9 ,   2 ,   2 ,   3 ,- 
,efect,  1 237 ,   176 ,   121 ,... ,... ,   740 ,- 
Montemor-o-Novo,expl,   34 ,   22 ,   4 ,   5 ,   2 ,- ,   1 
,efect,  1 061 ,   61 ,   51 ,   130 ,... ,- ,... 
Mourão,expl,   61 ,   34 ,   11 ,   4 ,   2 ,   10 ,- 
,efect,  2 469 ,   172 ,   144 ,   118 ,... ,  1 908 ,- 
Portel,expl,   63 ,   30 ,   10 ,   8 ,   1 ,   12 ,   2 
,efect,  4 828 ,   130 ,   130 ,   227 ,... ,  3 207 ,... 
Redondo,expl,   62 ,   36 ,   12 ,   7 ,   4 ,   3 ,- 
,efect,  1 682 ,   142 ,   159 ,   180 ,   296 ,   905 ,- 
Reguengos de Monsaraz,expl,   144 ,   89 ,   20 ,   19 ,   7 ,   9 ,- 
,efect,  3 982 ,   308 ,   272 ,   631 ,   440 ,  2 331 ,- 
Sousel,expl,   10 ,   10 ,- ,- ,- ,- ,- 
,efect,   44 ,   44 ,- ,- ,- ,- ,- 
Vendas Novas,expl,   6 ,   6 ,- ,- ,- ,- ,- 
,efect,   29 ,   29 ,- ,- ,- ,- ,- 
Viana do Alentejo,expl,   14 ,   6 ,   4 ,- ,   2 ,   2 ,- 
,efect,   754 ,   16 ,   56 ,- ,... ,... ,- 
Vila Viçosa,expl,   25 ,   14 ,   2 ,   4 ,- ,   5 ,- 
,efect,  1 349 ,   55 ,... ,   114 ,- ,  1 152 ,- 
Baixo Alentejo,expl,   942 ,   479 ,   120 ,   149 ,   82 ,   108 ,   4 
,efect,  36 693 ,  1 886 ,  1 598 ,  4 570 ,  5 634 ,  20 329 ,  2 676 
Aljustrel,expl,   14 ,   6 ,   1 ,   2 ,   5 ,- ,- 
,efect,   469 ,   35 ,... ,... ,   347 ,- ,- 
Almodôvar,expl,   173 ,   90 ,   22 ,   30 ,   16 ,   15 ,- 
,efect,  5 445 ,   374 ,   290 ,   983 ,  1 087 ,  2 711 ,- 
Alvito,expl,   6 ,   2 ,   2 ,   2 ,- ,- ,- 
,efect,   93 ,... ,... ,... ,- ,- ,- 
Barrancos,expl,   30 ,   12 ,   6 ,   8 ,   1 ,   3 ,- 
,efect,  1 465 ,   62 ,   81 ,   240 ,... ,  1 011 ,- 
Beja,expl,   73 ,   24 ,   7 ,   15 ,   11 ,   15 ,   1 
,efect,  4 973 ,   93 ,   94 ,   443 ,   779 ,  2 837 ,... 
Castro Verde,expl,   55 ,   31 ,   13 ,   7 ,   2 ,   2 ,- 
,efect,   951 ,   130 ,   180 ,   185 ,... ,... ,- 
Cuba,expl,   17 ,   11 ,   2 ,   1 ,- ,   3 ,- 
,efect,   577 ,   46 ,... ,... ,- ,   471 ,- 
Ferreira do Alentejo,expl,   18 ,   5 ,   1 ,   6 ,   6 ,- ,- 
,efect,   547 ,   19 ,... ,   159 ,   358 ,- ,- 
Mértola,expl,   135 ,   91 ,   21 ,   9 ,   4 ,   9 ,   1 
,efect,  4 265 ,   339 ,   280 ,   271 ,   276 ,  2 249 ,... 
Moura,expl,   138 ,   56 ,   14 ,   28 ,   16 ,   22 ,   2 
,efect,  7 204 ,   243 ,   176 ,   854 ,  1 117 ,  3 715 ,... 
Ourique,expl,   109 ,   57 ,   14 ,   15 ,   12 ,   11 ,- 
,efect,  3 329 ,   195 ,   175 ,   430 ,   804 ,  1 725 ,- 
Serpa,expl,   134 ,   88 ,   11 ,   14 ,   5 ,   16 ,- 
,efect,  4 157 ,   324 ,   160 ,   428 ,   345 ,  2 900 ,- 
Vidigueira,expl,   40 ,   6 ,   6 ,   12 ,   4 ,   12 ,- 
,efect,  3 218 ,   21 ,   85 ,   408 ,   328 ,  2 376 ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,
