Máquinas e equipamentos (Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 3/5
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
Explorações que utilizam tractores,,expl (nº),  1 053 ,  1 428 ,   784 ,  7 612 ,   790 ,   334 ,   417 ,   845 ,   971 ,   623 
Máquinas pertencentes à exploração,,,,,,,,,,,,
Tractores ( de rodas e de rasto),,expl (nº),   305 ,   356 ,   323 ,  3 363 ,   243 ,   214 ,   146 ,   380 ,   454 ,   366 
,,máq (nº),   347 ,   489 ,   407 ,  5 684 ,   346 ,   404 ,   210 ,   549 ,   930 ,   748 
,De menos de 20 c.v.,expl (nº),   43 ,   82 ,   26 ,   144 ,   8 ,   3 ,   10 ,   16 ,   22 ,   18 
,,máq (nº),   43 ,   82 ,   26 ,   146 ,   8 ,   3 ,   10 ,   16 ,   22 ,   19 
,De 20 a menos de 34 c.v.,expl (nº),   65 ,   73 ,   59 ,   263 ,   14 ,   13 ,   18 ,   30 ,   51 ,   30 
,,máq (nº),   65 ,   73 ,   59 ,   268 ,   14 ,   15 ,   18 ,   30 ,   52 ,   30 
,De 34 a menos de 55 c.v.,expl (nº),   80 ,   60 ,   89 ,   727 ,   27 ,   40 ,   46 ,   59 ,   98 ,   63 
,,máq (nº),   80 ,   65 ,   89 ,   779 ,   31 ,   42 ,   49 ,   63 ,   104 ,   73 
,De 55 a menos de 82 c.v.,expl (nº),   118 ,   121 ,   141 ,  2 172 ,   182 ,   154 ,   79 ,   257 ,   259 ,   255 
,,máq (nº),   137 ,   160 ,   181 ,  3 044 ,   238 ,   220 ,   103 ,   318 ,   404 ,   418 
,De 82 a menos de 109 c.v,expl (nº),   13 ,   48 ,   32 ,   728 ,   31 ,   66 ,   14 ,   67 ,   143 ,   111 
,,máq (nº),   14 ,   79 ,   40 ,  1 019 ,   36 ,   82 ,   25 ,   93 ,   235 ,   146 
,De 109 c.v. e mais,expl (nº),   5 ,   21 ,   11 ,   300 ,   14 ,   30 ,   4 ,   24 ,   79 ,   45 
,,máq (nº),   8 ,   30 ,   12 ,   428 ,   19 ,   42 ,   5 ,   29 ,   113 ,   62 
Motocultivadores,,expl (nº),   138 ,   340 ,   381 ,   703 ,   12 ,   39 ,   57 ,   90 ,   160 ,   95 
,,máq (nº),   142 ,   344 ,   390 ,   717 ,   12 ,   41 ,   57 ,   91 ,   166 ,   96 
Motoenxadas (motofresas),,expl (nº),   15 ,   63 ,   267 ,   301 ,   13 ,   10 ,   7 ,   34 ,   49 ,   58 
,,máq (nº),   16 ,   64 ,   270 ,   303 ,   13 ,   10 ,   7 ,   34 ,   50 ,   58 
Motoceifeiras (motogadanheiras),,expl (nº),   24 ,   2 ,   15 ,   62 ,   12 ,   3 ,- ,   2 ,   10 ,   13 
,,máq (nº),   24 ,... ,   19 ,   68 ,   14 ,   3 ,- ,... ,   11 ,   15 
Electrobomba/motobomba,,expl (nº),   287 ,  1 558 ,   905 ,  3 634 ,   111 ,   192 ,   239 ,   426 ,   570 ,   511 
,,máq (nº),   377 ,  2 253 ,  1 296 ,  7 122 ,   210 ,   414 ,   395 ,   703 ,  1 331 ,  1 229 
Distribuidores de adubos e correctivos,,expl (nº),   60 ,   84 ,   72 ,  1 717 ,   124 ,   139 ,   43 ,   222 ,   278 ,   243 
,,máq (nº),   64 ,   98 ,   83 ,  2 117 ,   145 ,   176 ,   48 ,   250 ,   372 ,   319 
Semeadores,,expl (nº),   15 ,   38 ,   46 ,  1 009 ,   48 ,   64 ,   27 ,   105 ,   168 ,   122 
,,máq (nº),   17 ,   43 ,   49 ,  1 266 ,   60 ,   85 ,   33 ,   116 ,   256 ,   148 
Plantadores/transplantadores,,expl (nº),- ,   16 ,   6 ,   66 ,- ,- ,   2 ,   2 ,   16 ,   14 
,,máq (nº),- ,   16 ,   6 ,   73 ,- ,- ,... ,... ,   16 ,   15 
Pulverizadores e polvilhadores,,expl (nº),   13 ,   55 ,   41 ,  1 137 ,   30 ,   31 ,   73 ,   105 ,   174 ,   129 
,,máq (nº),   15 ,   62 ,   53 ,  1 479 ,   43 ,   39 ,   92 ,   128 ,   214 ,   159 
Gadanheiras,,expl (nº),   103 ,   43 ,   116 ,  1 171 ,   73 ,   110 ,   19 ,   109 ,   188 ,   220 
,,máq (nº),   115 ,   53 ,   127 ,  1 447 ,   80 ,   136 ,   19 ,   121 ,   240 ,   283 
Colhedores de forragem,,expl (nº),   2 ,   11 ,   17 ,   165 ,   15 ,   15 ,   2 ,   15 ,   27 ,   29 
,,máq (nº),... ,   13 ,   20 ,   187 ,   16 ,   17 ,... ,   17 ,   33 ,   32 
