Principais características da população familiar (Homem/Mulher / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 4/15
,,,Mourão,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa,Baixo Alentejo,Aljustrel
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
População familiar,,,   953 ,  2 049 ,  1 848 ,  2 537 ,  1 308 ,   643 ,   797 ,   808 ,  26 235 ,  1 375 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   136 ,   312 ,   340 ,   337 ,   167 ,   82 ,   131 ,   136 ,  4 711 ,   179 
,Sabe ler e escrever,,   136 ,   305 ,   224 ,   445 ,   107 ,   91 ,   105 ,   121 ,  3 457 ,   161 
,Básico - 1º ciclo,,   316 ,   726 ,   630 ,   821 ,   583 ,   239 ,   245 ,   249 ,  8 847 ,   478 
,Básico - 2º ciclo,,   118 ,   246 ,   197 ,   244 ,   124 ,   62 ,   84 ,   74 ,  3 136 ,   189 
,Básico - 3º ciclo,,   112 ,   188 ,   158 ,   262 ,   119 ,   70 ,   84 ,   86 ,  2 604 ,   163 
,Secundário agrícola,,   2 ,   13 ,   12 ,   13 ,   13 ,   2 ,   13 ,   4 ,   234 ,   3 
,Secundário não agrícola,,   68 ,   123 ,   154 ,   243 ,   110 ,   52 ,   66 ,   72 ,  1 768 ,   103 
,Politécnico / Superior agrícola,,   3 ,   25 ,   28 ,   23 ,   18 ,   8 ,   24 ,   9 ,   342 ,   30 
,Politécnico / Superior não agrícola,,   62 ,   111 ,   105 ,   149 ,   67 ,   37 ,   45 ,   57 ,  1 136 ,   69 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   784 ,  1 520 ,  1 123 ,  2 140 ,   735 ,   480 ,   547 ,   516 ,  17 286 ,  1 008 
,Curta duração,,   14 ,   8 ,   34 ,   74 ,   16 ,   12 ,   8 ,   1 ,   211 ,   5 
,Longa duração,,   15 ,   32 ,   42 ,   29 ,   25 ,   7 ,   16 ,   4 ,   458 ,   9 
,Longa e curta duração,,   4 ,   7 ,   8 ,   30 ,   4 ,   13 ,   6 ,   5 ,   224 ,   2 
,Completa,,   5 ,   38 ,   40 ,   36 ,   31 ,   10 ,   37 ,   13 ,   576 ,   33 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   137 ,   514 ,   661 ,   232 ,   523 ,   205 ,   220 ,   292 ,  8 231 ,   373 
,Tempo parcial,,   807 ,  1 399 ,  1 067 ,  2 257 ,   664 ,   343 ,   448 ,   437 ,  15 841 ,   803 
,,> 0 - < 25%,   561 ,  1 168 ,   857 ,  1 243 ,   472 ,   109 ,   239 ,   278 ,  10 793 ,   671 
,,25 - < 50%,   131 ,   119 ,   101 ,   519 ,   119 ,   80 ,   69 ,   96 ,  2 551 ,   80 
,,50 - < 75%,   42 ,   69 ,   34 ,   185 ,   44 ,   108 ,   60 ,   42 ,  1 106 ,   26 
,,75 - < 100%,   73 ,   43 ,   75 ,   310 ,   29 ,   46 ,   80 ,   21 ,  1 391 ,   26 
,Tempo completo,,   9 ,   136 ,   120 ,   48 ,   121 ,   95 ,   129 ,   79 ,  2 163 ,   199 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   303 ,   758 ,   698 ,   791 ,   441 ,   240 ,   222 ,   269 ,  6 870 ,   351 
,,Sector primário,   54 ,   218 ,   167 ,   118 ,   122 ,   36 ,   34 ,   32 ,  1 647 ,   100 
,,Sector secundário,   84 ,   160 ,   118 ,   212 ,   58 ,   86 ,   45 ,   96 ,  1 100 ,   61 
