Principais características da população familiar (Mulher / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 11/15
,,,ALENTEJO,Alentejo Litoral,Alcácer do Sal,Grândola,Odemira,Santiago do Cacém,Sines,Alto Alentejo,Alter do Chão,Arronches
Homem (nº indivíduos),,,,,,,,,,,,
População familiar,,,  43 778 ,  7 137 ,  1 207 ,  1 226 ,  2 316 ,  2 104 ,   284 ,  13 048 ,   396 ,   546 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,  9 559 ,  2 008 ,   253 ,   377 ,   775 ,   526 ,   77 ,  3 047 ,   33 ,   138 
,Sabe ler e escrever,,  6 813 ,  1 116 ,   161 ,   181 ,   395 ,   335 ,   44 ,  1 958 ,   37 ,   82 
,Básico - 1º ciclo,,  13 522 ,  1 970 ,   383 ,   351 ,   572 ,   585 ,   79 ,  4 296 ,   191 ,   149 
,Básico - 2º ciclo,,  3 838 ,   627 ,   112 ,   88 ,   204 ,   191 ,   32 ,   965 ,   32 ,   38 
,Básico - 3º ciclo,,  3 616 ,   613 ,   97 ,   87 ,   166 ,   241 ,   22 ,   944 ,   26 ,   40 
,Secundário agrícola,,   240 ,   29 ,   12 ,   12 ,   2 ,   3 ,- ,   78 ,   3 ,   3 
,Secundário não agrícola,,  3 277 ,   461 ,   100 ,   73 ,   130 ,   137 ,   21 ,   912 ,   32 ,   62 
,Politécnico / Superior agrícola,,   307 ,   34 ,   11 ,   8 ,   4 ,   10 ,   1 ,   82 ,   8 ,   2 
,Politécnico / Superior não agrícola,,  2 606 ,   279 ,   78 ,   49 ,   68 ,   76 ,   8 ,   766 ,   34 ,   32 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  28 785 ,  4 902 ,   776 ,   887 ,  1 672 ,  1 403 ,   164 ,  9 283 ,   337 ,   265 
,Curta duração,,   139 ,   10 ,   2 ,   2 ,   4 ,   1 ,   1 ,   33 ,   3 ,   1 
