Principais características do produtor singular (Homem/Mulher / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 1/15
,,,ALENTEJO,Alentejo Litoral,Alcácer do Sal,Grândola,Odemira,Santiago do Cacém,Sines,Alto Alentejo,Alter do Chão,Arronches
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,  34 445 ,  5 468 ,   818 ,   978 ,  1 878 ,  1 581 ,   213 ,  10 867 ,   333 ,   463 
,Autónomo,,  31 378 ,  5 122 ,   741 ,   950 ,  1 736 ,  1 494 ,   201 ,  10 142 ,   294 ,   427 
,Empresário,,  3 067 ,   346 ,   77 ,   28 ,   142 ,   87 ,   12 ,   725 ,   39 ,   36 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,  6 937 ,  1 461 ,   155 ,   227 ,   641 ,   380 ,   58 ,  2 362 ,   26 ,   105 
,Sabe ler e escrever,,  4 758 ,   873 ,   95 ,   163 ,   346 ,   241 ,   28 ,  1 382 ,   30 ,   69 
,Básico - 1º ciclo,,  15 340 ,  2 271 ,   404 ,   416 ,   643 ,   709 ,   99 ,  4 848 ,   183 ,   170 
,Básico - 2º ciclo,,  2 261 ,   286 ,   44 ,   53 ,   80 ,   98 ,   11 ,   686 ,   22 ,   30 
,Básico - 3º ciclo,,  1 960 ,   224 ,   43 ,   37 ,   58 ,   79 ,   7 ,   589 ,   24 ,   26 
,Secundário agrícola,,   218 ,   23 ,   9 ,   5 ,   5 ,   3 ,   1 ,   69 ,   4 ,   4 
,Secundário não agrícola,,  1 148 ,   117 ,   17 ,   23 ,   47 ,   27 ,   3 ,   365 ,   16 ,   38 
,Politécnico / Superior agrícola,,   609 ,   75 ,   23 ,   16 ,   17 ,   17 ,   2 ,   180 ,   15 ,   6 
,Politécnico / Superior não agrícola,,  1 214 ,   138 ,   28 ,   38 ,   41 ,   27 ,   4 ,   386 ,   13 ,   15 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  31 948 ,  5 177 ,   754 ,   936 ,  1 796 ,  1 489 ,   202 ,  10 256 ,   303 ,   432 
,Curta duração,,   481 ,   45 ,   7 ,   7 ,   9 ,   21 ,   1 ,   84 ,   3 ,   2 
,Longa duração,,   793 ,   101 ,   20 ,   11 ,   36 ,   33 ,   1 ,   176 ,   1 ,   12 
,Longa e curta duração,,   396 ,   47 ,   5 ,   3 ,   15 ,   18 ,   6 ,   102 ,   7 ,   7 
,Completa,,   827 ,   98 ,   32 ,   21 ,   22 ,   20 ,   3 ,   249 ,   19 ,   10 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,  28 264 ,  4 611 ,   596 ,   722 ,  1 680 ,  1 405 ,   208 ,  9 190 ,   295 ,   402 
,,> 0 - < 25%,  14 369 ,  1 800 ,   173 ,   283 ,   619 ,   628 ,   97 ,  4 233 ,   178 ,   175 
,,25 - < 50%,  6 392 ,  1 090 ,   110 ,   161 ,   489 ,   285 ,   45 ,  2 454 ,   44 ,   99 
,,50 - < 75%,  3 555 ,   888 ,   186 ,   105 ,   359 ,   194 ,   44 ,  1 166 ,   17 ,   57 
,,75 - < 100%,  3 948 ,   833 ,   127 ,   173 ,   213 ,   298 ,   22 ,  1 337 ,   56 ,   71 
,Tempo completo,,  6 181 ,   857 ,   222 ,   256 ,   198 ,   176 ,   5 ,  1 677 ,   38 ,   61 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,  10 122 ,  1 464 ,   264 ,   258 ,   421 ,   447 ,   74 ,  3 063 ,   94 ,   118 
,,Sector primário,  2 429 ,   399 ,   95 ,   66 ,   122 ,   103 ,   13 ,   568 ,   22 ,   25 
,,Sector secundário,  2 464 ,   345 ,   66 ,   54 ,   94 ,   112 ,   19 ,   875 ,   21 ,   22 
,,Sector terciário,  5 229 ,   720 ,   103 ,   138 ,   205 ,   232 ,   42 ,  1 620 ,   51 ,   71 
,Secundária,,   448 ,   113 ,   14 ,   31 ,   50 ,   16 ,   2 ,   48 ,- ,   2 
,,Sector primário,   211 ,   61 ,   9 ,   14 ,   28 ,   9 ,   1 ,   24 ,- ,- 
,,Sector secundário,   56 ,   11 ,   1 ,   5 ,   1 ,   4 ,- ,   8 ,- ,- 
,,Sector terciário,   181 ,   41 ,   4 ,   12 ,   21 ,   3 ,   1 ,   16 ,- ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,  1 342 ,   167 ,   33 ,   31 ,   49 ,   50 ,   4 ,   397 ,   11 ,   19 
,Trabalhador por conta própria,,  2 207 ,   455 ,   92 ,   84 ,   145 ,   122 ,   12 ,   514 ,   12 ,   16 
,Trabalhador por conta de outrem,,  6 896 ,   943 ,   152 ,   173 ,   270 ,   288 ,   60 ,  2 186 ,   70 ,   85 
,Trabalhador familiar remunerado,,   35 ,   4 ,   1 ,- ,   3 ,- ,- ,   5 ,- ,- 
,Outra situação,,   90 ,   8 ,- ,   1 ,   4 ,   3 ,- ,   9 ,   1 ,- 
Produtor singular dirigente,,,  33 670 ,  5 336 ,   757 ,   951 ,  1 854 ,  1 561 ,   213 ,  10 660 ,   320 ,   463 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
