Principais características do produtor singular (Homem / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 6/15
,,,ALENTEJO,Alentejo Litoral,Alcácer do Sal,Grândola,Odemira,Santiago do Cacém,Sines,Alto Alentejo,Alter do Chão,Arronches
Homem (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,  28 585 ,  4 529 ,   612 ,   784 ,  1 620 ,  1 322 ,   191 ,  8 889 ,   276 ,   366 
,Autónomo,,  26 097 ,  4 231 ,   547 ,   760 ,  1 492 ,  1 252 ,   180 ,  8 319 ,   247 ,   338 
,Empresário,,  2 488 ,   298 ,   65 ,   24 ,   128 ,   70 ,   11 ,   570 ,   29 ,   28 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,  5 608 ,  1 168 ,   94 ,   164 ,   555 ,   306 ,   49 ,  1 891 ,   23 ,   83 
,Sabe ler e escrever,,  3 758 ,   702 ,   66 ,   128 ,   299 ,   183 ,   26 ,  1 067 ,   25 ,   54 
,Básico - 1º ciclo,,  13 205 ,  1 965 ,   324 ,   355 ,   568 ,   626 ,   92 ,  4 097 ,   158 ,   133 
,Básico - 2º ciclo,,  1 916 ,   239 ,   32 ,   44 ,   69 ,   84 ,   10 ,   572 ,   18 ,   25 
,Básico - 3º ciclo,,  1 636 ,   183 ,   36 ,   29 ,   48 ,   63 ,   7 ,   495 ,   21 ,   21 
,Secundário agrícola,,   186 ,   20 ,   7 ,   4 ,   5 ,   3 ,   1 ,   52 ,   3 ,   3 
,Secundário não agrícola,,   890 ,   86 ,   13 ,   16 ,   34 ,   21 ,   2 ,   277 ,   8 ,   28 
,Politécnico / Superior agrícola,,   555 ,   74 ,   22 ,   16 ,   17 ,   17 ,   2 ,   162 ,   12 ,   5 
,Politécnico / Superior não agrícola,,   831 ,   92 ,   18 ,   28 ,   25 ,   19 ,   2 ,   276 ,   8 ,   14 
Formação profissional agrícola,,,,,,,,,,,,
