Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Alentejo Central - Vila Viçosa),,,,,,,,,
,,,,,,,,,Pág 5/7
,,,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa
Tempo de actividade agrícola dos trabalhadores permanentes,,,   247 ,   271 ,   493 ,   202 ,   171 ,   235 ,   101 
,Tempo parcial,,   45 ,   56 ,   131 ,   25 ,   38 ,   24 ,   24 
,,> 0 - < 25%,   12 ,   16 ,   41 ,   13 ,   32 ,   8 ,   7 
,,25 - < 50%,   18 ,   13 ,   23 ,   3 ,   3 ,   4 ,   10 
,,50 - < 75%,   6 ,   10 ,   37 ,   7 ,   3 ,   5 ,   4 
,,75 - < 100%,   9 ,   17 ,   30 ,   2 ,- ,   7 ,   3 
,Tempo completo,,   202 ,   215 ,   362 ,   177 ,   133 ,   211 ,   77 
Homem,,,   199 ,   222 ,   339 ,   187 ,   129 ,   195 ,   91 
,Tempo parcial,,   34 ,   37 ,   99 ,   23 ,   33 ,   18 ,   21 
,,> 0 - < 25%,   8 ,   12 ,   29 ,   13 ,   30 ,   6 ,   6 
,,25 - < 50%,   13 ,   9 ,   21 ,   2 ,   1 ,   3 ,   10 
,,50 - < 75%,   6 ,   8 ,   22 ,   6 ,   2 ,   4 ,   3 
,,75 - < 100%,   7 ,   8 ,   27 ,   2 ,- ,   5 ,   2 
,Tempo completo,,   165 ,   185 ,   240 ,   164 ,   96 ,   177 ,   70 
Mulher,,,   48 ,   49 ,   154 ,   15 ,   42 ,   40 ,   10 
,Tempo parcial,,   11 ,   19 ,   32 ,   2 ,   5 ,   6 ,   3 
,,> 0 - < 25%,   4 ,   4 ,   12 ,- ,   2 ,   2 ,   1 
,,25 - < 50%,   5 ,   4 ,   2 ,   1 ,   2 ,   1 ,- 
,,50 - < 75%,- ,   2 ,   15 ,   1 ,   1 ,   1 ,   1 
,,75 - < 100%,   2 ,   9 ,   3 ,- ,- ,   2 ,   1 
,Tempo completo,,   37 ,   30 ,   122 ,   13 ,   37 ,   34 ,   7 
Tempo de actividade agrícola dos dirigentes assalariados,,,   30 ,   36 ,   49 ,   31 ,   13 ,   17 ,   19 
,Tempo parcial,,   21 ,   31 ,   45 ,   20 ,   6 ,   11 ,   14 
,,> 0 - < 25%,   7 ,   14 ,   16 ,   13 ,   3 ,   6 ,   4 
,,25 - < 50%,   9 ,   8 ,   11 ,   1 ,- ,   2 ,   6 
,,50 - < 75%,   2 ,   4 ,   4 ,   5 ,   3 ,   2 ,   3 
,,75 - < 100%,   3 ,   5 ,   14 ,   1 ,- ,   1 ,   1 
,Tempo completo,,   9 ,   5 ,   4 ,   11 ,   7 ,   6 ,   5 
Homem,,,   23 ,   31 ,   43 ,   30 ,   10 ,   16 ,   17 
,Tempo parcial,,   15 ,   26 ,   40 ,   19 ,   4 ,   10 ,   12 
,,> 0 - < 25%,   5 ,   10 ,   13 ,   13 ,   2 ,   5 ,   4 
,,25 - < 50%,   5 ,   8 ,   10 ,   1 ,- ,   2 ,   6 
,,50 - < 75%,   2 ,   3 ,   3 ,   4 ,   2 ,   2 ,   2 
,,75 - < 100%,   3 ,   5 ,   14 ,   1 ,- ,   1 ,- 
,Tempo completo,,   8 ,   5 ,   3 ,   11 ,   6 ,   6 ,   5 
Mulher,,,   7 ,   5 ,   6 ,   1 ,   3 ,   1 ,   2 
,Tempo parcial,,   6 ,   5 ,   5 ,   1 ,   2 ,   1 ,   2 
,,> 0 - < 25%,   2 ,   4 ,   3 ,- ,   1 ,   1 ,- 
,,25 - < 50%,   4 ,- ,   1 ,- ,- ,- ,- 
,,50 - < 75%,- ,   1 ,   1 ,   1 ,   1 ,- ,   1 
,,75 - < 100%,- ,- ,- ,- ,- ,- ,   1 
,Tempo completo,,   1 ,- ,   1 ,- ,   1 ,- ,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,,,   217 ,   235 ,   444 ,   171 ,   158 ,   218 ,   82 
,Tempo parcial,,   24 ,   25 ,   86 ,   5 ,   32 ,   13 ,   10 
,,> 0 - < 25%,   5 ,   2 ,   25 ,- ,   29 ,   2 ,   3 
,,25 - < 50%,   9 ,   5 ,   12 ,   2 ,   3 ,   2 ,   4 
,,50 - < 75%,   4 ,   6 ,   33 ,   2 ,- ,   3 ,   1 
,,75 - < 100%,   6 ,   12 ,   16 ,   1 ,- ,   6 ,   2 
,Tempo completo,,   193 ,   210 ,   358 ,   166 ,   126 ,   205 ,   72 
Homem,,,   176 ,   191 ,   296 ,   157 ,   119 ,   179 ,   74 
,Tempo parcial,,   19 ,   11 ,   59 ,   4 ,   29 ,   8 ,   9 
,,> 0 - < 25%,   3 ,   2 ,   16 ,- ,   28 ,   1 ,   2 
,,25 - < 50%,   8 ,   1 ,   11 ,   1 ,   1 ,   1 ,   4 
,,50 - < 75%,   4 ,   5 ,   19 ,   2 ,- ,   2 ,   1 
