Características da habitação do produtor singular (> 50 anos),,,,,,,,,,
,,,,,,,,,,Pág 3/3
REGIÃO AGRÁRIA,Total de explorações,,,,,Total de explorações com produtor residente na exploração,,,,
Nut III / Concelho,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos
,Idade da habitação > 50 anos,,,,,,,,,
ALENTEJO,  16 813 ,  16 083 ,  15 170 ,  14 566 ,  15 973 ,  6 108 ,  5 502 ,  4 724 ,  4 403 ,  5 451 
Alentejo Litoral,  2 107 ,  1 821 ,  1 551 ,  1 420 ,  1 789 ,  1 487 ,  1 219 ,   973 ,   864 ,  1 191 
Alcácer do Sal,   143 ,   140 ,   137 ,   131 ,   140 ,   39 ,   36 ,   34 ,   33 ,   36 
Grândola,   317 ,   277 ,   253 ,   240 ,   275 ,   203 ,   170 ,   148 ,   138 ,   170 
Odemira,   892 ,   691 ,   533 ,   504 ,   673 ,   670 ,   480 ,   333 ,   308 ,   462 
Santiago do Cacém,   674 ,   636 ,   563 ,   484 ,   626 ,   516 ,   478 ,   412 ,   343 ,   469 
Sines,   81 ,   77 ,   65 ,   61 ,   75 ,   59 ,   55 ,   46 ,   42 ,   54 
Alto Alentejo,  4 836 ,  4 725 ,  4 456 ,  4 299 ,  4 698 ,  1 971 ,  1 875 ,  1 649 ,  1 533 ,  1 866 
Alter do Chão,   148 ,   148 ,   148 ,   148 ,   148 ,   10 ,   10 ,   10 ,   10 ,   10 
Arronches,   258 ,   247 ,   235 ,   208 ,   243 ,   144 ,   135 ,   122 ,   101 ,   132 
Avis,   118 ,   115 ,   116 ,   112 ,   115 ,   21 ,   18 ,   19 ,   16 ,   18 
Campo Maior,   308 ,   305 ,   304 ,   302 ,   303 ,   35 ,   33 ,   32 ,   33 ,   32 
Castelo de Vide,   231 ,   220 ,   199 ,   179 ,   219 ,   128 ,   118 ,   98 ,   79 ,   117 
Crato,   239 ,   234 ,   234 ,   234 ,   234 ,   18 ,   14 ,   15 ,   14 ,   14 
Elvas,   287 ,   281 ,   275 ,   261 ,   282 ,   90 ,   86 ,   82 ,   71 ,   88 
Fronteira,   118 ,   118 ,   116 ,   117 ,   118 ,   21 ,   21 ,   19 ,   20 ,   21 
Gavião,   468 ,   468 ,   466 ,   451 ,   463 ,   250 ,   250 ,   248 ,   236 ,   247 
Marvão,   346 ,   343 ,   239 ,   292 ,   342 ,   208 ,   205 ,   120 ,   160 ,   204 
Monforte,   93 ,   81 ,   81 ,   83 ,   84 ,   24 ,   13 ,   14 ,   15 ,   16 
