Principais culturas temporárias,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 2/3
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Faro,,,,,,,,,,,
,,,Culturas temporárias,551,676,394,572,175,104,- ,- ,175,104
,,,Cereais para grão,63,80,31,40,36,39,- ,- ,36,39
,,,Leguminosas secas para grão,27,9,8,2,20,7,- ,- ,20,7
,,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,18,17,18,16,1,... ,- ,- ,1,... 
,,,Batata,115,26,69,21,46,4,- ,- ,46,4
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,501,516,351,462,161,53,- ,- ,161,53
,,,Flores e plantas ornamentais,16,28,16,28,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,7,o ,5,o ,2,... ,- ,- ,2,... 
,,Lagoa,,,,,,,,,,,
,,,Culturas temporárias,199,254,121,146,100,109,2,... ,98,103
,,,Cereais para grão,34,46,26,27,11,21,1,... ,10,16
,,,Leguminosas secas para grão,22,6,14,4,8,2,- ,- ,8,2
,,,Prados temporários,5,15,5,15,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,23,87,13,44,15,41,1,... ,14,41
,,,Batata,16,4,11,2,5,1,- ,- ,5,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,178,96,101,53,90,43,- ,- ,90,43
