"Forma de exploração da SAU, e contabilidade agrícola ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,pág. 2/2
Região Agrária,,,Forma de Exploração da SAU,,,,,,Contabilidade agrícola,,,,,
,Nut III,,Conta Própria,,Arrendamento,,Outras formas,,Contabilidade organizada,,Registo de receitas e despesas,,Outra situação,
,,Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
Algarve,,,"18,029","82,895",820,"11,813","1,291","7,223","1,228","20,545",835,"9,342","16,908","72,046"
,Algarve,,"18,029","82,895",820,"11,813","1,291","7,223","1,228","20,545",835,"9,342","16,908","72,046"
,,Albufeira,"1,121","4,382",42,591,76,330,71,"1,350",32,367,"1,060","3,587"
,,Alcoutim,"1,026","9,381",22,925,63,514,26,"1,624",12,471,999,"8,725"
,,Aljezur,617,"2,792",131,"1,845",124,698,18,185,16,412,684,"4,737"
,,Castro Marim,897,"6,270",42,"1,522",12,102,31,"1,217",16,463,876,"6,212"
,,Faro,"1,462","4,526",116,371,40,91,178,"1,207",215,"1,112","1,161","2,667"
,,Lagoa,456,"1,479",42,257,37,102,25,407,23,256,445,"1,175"
,,Lagos,545,"1,973",66,786,132,"1,221",19,517,28,381,600,"3,084"
,,Loulé,"3,512","14,980",31,509,210,"1,349",153,"2,707",39,719,"3,410","13,412"
,,Monchique,651,"1,535",48,"1,219",101,229,36,411,68,"1,108",671,"1,464"
,,Olhão,"1,134","4,252",37,97,33,58,81,"1,120",60,513,"1,024","2,774"
,,Portimão,505,"1,489",30,"1,119",56,418,41,"1,472",49,209,477,"1,346"
,,São Brás de Alportel,555,"1,784",5,32,16,50,35,267,7,65,521,"1,534"
,,Silves,"3,022","13,431",72,"1,239",178,"1,007",352,"5,168",144,"1,247","2,613","9,262"
,,Tavira,"2,101","11,163",95,757,137,340,145,"2,090",113,"1,231","1,905","8,941"
,,Vila do Bispo,134,"1,747",14,198,48,609,2,... ,4,646,163,"1,664"
,,Vila Real de Santo António,291,"1,711",27,346,28,105,15,558,9,142,299,"1,462"
"Fonte:  INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,,
