Explorações segundo o número de blocos com SAU,,,,,,,,,,,
,,,,,,,,,,,1999
Região Agrária,,,,Número de blocos com SAU,,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,Total ,1,2,3,4 e 5,6 a 9,10 a 19,>=20
Algarve,,,expl (nº),"18,796","5,434","3,152","2,233","2,872","2,781","1,879",445
,,,SAU (ha),"101,926","15,970","11,690","9,319","16,267","19,864","19,587","9,230"
,,,blocos com SAU (nº),"88,000","5,434","6,304","6,699","12,751","20,023","24,407","12,382"
,Algarve,,expl (nº),"18,796","5,434","3,152","2,233","2,872","2,781","1,879",445
,,,SAU (ha),"101,926","15,970","11,690","9,319","16,267","19,864","19,587","9,230"
,,,blocos com SAU (nº),"88,000","5,434","6,304","6,699","12,751","20,023","24,407","12,382"
,,Albufeira,expl (nº),"1,156",258,213,199,250,177,56,3
,,,SAU (ha),"5,303",516,498,518,"1,052","1,482","1,131",107
,,,blocos com SAU (nº),"4,441",258,426,597,"1,126","1,264",698,72
,,Alcoutim,expl (nº),"1,027",50,58,82,186,290,261,100
,,,SAU (ha),"10,819",183,124,318,905,"2,341","4,009","2,942"
,,,blocos com SAU (nº),"9,624",50,116,246,840,"2,136","3,400","2,836"
,,Aljezur,expl (nº),709,306,183,87,84,34,14,1
,,,SAU (ha),"5,333","1,410","1,036",723,969,778,310,... 
,,,blocos com SAU (nº),"1,751",306,366,261,371,235,177,... 
,,Castro Marim,expl (nº),918,59,68,90,169,242,235,55
,,,SAU (ha),"7,893",702,330,511,936,"1,813","2,283","1,318"
,,,blocos com SAU (nº),"7,474",59,136,270,753,"1,790","3,058","1,408"
,,Faro,expl (nº),"1,543",546,285,209,213,189,95,6
,,,SAU (ha),"4,987","1,039",725,642,700,896,882,102
,,,blocos com SAU (nº),"5,387",546,570,627,937,"1,336","1,207",164
,,Lagoa,expl (nº),491,244,121,61,45,13,7,- 
,,,SAU (ha),"1,838",514,432,258,255,220,158,- 
,,,blocos com SAU (nº),"1,031",244,242,183,190,92,80,- 
,,Lagos,expl (nº),646,337,145,76,49,22,16,1
,,,SAU (ha),"3,979",870,925,503,811,400,412,... 
,,,blocos com SAU (nº),"1,435",337,290,228,211,152,191,... 
,,Loulé,expl (nº),"3,573",537,482,414,669,791,587,93
,,,SAU (ha),"16,836","1,226","1,334","1,395","2,988","3,646","4,655","1,591"
,,,blocos com SAU (nº),"21,556",537,964,"1,242","2,985","5,719","7,652","2,457"
,,Monchique,expl (nº),739,409,193,67,50,16,4,- 
,,,SAU (ha),"2,983",608,611,151,474,"1,105",33,- 
,,,blocos com SAU (nº),"1,377",409,386,201,219,112,50,- 
,,Olhão,expl (nº),"1,161",389,225,157,196,138,52,4
,,,SAU (ha),"4,407",609,681,527,"1,128",926,459,75
,,,blocos com SAU (nº),"3,889",389,450,471,866,989,631,93
,,Portimão,expl (nº),561,397,113,29,16,5,1,- 
,,,SAU (ha),"3,026","2,094",547,148,132,96,... ,- 
,,,blocos com SAU (nº),822,397,226,87,67,34,... ,- 
,,São Brás de Alportel,expl (nº),561,65,77,74,118,123,88,16
,,,SAU (ha),"1,867",98,100,226,327,506,488,122
,,,blocos com SAU (nº),"3,400",65,154,222,533,876,"1,145",405
,,Silves,expl (nº),"3,075","1,143",579,421,453,354,120,5
,,,SAU (ha),"15,678","3,612","2,291","2,230","2,826","3,116","1,480",123
,,,blocos com SAU (nº),"9,624","1,143","1,158","1,263","1,996","2,484","1,470",110
,,Tavira,expl (nº),"2,152",552,315,205,298,329,301,152
,,,SAU (ha),"12,260","1,760","1,480",958,"1,657","2,024","2,158","2,221"
,,,blocos com SAU (nº),"14,096",552,630,615,"1,319","2,388","4,124","4,468"
,,Vila do Bispo,expl (nº),169,34,28,20,29,25,26,7
,,,SAU (ha),"2,555",230,325,82,465,272,790,392
,,,blocos com SAU (nº),"1,068",34,56,60,133,182,336,267
,,Vila Real de Santo António,expl (nº),315,108,67,42,47,33,16,2
,,,SAU (ha),"2,162",499,251,129,642,243,329,... 
,,,blocos com SAU (nº),"1,025",108,134,126,205,234,177,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,
