Explorações com rega e drenagem,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 1/2
,,,,Algarve,Algarve,Albufeira,Alcoutim,Aljezur,Castro Marim,Faro,Lagoa,Lagos
Superfície irrigável,,,expl (nº),"13,636","13,636",591,502,636,469,"1,119",291,558
,,,área (ha),"30,013","30,013","1,529",380,"1,918",876,"2,719",636,"1,254"
Sistema de rega ,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),"1,734","1,734",16,14,261,32,12,129,195
,Colectivo privado,,expl (nº),"1,779","1,779",157,29,49,42,219,19,5
,Individual,,expl (nº),"11,012","11,012",455,465,373,430,957,179,400
Origem das águas de rega,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"11,653","11,653",574,442,315,384,"1,112",171,375
,Albufeira (barragem),,expl (nº),"1,712","1,712",4,37,260,73,3,128,185
,Açude,,expl (nº),74,74,- ,3,3,2,- ,- ,4
,Charca,,expl (nº),702,702,1,15,82,17,- ,1,31
,Curso de água natural,,expl (nº),570,570,5,43,68,88,2,1,7
,Outra,,expl (nº),135,135,15,1,- ,5,5,24,14
Método de colocação de água no terreno,,,,,,,,,,,,
,Sem elevação,,expl (nº),"2,409","2,409",22,46,291,48,41,104,192
,Com elevação,,expl (nº),"11,991","11,991",572,459,398,439,"1,080",211,426
,,Motor electrico,expl (nº),"9,571","9,571",532,200,204,224,"1,026",198,353
,,Motor a carburante,expl (nº),"2,880","2,880",63,164,195,288,83,13,79
,,Outros meios,expl (nº),310,310,3,132,7,13,8,5,6
Superfície drenada,,,expl (nº),183,183,6,- ,1,- ,31,2,- 
,,,área (ha),482,482,3,- ,... ,- ,86,... ,- 
Superfície com encharcamento,,,expl (nº),174,174,35,- ,1,1,53,6,- 
,,,área (ha),211,211,32,- ,... ,... ,77,6,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,
