Efectivo animal (Página 4),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 4/4
,,,Silves,,Tavira,,Vila do Bispo,,Vila Real de Santo António,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
Bovinos  ,,,153,1 617,74,478,43,860,16,215
Bovinos com menos de 1 ano,,,96,530,42,143,37,200,9,27
,Vitelos de carne (para abate < 1 ano),,37,307,17,57,2,...,7,12
,Outros vitelos,,67,223,29,86,36,192,5,15
,,Machos,50,98,17,29,27,83,2,...
,,Fêmeas,49,125,19,57,33,109,5,11
Bovinos de 1 a menos de 2 anos,,,53,278,25,95,20,63,5,28
,Machos,,32,123,16,50,5,11,1,...
,Fêmeas reprodutoras,,33,139,13,30,18,51,5,26
,Fêmeas não reprodutoras,,5,16,4,15,1,...,-,-
Bovinos de 2 anos e mais,,,136,809,57,240,43,597,16,160
,Machos,,29,100,6,14,22,28,4,4
,Novilhas reprodutoras,,75,407,22,129,12,79,1,...
,Novilhas não reprodutoras,,5,6,-,-,-,-,1,...
,Vacas leiteiras,,7,56,17,51,-,-,13,132
,Outras vacas,,53,240,19,46,43,490,2,...
SUÍNOS,,,647,11 021,605,2 478,60,195,36,137
,Suínos com menos de 20 kg de PV,,162,3 714,234,1 120,3,31,17,59
,Fêmeas reprodutoras de 50 kg de PV e mais,,215,1 886,149,477,13,23,13,39
,Outros suínos,,561,5 421,396,881,58,141,24,39
OVINOS,,,313,11 106,260,4 626,20,4 492,39,727
,Fêmeas reprodutoras,,295,8 637,252,3 390,17,4 084,38,583
,Outros ovinos,,230,2 469,166,1 236,17,408,29,144
CAPRINOS,,,189,2 934,223,1 952,21,1 017,27,1 029
,Fêmeas reprodutoras,,176,2 442,220,1 581,21,787,27,841
,Outros caprinos,,91,492,83,371,13,230,19,188
EQUÍDEOS,,Fêmeas reprodutoras,352,490,630,903,50,83,57,81
,Gado equino,Outros equinos,57,128,43,66,8,32,6,15
,,,32,50,15,18,7,26,3,6
,,,41,78,34,48,3,6,4,9
,Gado asinino,,182,212,506,677,29,34,12,17
,Gado muar,,137,150,139,160,16,17,43,49
COELHAS reprodutoras,,,167,327,208,480,31,106,26,58
AVES,,,,,,,,,,
,Frangos de carne (inclui galos),,1 186,11 255,1 131,5 356,90,815,126,733
,Galinhas poedeiras e reprodutoras,,1 520,12 043,1 485,12 966,110,1 505,194,1 868
,Perús,,122,393,127,348,6,13,23,89
,"Patos, Gansos e pintadas",,425,2 633,316,2 068,28,186,55,428
ABELHAS,,,,,,,,,,
,Número de colmeias povoadas,,87,4 266,155,4 323,4,242,6,46
,Número de cortiços povoadas,,33,454,212,2 726,1,...,-,-
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,
