Utilização das terras (Oeste),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.1/5
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
Superfície Total,,expl (nº),"61,615","23,396","3,150","2,717",801,"1,140","1,702","2,274","2,017","2,640",312,"1,023",815,694,4111
 ,,área (ha),"706,002","121,280","14,478","18,801","4,412","6,479","9,472","10,761","8,383","12,957","1,628","5,748",3436,3831,20894
Superfície Agrícola Utilizada (SAU),,expl (nº),"60,545","22,954","3,012","2,703",793,"1,130","1,678","2,219","1,979","2,562",308,"1,017",800,682,4071
 ,,área (ha),"447,863","94,432","10,032","14,806","3,717","5,635","6,502","7,487","7,301","10,020","1,100","4,555",3132,3384,16761
Terra arável,,expl (nº),"47,502","18,240","2,558","1,751",569,781,"1,008","1,795","1,882","2,136",293,856,781,618,3212
,,área (ha),"207,721","45,967","4,317","7,175","2,090","1,195","1,493","2,159","5,207","6,222",862,"1,866",2754,2328,8299
,Terra arável limpa,expl (nº),"47,330","18,167","2,541","1,747",567,778,"1,007","1,789","1,880","2,131",292,843,779,617,3196
,,área (ha),"193,277","45,663","4,280","7,172","2,084","1,192","1,492","2,135","5,203","6,208",859,"1,696",2748,2327,8267
,Culturas temporárias,expl (nº),"32,982","15,367","2,077","1,382",427,530,681,"1,416","1,830","1,943",284,751,762,530,2754
,,área (ha),"161,393","40,248","3,628","6,443","1,652",703,"1,051","1,738","5,040","5,842",817,"1,412",2647,2170,7105
,Pousio (com e sem ajuda),expl (nº),"14,458","3,241",599,330,144,200,336,380,145,174,36,189,80,64,564
,,área (ha),"29,133","4,748",559,651,403,463,405,339,137,275,35,260,93,94,1034
,Horta familiar,expl (nº),"21,568","5,706","1,098",591,190,326,443,741,268,579,82,297,85,259,747
,,área (ha),"2,748",668,94,80,26,24,35,60,25,92,8,25,8,62,129
,Culturas sob-coberto matas e florestas,expl (nº),368,80,17,4,2,4,2,7,4,6,1,13,2,1,17
,,área (ha),"14,445",306,36,4,... ,3,... ,23,6,13,... ,172,... ,... ,31
,Culturas temporárias,expl (nº),257,65,15,2,1,4,1,7,3,6,1,11,2,- ,12
,,área (ha),"9,745",267,23,... ,... ,2,... ,23,5,13,... ,166,... ,- ,18
,Pousio (com e sem ajuda),expl (nº),153,31,12,2,1,1,1,- ,1,- ,- ,4,1,1,7
,,área (ha),"4,697",36,12,... ,... ,... ,... ,- ,... ,- ,- ,6,... ,... ,12
Culturas permanentes,,expl (nº),"47,782","17,739","2,380","2,568",676,"1,090","1,604","1,902","1,216","1,566",132,841,250,403,3111
,,área (ha),"117,590","44,092","5,057","7,081","1,525","4,428","4,945","5,107","1,993","2,415",203,"2,613",235,657,7833
,Sem culturas sob-coberto,expl (nº),"45,206","17,556","2,326","2,566",676,"1,087","1,604","1,898","1,160","1,549",132,839,245,399,3075
,,área (ha),"103,050","43,559","4,869","7,047","1,525","4,383","4,930","5,078","1,909","2,378",202,"2,594",229,646,7769
,Com culturas temporárias,expl (nº),"6,428","1,425",242,187,2,232,71,127,133,143,4,87,18,15,164
,,área (ha),"6,678",435,138,29,... ,41,9,19,82,34,o ,17,5,8,53
,Com pousio (com e sem ajuda),expl (nº),"2,271",4,2,- ,- ,1,- ,1,- ,- ,- ,- ,- ,- ,- 
,,área (ha),"3,660",1,... ,- ,- ,... ,- ,... ,- ,- ,- ,- ,- ,- ,- 
,Com horta familiar,expl (nº),"4,922",294,39,6,1,47,49,29,10,24,- ,16,1,9,63
,,área (ha),649,27,3,o ,... ,2,3,1,o ,3,- ,1,... ,2,12
,Com pastagens permanentes,expl (nº),"1,298",45,38,- ,- ,1,2,3,- ,1,- ,- ,- ,- ,- 
,,área (ha),"3,537",49,45,- ,- ,... ,... ,2,- ,... ,- ,- ,- ,- ,- 
Pastagens permanentes,,expl (nº),"4,553","1,410",384,85,33,3,29,101,32,458,9,24,15,109,128
,,área (ha),"122,541","4,367",657,550,103,13,65,222,97,"1,383",34,73,143,400,627
,Em terra limpa,expl (nº),"4,135","1,399",380,83,33,3,27,100,32,458,8,24,15,109,127
,,área (ha),"29,000","4,243",612,513,103,13,57,205,97,"1,379",27,73,143,400,621
,Sob-coberto de matas e florestas,expl (nº),573,16,6,2,- ,- ,2,2,- ,1,1,- ,- ,- ,2
,,área (ha),"93,553",125,46,... ,- ,- ,... ,... ,- ,... ,... ,- ,- ,- ,... 
Matas e florestas sem culturas sob-coberto,,expl (nº),"19,529","6,237","1,469",423,44,301,530,"1,095",396,486,129,392,144,75,753
,,área (ha),"220,118","17,550","2,917","2,763",108,573,"2,513","2,222",613,"1,516",421,782,156,202,2764
Superfície Agrícola não utilizada,,expl (nº),"10,641","5,140",776,762,234,179,287,731,234,690,87,278,94,98,690
,,área (ha),15377,6249,778,944,427,193,355,776,227,1053,66,311,86,134,899
Outras superfícies,,expl (nº),55559,19839,3130,1986,584,1086,1508,2105,1808,2218,304,1009,751,588,2762
,,área (ha),22646,3050,755,288,159,79,102,272,241,369,40,100,61,111,473
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Norte."
