Utilização das terras (Lezíria do Tejo),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999,,,,
,,,,,,,,,,,,,,,Pág.5/5,,,,
,,,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém,,,,
Superfície Total,,expl (nº),"61,615","15,153","1,341",676,"1,613",682,"1,065",609,"1,462",261,"2,152",920,"4,372",,,,
 ,,área (ha),"706,002","351,706","14,795","11,812","15,479","46,106","9,150","94,146","87,452","7,051","14,543","14,018","37,154",,,,
Superfície Agrícola Utilizada (SAU),,expl (nº),"60,545","14,868","1,332",672,"1,588",670,"1,038",600,"1,423",261,"2,061",916,"4,307",,,,
 ,,área (ha),"447,863","220,209","9,224","9,669","11,317","36,668","8,075","22,131","67,464","5,584","7,820","11,370","30,887",,,,
Terra arável,,expl (nº),"47,502","11,834",975,489,"1,192",607,728,502,"1,330",250,"1,788",837,"3,136",,,,
,,área (ha),"207,721","102,429","3,939","4,159","7,288","19,959","4,836","6,046","21,974","4,593","4,509","7,197","17,929",,,,
,Terra arável limpa,expl (nº),"47,330","11,797",974,488,"1,189",606,726,500,"1,323",248,"1,781",835,"3,127",,,,
,,área (ha),"193,277","89,537","3,938","4,151","6,416","14,952","4,763","6,008","15,281","4,567","4,499","7,154","17,808",,,,
,Culturas temporárias,expl (nº),"32,982","6,838",424,301,564,468,318,408,848,246,904,602,"1,755",,,,
,,área (ha),"161,393","76,519","3,268","3,760","5,218","13,932","3,861","5,314","13,405","4,298","2,766","6,240","14,457",,,,
,Pousio (com e sem ajuda),expl (nº),"14,458","5,282",400,154,553,201,432,137,636,58,"1,007",268,"1,436",,,,
,,área (ha),"29,133","12,132",586,348,"1,129",982,876,650,"1,746",265,"1,550",850,"3,150",,,,
,Horta familiar,expl (nº),"21,568","6,343",536,212,663,242,299,163,859,24,"1,012",530,"1,803",,,,
,,área (ha),"2,748",890,83,42,68,40,28,44,128,4,181,64,208,,,,
,Culturas sob-coberto matas e florestas,expl (nº),368,182,1,3,8,9,4,5,122,2,7,3,18,,,,
,,área (ha),"14,445","12,894",... ,8,873,"5,008",72,40,"6,692",... ,10,43,121,,,,
,Culturas temporárias,expl (nº),257,136,- ,1,6,7,4,4,100,2,2,2,8,,,,
,,área (ha),"9,745","8,606",- ,... ,871,"1,569",70,37,"5,880",... ,... ,... ,110,,,,
,Pousio (com e sem ajuda),expl (nº),153,63,1,2,2,5,1,1,33,1,6,1,10,,,,
,,área (ha),"4,697","4,289",... ,... ,... ,"3,438",... ,... ,813,... ,8,... ,11,,,,
Culturas permanentes,,expl (nº),"47,782","11,737","1,218",572,"1,422",318,887,414,950,88,"1,553",579,"3,736",,,,
,,área (ha),"117,590","31,031","4,408","2,354","3,405",441,"2,420","1,468","1,536",351,"2,925",699,"11,024",,,,
,Sem culturas sob-coberto,expl (nº),"45,206","10,585","1,218",568,"1,416",299,875,403,930,75,"1,381",577,"2,843",,,,
,,área (ha),"103,050","25,126","4,399","2,351","3,235",419,"2,369","1,420","1,450",261,"2,163",696,"6,363",,,,
,Com culturas temporárias,expl (nº),"6,428","1,343",1,- ,29,6,26,5,16,23,197,6,"1,034",,,,
,,área (ha),"6,678","2,693",... ,- ,33,6,36,29,9,83,255,2,"2,239",,,,
,Com pousio (com e sem ajuda),expl (nº),"2,271","1,263",2,- ,8,- ,1,1,2,2,289,- ,958,,,,
,,área (ha),"3,660","2,120",... ,- ,4,- ,... ,... ,... ,... ,415,- ,"1,689",,,,
,Com horta familiar,expl (nº),"4,922",584,23,17,65,23,26,27,63,2,62,8,268,,,,
,,área (ha),649,74,4,2,6,3,1,6,6,... ,10,o ,35,,,,
,Com pastagens permanentes,expl (nº),"1,298",236,1,1,7,7,3,6,22,1,57,- ,131,,,,
,,área (ha),"3,537","1,020",... ,... ,126,12,12,11,68,... ,86,- ,699,,,,
