Principais culturas temporárias,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.1/10
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
LISBOA E VALE DO TEJO,,,,,,,,,,,,
,,Culturas temporárias,"36,280","182,753","33,115","171,150","8,065","11,594","1,848","4,894","6,428","6,689"
,,Cereais para grão,"13,603","70,609","12,633","68,689","1,735","1,931",514,795,"1,228","1,136"
,,Leguminosas secas para grão,"5,038","1,934","4,109","1,451","1,154",480,159,206,998,275
,,Prados temporários,928,"8,219",815,"7,857",150,370,- ,- ,150,370
,,Culturas forrageiras,"13,531","55,050","11,210","48,115","3,984","6,939",685,"2,677","3,403","4,261"
,,Batata,"13,425","9,379","12,033","8,595","1,801",778,294,382,"1,511",393
,,Beterraba sacarina,313,"4,332",313,"4,332",- ,- ,- ,- ,- ,- 
,,Culturas indústriais,344,"3,736",339,"3,627",7,109,5,107,2,... 
,,Culturas hortícolas,"13,602","28,910","12,930","27,979","1,053",937,291,687,766,249
,,Flores e plantas ornamentais,286,364,284,364,2,... ,- ,- ,2,... 
,,Sementes de culturas forrageiras,29,61,25,60,4,o ,4,o ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,236,61,120,32,118,30,116,30,2,... 
,,Outras culturas temporárias,216,75,178,62,41,13,30,12,12,1
,Oeste,,,,,,,,,,,
,,Culturas temporárias,"16,211","42,095","15,428","40,525","2,224","1,564",850,"1,122","1,425",436
,,Cereais para grão,"5,345","10,405","5,105","10,094",398,308,362,292,36,16
,,Leguminosas secas para grão,"3,022","1,075","2,881",999,210,76,105,48,105,29
,,Prados temporários,267,710,260,705,9,7,- ,- ,9,7
,,Culturas forrageiras,"4,514","14,931","4,410","14,360",279,573,166,493,114,79
,,Batata,"10,880","6,251","9,884","5,875","1,331",370,159,104,"1,176",263
,,Beterraba sacarina,9,83,9,83,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,42,301,42,301,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,"5,974","8,241","5,840","8,029",319,209,189,174,133,36
,,Flores e plantas ornamentais,88,39,87,39,1,... ,- ,- ,1,... 
,,Sementes de culturas forrageiras,10,10,10,10,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,20,6,19,5,1,... ,1,... ,- ,- 
,,Outras culturas temporárias,146,36,116,27,33,9,28,8,6,1
,Alcobaça,,,,,,,,,,,
,,Culturas temporárias,"2,156","3,906","2,092","3,654",339,251,110,111,242,139
,,Cereais para grão,725,553,704,528,42,23,25,16,17,6
,,Leguminosas secas para grão,750,329,718,308,66,22,13,2,53,20
,,Prados temporários,58,143,52,138,8,7,- ,- ,8,7
,,Culturas forrageiras,861,"1,677",822,"1,541",119,138,30,64,90,73
,,Batata,"1,522",648,"1,438",617,119,28,7,3,112,26
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,3,13,3,13,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,582,510,554,487,47,22,24,16,24,6
,,Flores e plantas ornamentais,14,5,14,5,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,3,1,2,... ,1,... ,1,... ,- ,- 
,,Outras culturas temporárias,102,28,77,20,28,8,24,7,5,1
,Alenquer,,,,,,,,,,,
,,Culturas temporárias,"1,523","6,479","1,384","6,444",192,34,6,5,187,29
,,Cereais para grão,470,"2,226",467,"2,224",3,3,- ,- ,3,3
,,Leguminosas secas para grão,183,46,183,45,1,... ,1,... ,- ,- 
,,Prados temporários,11,25,11,25,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,474,"3,407",471,"3,403",6,4,2,... ,4,2
,,Batata,"1,078",313,903,286,180,23,- ,- ,180,23
,,Beterraba sacarina,5,58,5,58,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,18,190,18,190,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,141,211,140,206,4,2,3,2,1,... 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,11,5,11,5,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Arruda dos Vinhos,,,,,,,,,,,
,,Culturas temporárias,429,"1,665",428,"1,659",4,5,2,... ,2,... 
,,Cereais para grão,270,942,270,941,1,... ,1,... ,- ,- 
,,Leguminosas secas para grão,31,15,31,15,- ,- ,- ,- ,- ,- 
,,Prados temporários,11,44,11,44,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,152,510,152,506,1,... ,1,... ,- ,- 
,,Batata,65,24,63,24,2,... ,- ,- ,2,... 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,6,17,6,17,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,87,113,87,113,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Bombarral,,,,,,,,,,,
,,Culturas temporárias,724,784,533,706,244,79,12,38,232,41
,,Cereais para grão,85,90,81,89,4,1,3,1,1,... 
,,Leguminosas secas para grão,35,7,31,6,5,1,2,... ,3,o 
,,Prados temporários,6,30,6,30,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,63,244,59,208,8,36,5,35,3,1
