Culturas regadas (Médio Tejo e Lezíria do Tejo),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.3/4
REGIÃO AGRÁRIA,,,,Trigo mole,Trigo duro,Milho híbrido,Milho regional,Arroz,Milho para silagem,Milharada,Outras culturas forrageiras,Prados temporários,Batata excepto a da horta familiar
,Nut III,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,
,Médio Tejo,,expl (nº),   16 ,   26 ,  1 889 ,   876 ,   4 ,   135 ,   381 ,   383 ,   53 ,   357 
,,,área regada (ha),   96 ,   239 ,  3 710 ,   589 ,   27 ,   182 ,   182 ,   838 ,   118 ,   115 
,,Abrantes,expl (nº),   4 ,   9 ,   139 ,   117 ,   4 ,   2 ,   119 ,   127 ,   8 ,   115 
,,,área regada (ha),   39 ,   123 ,  1 182 ,   298 ,   27 ,... ,   90 ,   549 ,   26 ,   62 
,,Alcanena,expl (nº),   5 ,   3 ,   33 ,   3 ,- ,- ,   4 ,   20 ,   3 ,   1 
,,,área regada (ha),   33 ,   12 ,   127 ,   1 ,- ,- ,   3 ,   30 ,   5 ,... 
,,Constância,expl (nº),- ,   1 ,   5 ,   11 ,- ,- ,   4 ,   7 ,- ,   1 
,,,área regada (ha),- ,... ,   47 ,   32 ,- ,- ,   3 ,   30 ,- ,... 
,,Entroncamento,expl (nº),- ,- ,   10 ,- ,- ,- ,- ,   8 ,- ,- 
,,,área regada (ha),- ,- ,   42 ,- ,- ,- ,- ,   2 ,- ,- 
,,Ferreira do Zêzere,expl (nº),- ,- ,   138 ,   145 ,- ,   2 ,   17 ,   10 ,   1 ,   22 
,,,área regada (ha),- ,- ,   40 ,   37 ,- ,... ,   6 ,   6 ,... ,   13 
,,Ourém,expl (nº),- ,   2 ,   966 ,   421 ,- ,   84 ,   148 ,   52 ,   8 ,   36 
,,,área regada (ha),- ,... ,   463 ,   158 ,- ,   99 ,   48 ,   24 ,   3 ,   5 
,,Sardoal,expl (nº),- ,   1 ,   140 ,   1 ,- ,   1 ,   59 ,   47 ,   1 ,   125 
,,,área regada (ha),- ,... ,   31 ,... ,- ,... ,   18 ,   15 ,... ,   19 
,,Tomar,expl (nº),- ,   1 ,   167 ,   140 ,- ,   41 ,   26 ,   51 ,   21 ,   40 
,,,área regada (ha),- ,... ,   345 ,   50 ,- ,   38 ,   11 ,   67 ,   52 ,   11 
,,Torres Novas,expl (nº),   7 ,   9 ,   267 ,   38 ,- ,   5 ,   4 ,   56 ,   11 ,   17 
,,,área regada (ha),   24 ,   99 ,  1 349 ,   13 ,- ,   41 ,   3 ,   111 ,   30 ,   2 
,,Vila Nova da Barquinha,expl (nº),- ,- ,   24 ,- ,- ,- ,- ,   5 ,- ,- 
