Culturas regadas (Médio Tejo e Lezíria do Tejo),,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.4/4
REGIÃO AGRÁRIA,,,,Beterraba sacarina,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
,Médio Tejo,,expl (nº),   31 ,   21 ,   31 ,   852 ,   151 ,   791 ,   911 ,   15 ,   104 ,   277 ,   362 
,,,área regada (ha),   177 ,   149 ,   190 ,   404 ,   559 ,   687 ,   198 ,   12 ,   88 ,   661 ,   295 
,,Abrantes,expl (nº),   4 ,   18 ,   5 ,   178 ,   18 ,   95 ,   103 ,   1 ,   25 ,   97 ,   77 
,,,área regada (ha),   62 ,   145 ,   28 ,   112 ,   53 ,   192 ,   37 ,... ,   41 ,   405 ,   180 
,,Alcanena,expl (nº),   2 ,- ,   4 ,   8 ,   4 ,   43 ,   39 ,   2 ,   8 ,   9 ,   5 
,,,área regada (ha),... ,- ,   27 ,   7 ,   12 ,   21 ,   2 ,... ,   1 ,   7 ,   3 
,,Constância,expl (nº),- ,- ,   3 ,- ,- ,   10 ,   13 ,   2 ,- ,   13 ,   5 
,,,área regada (ha),- ,- ,   12 ,- ,- ,   23 ,   6 ,... ,- ,   33 ,   9 
,,Entroncamento,expl (nº),- ,- ,- ,   2 ,   2 ,   28 ,   39 ,- ,- ,   2 ,   6 
,,,área regada (ha),- ,- ,- ,... ,... ,   18 ,   9 ,- ,- ,... ,   3 
,,Ferreira do Zêzere,expl (nº),- ,- ,   1 ,   10 ,   34 ,   123 ,   44 ,   1 ,   3 ,   13 ,   20 
,,,área regada (ha),- ,- ,... ,   6 ,   56 ,   211 ,   6 ,... ,   1 ,   19 ,   16 
,,Ourém,expl (nº),- ,- ,- ,   38 ,   29 ,   118 ,   95 ,   1 ,   7 ,   11 ,   60 
,,,área regada (ha),- ,- ,- ,   16 ,   28 ,   88 ,   11 ,... ,   3 ,   5 ,   8 
,,Sardoal,expl (nº),- ,- ,- ,   340 ,- ,   56 ,   71 ,- ,   8 ,   15 ,   94 
,,,área regada (ha),- ,- ,- ,   95 ,- ,   16 ,   18 ,- ,   5 ,   25 ,   14 
,,Tomar,expl (nº),   1 ,   2 ,- ,   209 ,   29 ,   104 ,   130 ,   1 ,   10 ,   16 ,   61 
,,,área regada (ha),... ,... ,- ,   73 ,   366 ,   38 ,   19 ,... ,   4 ,   14 ,   48 
,,Torres Novas,expl (nº),   24 ,   1 ,   17 ,   63 ,   31 ,   187 ,   337 ,   7 ,   39 ,   94 ,   33 
,,,área regada (ha),   108 ,... ,   122 ,   87 ,   32 ,   76 ,   82 ,   10 ,   21 ,   140 ,   14 
,,Vila Nova da Barquinha,expl (nº),- ,- ,   1 ,   4 ,   4 ,   27 ,   40 ,- ,   4 ,   7 ,   1 
,,,área regada (ha),- ,- ,... ,   4 ,   12 ,   4 ,   8 ,- ,   12 ,   13 ,... 
,Lezíria do Tejo,,expl (nº),   248 ,   124 ,  1 253 ,  1 320 ,   131 ,  1 158 ,  1 906 ,   66 ,   486 ,   124 ,   264 
,,,área regada (ha),  3 496 ,  1 190 ,  8 846 ,  3 076 ,  1 242 ,  1 087 ,   975 ,   142 ,   945 ,   507 ,  1 247 
,,Almeirim,expl (nº),   13 ,   4 ,   196 ,   185 ,   5 ,   304 ,   291 ,   23 ,   254 ,   2 ,   21 
,,,área regada (ha),   120 ,   39 ,  1 261 ,   450 ,   21 ,   227 ,   144 ,   50 ,   462 ,... ,   45 
,,Alpiarça,expl (nº),   25 ,   2 ,   84 ,   185 ,   3 ,   86 ,   111 ,   11 ,   76 ,   8 ,   14 
,,,área regada (ha),   233 ,... ,   805 ,   576 ,   11 ,   119 ,   105 ,   26 ,   175 ,   5 ,   44 
,,Azambuja,expl (nº),   4 ,   13 ,   36 ,   67 ,   4 ,   100 ,   151 ,- ,   4 ,   3 ,   23 
,,,área regada (ha),   92 ,   169 ,   586 ,   114 ,   43 ,   107 ,   59 ,- ,   22 ,   305 ,   205 
,,Benavente,expl (nº),   13 ,   19 ,   100 ,   139 ,   36 ,   71 ,   176 ,   5 ,   13 ,   4 ,   39 
,,,área regada (ha),   371 ,   322 ,  1 104 ,   307 ,   424 ,   37 ,   96 ,   1 ,   43 ,o ,   271 
,,Cartaxo,expl (nº),   16 ,   11 ,   61 ,   55 ,   3 ,   73 ,   171 ,   1 ,   11 ,   13 ,   16 
,,,área regada (ha),   279 ,   74 ,   853 ,   198 ,   123 ,   101 ,   37 ,... ,   21 ,   18 ,   36 
