Efectivo animal (Oeste),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pág.1/7,,,,,,,,,
,,,LISBOA E VALE DO TEJO,,Oeste,,Alcobaça,,Alenquer,,Arruda dos Vinhos,,Bombarral,,Cadaval,,Caldas da Rainha,,Lourinhã,,Mafra,,Nazaré,,Óbidos,,Peniche,,Sobral de Monte Agraço,,Torres Vedras,,,,,,,,,,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),,,,,,,,,
BOVINOS,,,"4,642","159,317","2,097","46,008",512,"5,498",133,"3,590",49,946,25,684,76,"2,597",206,"4,735",119,"3,595",464,"10,900",53,"1,243",61,540,33,764,90,"3,024",276,"7,892",,,,,,,,,
Bovinos com menos de 1 ano,,,"3,147","51,864","1,472","18,663",369,"3,040",81,"1,755",24,246,18,304,59,832,149,"2,926",86,"1,480",318,"3,548",43,476,45,135,19,151,65,"1,022",196,"2,748",,,,,,,,,
,Vitelos de carne (para abate < 1 ano),,878,"9,563",349,"2,995",46,128,17,226,10,90,6,21,16,256,21,183,51,738,90,569,2,... ,4,8,6,12,20,124,60,638,,,,,,,,,
,Outros vitelos,,"2,394","42,301","1,168","15,668",328,"2,912",65,"1,529",16,156,14,283,48,576,128,"2,743",38,742,240,"2,979",41,474,42,127,13,139,48,898,147,"2,110",,,,,,,,,
,,Machos,"1,828","21,634",852,"8,567",241,"1,912",51,331,10,92,12,190,38,272,105,"2,099",29,314,159,"1,298",22,262,32,90,9,82,33,529,111,"1,096",,,,,,,,,
,,Fêmeas,"1,357","20,667",630,"7,101",164,"1,000",30,"1,198",7,64,7,93,24,304,42,644,21,428,159,"1,681",24,212,20,37,8,57,35,369,89,"1,014",,,,,,,,,
Bovinos de 1 a menos de 2 anos,,,"2,030","40,341",901,"13,725",169,"1,007",70,"1,435",31,428,12,208,36,897,73,"1,064",42,"1,034",248,"3,509",14,221,15,110,19,315,47,"1,088",125,"2,409",,,,,,,,,
,Machos,,"1,264","17,303",576,"7,334",102,683,55,617,24,251,9,161,23,272,54,803,27,592,156,"1,759",5,85,11,41,11,80,26,834,73,"1,156",,,,,,,,,
,Fêmeas reprodutoras,,"1,051","19,988",413,"4,895",68,286,24,194,15,131,3,46,18,617,24,232,22,391,113,"1,495",8,134,8,69,10,189,26,175,74,936,,,,,,,,,
,Fêmeas não reprodutoras,,242,"3,050",130,"1,496",20,38,9,624,3,46,1,... ,2,... ,8,29,2,... ,52,255,2,... ,- ,- ,3,46,9,79,19,317,,,,,,,,,
Bovinos de 2 anos e mais,,,"2,273","67,112",912,"13,620",203,"1,451",37,400,20,272,8,172,26,868,49,745,39,"1,081",263,"3,843",25,546,27,295,15,298,53,914,147,"2,735",,,,,,,,,
,Machos,,632,"3,438",177,755,28,52,12,31,5,5,2,... ,6,39,11,59,11,30,46,400,2,... ,6,8,4,6,15,65,29,54,,,,,,,,,
,Novilhas reprodutoras,,789,"14,562",263,"2,408",42,171,23,127,6,10,- ,- ,10,211,12,66,13,119,54,666,7,47,8,91,10,130,12,177,66,593,,,,,,,,,
,Novilhas não reprodutoras,,57,890,25,328,1,... ,1,... ,2,... ,- ,- ,1,... ,1,... ,3,29,6,177,2,... ,- ,- ,- ,- ,2,... ,6,46,,,,,,,,,
,Vacas leiteiras,,962,"28,478",431,"8,721",74,895,7,84,6,195,6,165,14,603,13,507,17,859,166,"2,332",11,454,11,182,7,78,31,594,68,"1,773",,,,,,,,,
,Outras vacas,,698,"19,744",235,"1,408",89,331,10,156,6,49,2,... ,1,... ,23,96,9,44,41,268,9,38,9,14,2,... ,8,41,26,269,,,,,,,,,
SUÍNOS,,,"10,993","1,072,748","5,263","452,618","1,482","178,265",233,"7,665",38,"10,325",212,"2,416",229,"19,883",888,"61,639",473,"47,184",394,"34,188",111,"3,691",278,"1,691",328,"12,763",68,"10,496",529,"62,412",,,,,,,,,
,Suínos com menos de 20 kg de PV,,"2,995","299,875","1,640","127,870",641,"51,977",35,"2,493",21,"2,620",29,637,85,"5,917",346,"17,884",168,"13,371",97,"8,099",22,811,25,403,27,"3,670",20,"2,756",124,"17,232",,,,,,,,,
,Fêmeas reprodutoras de 50 kg de PV e mais,,"4,283","124,993","2,085","51,287",975,"20,489",44,"1,191",20,"1,104",25,251,93,"2,268",560,"7,262",69,"4,293",99,"4,381",33,419,21,187,14,"1,398",24,"1,179",108,"6,865",,,,,,,,,
,Outros suínos,,"9,063","647,880","4,281","273,461","1,144","105,799",215,"3,981",32,"6,601",196,"1,528",200,"11,698",661,"36,493",347,"29,520",314,"21,708",91,"2,461",260,"1,101",315,"7,695",55,"6,561",451,"38,315",,,,,,,,,
OVINOS,,,"10,901","263,238","2,709","60,969",651,"10,720",280,"6,945",129,"3,403",41,732,113,"1,581",272,"2,868",144,"2,936",423,"11,316",27,300,80,"1,374",68,"2,031",139,"5,190",342,"11,573",,,,,,,,,
,Fêmeas reprodutoras,,"10,452","222,276","2,540","49,186",636,"6,651",264,"5,954",127,"3,067",34,572,105,"1,333",255,"2,110",122,"2,540",403,"9,251",26,212,68,996,60,"1,565",130,"4,649",310,"10,286",,,,,,,,,
,Outros ovinos,,"6,713","40,962","1,871","11,783",436,"4,069",193,991,86,336,31,160,74,248,179,758,77,396,310,"2,065",15,88,65,378,48,466,124,541,233,"1,287",,,,,,,,,
CAPRINOS,,,"5,274","46,562",715,"12,243",174,"1,574",61,856,31,189,26,643,60,"1,384",87,"1,394",40,"1,293",66,383,16,186,38,691,25,974,22,189,69,"2,487",,,,,,,,,
,Fêmeas reprodutoras,,"5,170","40,863",665,"10,696",166,"1,265",51,709,27,165,22,548,60,"1,215",84,"1,187",33,"1,230",64,321,14,141,37,621,23,900,22,158,62,"2,236",,,,,,,,,
,Outros caprinos,,"1,982","5,699",397,"1,547",84,309,35,147,17,24,17,95,40,169,43,207,19,63,34,62,10,45,17,70,20,74,17,31,44,251,,,,,,,,,
EQUÍDEOS,,,"3,312","10,444","1,042","2,154",152,239,132,321,23,77,19,72,60,84,76,174,34,52,205,518,21,29,56,115,99,156,65,100,100,217,,,,,,,,,
,Gado equino,,"1,429","8,374",382,"1,428",53,134,73,254,15,68,11,64,28,52,25,120,17,31,70,363,3,10,16,70,9,65,19,46,43,151,,,,,,,,,
,Fêmeas reprodutoras,,847,"3,285",187,432,25,44,26,80,9,18,6,27,20,32,11,47,7,10,38,92,1,... ,10,16,5,15,13,20,16,28,,,,,,,,,
,Outros equinos,,"1,091","5,089",297,996,42,90,66,174,11,50,9,37,13,20,23,73,13,21,50,271,3,7,12,54,7,50,15,26,33,123,,,,,,,,,
,Gado asinino,,"1,224","1,310",542,582,92,96,54,59,7,8,4,4,26,26,47,49,10,11,114,129,13,14,36,40,49,50,43,48,47,48,,,,,,,,,
,Gado muar,,733,760,139,144,9,9,8,8,1,... ,4,4,6,6,5,5,9,10,26,26,5,5,5,5,41,41,5,6,15,18,,,,,,,,,
COELHAS reprodutoras,,,"11,706","58,375","5,938","34,535","1,018","9,733",540,"1,265",62,231,361,890,365,"2,100",839,"5,113",639,"5,249",736,"2,397",19,"1,174",350,"1,336",238,"2,517",221,507,550,"2,023",,,,,,,,,
AVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frangos de carne (inclui galos),,"17,363","9,710,681","6,838","4,440,430","1,069","115,470",553,"2,116,898",144,"1,182",363,"25,600",278,"231,557",871,"375,006",938,"369,082",757,"787,560",62,793,434,"24,277",423,"5,419",252,"17,672",694,"369,914",,,,,,,,,
,Galinhas poedeiras e reprodutoras,,"25,970","4,410,908","9,669","1,248,943","1,830","14,533",803,"98,134",175,"1,302",448,"451,138",396,"2,216","1,312","158,334",922,"305,833","1,239","9,872",192,"2,034",489,"3,542",332,"2,004",376,"2,540","1,155","197,461",,,,,,,,,
