Efectivo animal (Península de Setúbal),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,,,,,,,,Pág.3/7
,,,LISBOA E VALE DO TEJO,,Península de Setúbal,,Alcochete,,Almada,,Barreiro,,Moita,,Montijo,,Palmela,,Seixal,,Sesimbra,,Setúbal,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,"4,642","159,317",404,"29,082",13,"1,515",24,355,12,285,49,"8,641",69,"5,501",128,"10,216",24,350,34,736,51,"1,483"
Bovinos com menos de 1 ano,,,"3,147","51,864",266,"8,034",8,206,8,108,11,140,29,"1,146",46,"1,843",92,"3,681",14,189,22,233,36,488
,Vitelos de carne (para abate < 1 ano),,878,"9,563",79,"2,016",2,... ,1,... ,1,... ,14,424,6,115,37,"1,243",- ,- ,7,102,11,97
,Outros vitelos,,"2,394","42,301",203,"6,018",7,173,7,107,10,139,18,722,41,"1,728",62,"2,438",14,189,17,131,27,391
,,Machos,"1,828","21,634",156,"3,320",7,118,7,87,9,131,10,233,34,918,48,"1,441",10,150,12,70,19,172
,,Fêmeas,"1,357","20,667",121,"2,698",5,55,4,20,3,8,11,489,27,810,40,997,8,39,9,61,14,219
Bovinos de 1 a menos de 2 anos,,,"2,030","40,341",196,"9,993",7,509,8,71,- ,- ,26,"3,873",43,"1,288",66,"3,639",8,46,16,182,22,385
,Machos,,"1,264","17,303",109,"3,108",3,303,- ,- ,- ,- ,9,78,24,567,48,"1,949",5,34,9,44,11,133
,Fêmeas reprodutoras,,"1,051","19,988",120,"6,327",6,180,8,71,- ,- ,22,"3,795",25,661,33,"1,337",4,11,10,114,12,158
,Fêmeas não reprodutoras,,242,"3,050",24,558,3,26,- ,- ,- ,- ,- ,- ,5,60,10,353,1,... ,2,... ,3,94
Bovinos de 2 anos e mais,,,"2,273","67,112",222,"11,055",8,800,17,176,6,145,29,"3,622",43,"2,370",63,"2,896",14,115,17,321,25,610
,Machos,,632,"3,438",78,589,7,115,6,10,- ,- ,5,11,23,184,23,198,2,... ,3,8,9,61
,Novilhas reprodutoras,,789,"14,562",81,"2,843",5,268,11,109,2,... ,17,894,10,534,22,825,3,63,4,32,7,83
,Novilhas não reprodutoras,,57,890,5,55,- ,- ,1,... ,- ,- ,1,... ,1,... ,1,... ,- ,- ,- ,- ,1,... 
,Vacas leiteiras,,962,"28,478",106,"5,055",- ,- ,2,... ,5,108,19,"2,655",18,937,25,883,9,41,12,86,16,316
,Outras vacas,,698,"19,744",66,"2,513",4,417,8,26,1,... ,3,61,18,714,22,989,3,9,4,195,3,100
SUÍNOS,,,"10,993","1,072,748",995,"211,382",40,"17,669",34,249,14,54,71,"9,094",232,"75,960",428,"96,765",30,"9,403",67,351,79,"1,837"
,Suínos com menos de 20 kg de PV,,"2,995","299,875",359,"56,655",27,"3,959",6,43,1,... ,25,"3,228",103,"17,673",168,"28,384",9,"3,033",11,114,9,220
,Fêmeas reprodutoras de 50 kg de PV e mais,,"4,283","124,993",497,"26,004",27,"2,180",21,58,3,9,26,"1,370",114,"8,852",250,"12,246",10,"1,076",21,53,25,160
,Outros suínos,,"9,063","647,880",845,"128,723",36,"11,530",23,148,11,44,53,"4,496",213,"49,435",371,"56,135",24,"5,294",53,184,61,"1,457"
OVINOS,,,"10,901","263,238","1,023","51,239",35,"1,687",39,"1,420",39,610,76,"2,154",187,"13,486",374,"19,289",39,"1,158",103,"3,580",131,"7,855"
