"Explorações segundo o número de bovinos (Oeste, Grande Lisboa e Península de Setúbal - Classes do número de animais 30 a >=300)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,Pág.2/4
REGIÃO AGRÁRIA,,,,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,
,,Concelho,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
LISBOA E VALE DO TEJO,,,expl (nº),   160 ,   101 ,   89 ,   178 ,   212 ,   70 ,   109 
,,,efect (nº),  5 365 ,  4 443 ,  4 732 ,  13 723 ,  28 777 ,  16 644 ,  63 580 
,Oeste,,expl (nº),   74 ,   40 ,   39 ,   63 ,   60 ,   17 ,   23 
,,,efect (nº),  2 499 ,  1 731 ,  2 065 ,  4 850 ,  8 373 ,  3 848 ,  12 401 
,,Alcobaça,expl (nº),   7 ,   4 ,   6 ,   6 ,   7 ,   1 ,   2 
,,,efect (nº),   230 ,   173 ,   315 ,   445 ,  1 000 ,... ,... 
,,Alenquer,expl (nº),   3 ,   5 ,   2 ,   1 ,   2 ,   2 ,   2 
,,,efect (nº),   105 ,   220 ,... ,... ,... ,... ,... 
,,Arruda dos Vinhos,expl (nº),   3 ,   1 ,   2 ,   3 ,   2 ,- ,- 
,,,efect (nº),   101 ,... ,... ,   202 ,... ,- ,- 
,,Bombarral,expl (nº),   1 ,- ,- ,- ,   1 ,   2 ,- 
,,,efect (nº),... ,- ,- ,- ,... ,... ,- 
,,Cadaval,expl (nº),   4 ,- ,   3 ,   4 ,   2 ,   1 ,   2 
,,,efect (nº),   124 ,- ,   162 ,   316 ,... ,... ,... 
,,Caldas da Rainha,expl (nº),   4 ,   3 ,   9 ,   2 ,   7 ,   4 ,   1 
,,,efect (nº),   139 ,   122 ,   457 ,... ,  1 046 ,   893 ,... 
,,Lourinhã,expl (nº),   4 ,   1 ,   4 ,   5 ,   8 ,   1 ,   2 
,,,efect (nº),   128 ,... ,   227 ,   412 ,  1 221 ,... ,... 
,,Mafra,expl (nº),   27 ,   11 ,   6 ,   23 ,   14 ,   2 ,   4 
,,,efect (nº),   929 ,   486 ,   316 ,  1 774 ,  1 909 ,... ,  2 719 
,,Nazaré,expl (nº),- ,- ,   1 ,   1 ,- ,   1 ,   2 
,,,efect (nº),- ,- ,... ,... ,- ,... ,... 
,,Óbidos,expl (nº),   1 ,   2 ,   1 ,- ,   1 ,- ,- 
,,,efect (nº),... ,... ,... ,- ,... ,- ,- 
,,Peniche,expl (nº),   2 ,- ,- ,   3 ,   2 ,- ,- 
,,,efect (nº),... ,- ,- ,   231 ,... ,- ,- 
,,Sobral de Monte Agraço,expl (nº),   5 ,   1 ,- ,   1 ,   5 ,   2 ,   2 
,,,efect (nº),   185 ,... ,- ,... ,   609 ,... ,... 
,,Torres Vedras,expl (nº),   13 ,   12 ,   5 ,   14 ,   9 ,   1 ,   6 
,,,efect (nº),   427 ,   515 ,   271 ,  1 080 ,  1 196 ,... ,  2 706 
,Grande Lisboa,,expl (nº),   8 ,   5 ,   10 ,   10 ,   14 ,   7 ,   9 
,,,efect (nº),   272 ,   213 ,   564 ,   789 ,  1 990 ,  1 549 ,  4 351 
,,Amadora,expl (nº),- ,- ,   1 ,- ,   1 ,- ,- 
,,,efect (nº),- ,- ,... ,- ,... ,- ,- 
,,Cascais,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Loures,expl (nº),- ,   2 ,   4 ,- ,   2 ,   3 ,   3 
,,,efect (nº),- ,... ,   226 ,- ,... ,   612 ,  1 047 
,,Odivelas,expl (nº),   1 ,- ,- ,- ,- ,- ,   1 
,,,efect (nº),... ,- ,- ,- ,- ,- ,... 
,,Oeiras,expl (nº),   1 ,- ,- ,- ,   1 ,- ,- 
,,,efect (nº),... ,- ,- ,- ,... ,- ,- 
,,Sintra,expl (nº),   5 ,   2 ,   2 ,   6 ,   5 ,   1 ,   2 
,,,efect (nº),   172 ,... ,... ,   475 ,   644 ,... ,... 
,,Vila Franca de Xira,expl (nº),   1 ,   1 ,   3 ,   4 ,   5 ,   3 ,   3 
,,,efect (nº),... ,... ,   162 ,   314 ,   741 ,   730 ,  1 778 
,Península de Setúbal,,expl (nº),   13 ,   12 ,   11 ,   30 ,   40 ,   12 ,   28 
,,,efect (nº),   433 ,   545 ,   599 ,  2 216 ,  5 261 ,  2 947 ,  15 088 
,,Alcochete,expl (nº),   2 ,   1 ,- ,   2 ,   1 ,- ,   2 
,,,efect (nº),... ,... ,- ,... ,... ,- ,... 
