Máquinas e equipamentos (Oeste),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,,Pág.1/5
,,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
Explorações que utilizam tractores,,,expl (nº),  51 103 ,  19 932 ,  2 851 ,  2 410 ,   695 ,   980 ,  1 493 ,  1 952 ,  1 893 ,  1 982 ,   289 ,   936 ,   763 ,   597 ,  3 091 
Máquinas pertencentes à exploração,,,,,,,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),  24 753 ,  9 882 ,  1 585 ,   944 ,   323 ,   535 ,   716 ,  1 097 ,   723 ,  1 101 ,   202 ,   482 ,   328 ,   207 ,  1 639 
,,,máq (nº),  33 589 ,  13 527 ,  1 992 ,  1 383 ,   465 ,   768 ,   980 ,  1 406 ,   991 ,  1 454 ,   265 ,   645 ,   442 ,   306 ,  2 430 
,,De menos de 20 c.v.,expl (nº),  2 707 ,   749 ,   156 ,   66 ,   38 ,   11 ,   12 ,   120 ,   44 ,   76 ,   3 ,   27 ,   36 ,   10 ,   150 
,,,máq (nº),  2 818 ,   794 ,   164 ,   70 ,   40 ,   11 ,   13 ,   124 ,   49 ,   85 ,   3 ,   30 ,   36 ,   10 ,   159 
,,De 20 a menos de 34 c.v.,expl (nº),  4 498 ,  1 489 ,   368 ,   175 ,   55 ,   71 ,   95 ,   176 ,   101 ,   104 ,   22 ,   64 ,   43 ,   17 ,   198 
,,,máq (nº),  4 580 ,  1 527 ,   373 ,   180 ,   55 ,   71 ,   99 ,   178 ,   103 ,   106 ,   22 ,   65 ,   54 ,   18 ,   203 
,,De 34 a menos de 55 c.v.,expl (nº),  10 400 ,  4 786 ,   711 ,   455 ,   154 ,   288 ,   405 ,   480 ,   376 ,   528 ,   103 ,   231 ,   138 ,   96 ,   821 
,,,máq (nº),  11 386 ,  5 313 ,   778 ,   515 ,   175 ,   325 ,   468 ,   518 ,   410 ,   578 ,   112 ,   248 ,   142 ,   113 ,   931 
,,De 55 a menos de 82 c.v.,expl (nº),  9 104 ,  3 999 ,   499 ,   365 ,   123 ,   235 ,   285 ,   430 ,   279 ,   514 ,   96 ,   208 ,   148 ,   106 ,   711 
,,,máq (nº),  11 814 ,  5 244 ,   641 ,   530 ,   163 ,   332 ,   356 ,   553 ,   344 ,   629 ,   121 ,   278 ,   171 ,   136 ,   990 
,,De 82 a menos de 109 c.v,expl (nº),  1 682 ,   453 ,   30 ,   59 ,   26 ,   22 ,   31 ,   26 ,   58 ,   33 ,   4 ,   14 ,   27 ,   21 ,   102 
,,,máq (nº),  2 098 ,   523 ,   33 ,   67 ,   27 ,   25 ,   35 ,   29 ,   69 ,   42 ,   4 ,   15 ,   31 ,   23 ,   123 
,,De 109 c.v. e mais,expl (nº),   634 ,   98 ,   3 ,   14 ,   5 ,   4 ,   5 ,   3 ,   12 ,   14 ,   3 ,   5 ,   6 ,   6 ,   18 
,,,máq (nº),   893 ,   126 ,   3 ,   21 ,   5 ,   4 ,   9 ,   4 ,   16 ,   14 ,   3 ,   9 ,   8 ,   6 ,   24 
,Motocultivadores,,expl (nº),  15 950 ,  9 351 ,   615 ,   977 ,   244 ,   565 ,   522 ,   615 ,  1 413 ,  1 136 ,   126 ,   368 ,   433 ,   294 ,  2 043 
,,,máq (nº),  18 118 ,  11 198 ,   668 ,  1 055 ,   262 ,   664 ,   544 ,   669 ,  2 186 ,  1 314 ,   138 ,   399 ,   593 ,   335 ,  2 371 
,Motoenxadas (motofresas),,expl (nº),  7 133 ,  3 360 ,   193 ,   379 ,   42 ,   95 ,   188 ,   768 ,   229 ,   462 ,   11 ,   496 ,   50 ,   80 ,   367 
,,,máq (nº),  7 717 ,  3 636 ,   198 ,   387 ,   46 ,   102 ,   194 ,   839 ,   236 ,   521 ,   12 ,   572 ,   52 ,   82 ,   395 
,Motoceifeiras (motogadanheiras),,expl (nº),  1 096 ,   351 ,   121 ,   45 ,   10 ,   5 ,   8 ,   20 ,   10 ,   51 ,   4 ,   12 ,   13 ,   29 ,   23 
,,,máq (nº),  1 134 ,   372 ,   124 ,   50 ,   11 ,   7 ,   8 ,   20 ,   10 ,   57 ,   4 ,   12 ,   13 ,   33 ,   23 
