Máquinas e equipamentos (Lezíria do Tejo),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1999,,,,,,,,,,
,,,,,,,,,,,,,,,,Pág.5/5,,,,,,,,,,
,,,,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém,,,,,,,,,,
Explorações que utilizam tractores,,,expl (nº),  51 103 ,  13 118 ,  1 231 ,   611 ,  1 370 ,   584 ,   851 ,   474 ,  1 248 ,   248 ,  1 759 ,   809 ,  3 933 ,,,,,,,,,,
Máquinas pertencentes à exploração,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),  24 753 ,  6 939 ,   806 ,   494 ,   627 ,   394 ,   543 ,   333 ,   770 ,   167 ,   777 ,   496 ,  1 532 ,,,,,,,,,,
,,,máq (nº),  33 589 ,  9 970 ,  1 087 ,   697 ,   923 ,   769 ,   789 ,   548 ,  1 212 ,   330 ,   893 ,   744 ,  1 978 ,,,,,,,,,,
,,De menos de 20 c.v.,expl (nº),  2 707 ,   598 ,   51 ,   12 ,   71 ,   40 ,   34 ,   34 ,   91 ,   16 ,   106 ,   55 ,   88 ,,,,,,,,,,
,,,máq (nº),  2 818 ,   610 ,   51 ,   12 ,   73 ,   44 ,   35 ,   34 ,   92 ,   16 ,   108 ,   56 ,   89 ,,,,,,,,,,
,,De 20 a menos de 34 c.v.,expl (nº),  4 498 ,  1 216 ,   177 ,   119 ,   131 ,   42 ,   113 ,   56 ,   137 ,   14 ,   122 ,   89 ,   216 ,,,,,,,,,,
,,,máq (nº),  4 580 ,  1 228 ,   179 ,   119 ,   133 ,   43 ,   117 ,   57 ,   138 ,   14 ,   123 ,   89 ,   216 ,,,,,,,,,,
,,De 34 a menos de 55 c.v.,expl (nº),  10 400 ,  2 587 ,   404 ,   266 ,   291 ,   89 ,   247 ,   111 ,   169 ,   32 ,   268 ,   167 ,   543 ,,,,,,,,,,
,,,máq (nº),  11 386 ,  2 804 ,   441 ,   300 ,   314 ,   102 ,   276 ,   131 ,   175 ,   33 ,   276 ,   181 ,   575 ,,,,,,,,,,
,,De 55 a menos de 82 c.v.,expl (nº),  9 104 ,  2 848 ,   233 ,   139 ,   203 ,   225 ,   180 ,   165 ,   381 ,   106 ,   286 ,   218 ,   712 ,,,,,,,,,,
,,,máq (nº),  11 814 ,  3 709 ,   301 ,   177 ,   279 ,   327 ,   251 ,   215 ,   541 ,   160 ,   324 ,   294 ,   840 ,,,,,,,,,,
,,De 82 a menos de 109 c.v,expl (nº),  1 682 ,   842 ,   69 ,   54 ,   53 ,   104 ,   55 ,   60 ,   129 ,   49 ,   38 ,   72 ,   159 ,,,,,,,,,,
,,,máq (nº),  2 098 ,  1 084 ,   84 ,   69 ,   76 ,   144 ,   70 ,   73 ,   180 ,   66 ,   40 ,   97 ,   185 ,,,,,,,,,,
,,De 109 c.v. e mais,expl (nº),   634 ,   356 ,   20 ,   15 ,   25 ,   60 ,   27 ,   25 ,   64 ,   26 ,   21 ,   17 ,   56 ,,,,,,,,,,
,,,máq (nº),   893 ,   535 ,   31 ,   20 ,   48 ,   109 ,   40 ,   38 ,   86 ,   41 ,   22 ,   27 ,   73 ,,,,,,,,,,
,Motocultivadores,,expl (nº),  15 950 ,  1 638 ,   119 ,   78 ,   227 ,   69 ,   95 ,   119 ,   140 ,   35 ,   289 ,   39 ,   428 ,,,,,,,,,,
,,,máq (nº),  18 118 ,  1 685 ,   120 ,   82 ,   234 ,   72 ,   95 ,   129 ,   146 ,   35 ,   293 ,   39 ,   440 ,,,,,,,,,,
,Motoenxadas (motofresas),,expl (nº),  7 133 ,   610 ,   107 ,   21 ,   43 ,   20 ,   17 ,   31 ,   22 ,   3 ,   95 ,   8 ,   243 ,,,,,,,,,,
