Principais características da população familiar - Homem/Mulher (Grande Lisboa),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,Pág.4/15
,,,Grande Lisboa,Amadora,Cascais,Loures,Odivelas,Oeiras,Sintra,Vila Franca de Xira
,,,nº de indivíduos,,,,,,,
Homem/Mulher,,,,,,,,,,
População familiar,,,  9 235 ,   49 ,   158 ,  2 458 ,   193 ,   50 ,  4 203 ,  2 124 
Nível de instrução,,,,,,,,,,
,Não sabe ler nem escrever,,  1 549 ,   17 ,   27 ,   416 ,   36 ,   6 ,   736 ,   311 
,Sabe ler e escrever,,  1 179 ,   6 ,   32 ,   289 ,   26 ,   2 ,   551 ,   273 
,Básico - 1º ciclo,,  3 845 ,   11 ,   67 ,  1 067 ,   71 ,   26 ,  1 763 ,   840 
,Básico - 2º ciclo,,   892 ,   3 ,   13 ,   250 ,   11 ,   3 ,   389 ,   223 
,Básico - 3º ciclo,,   780 ,   4 ,   11 ,   202 ,   23 ,   6 ,   336 ,   198 
,Secundário agrícola,,   47 ,- ,- ,   20 ,- ,- ,   15 ,   12 
,Secundário não agrícola,,   575 ,   5 ,   1 ,   132 ,   15 ,- ,   264 ,   158 
,Politécnico / Superior agrícola,,   46 ,- ,   1 ,   14 ,- ,- ,   12 ,   19 
,Politécnico / Superior não agrícola,,   322 ,   3 ,   6 ,   68 ,   11 ,   7 ,   137 ,   90 
Formação profissional agrícola,,,,,,,,,,
,Exclusivamente prática,,  7 306 ,   29 ,   154 ,  1 857 ,   145 ,   46 ,  3 335 ,  1 740 
,Curta duração,,   72 ,   1 ,- ,   11 ,   3 ,- ,   47 ,   10 
,Longa duração,,   168 ,- ,- ,   45 ,   1 ,- ,   100 ,   22 
,Longa e curta duração,,   90 ,- ,   3 ,   28 ,- ,   2 ,   47 ,   10 
,Completa,,   93 ,- ,   1 ,   34 ,- ,- ,   27 ,   31 
Tempo de actividade agrícola ,,,,,,,,,,
,Sem actividade,,  1 646 ,   19 ,- ,   559 ,   51 ,   2 ,   694 ,   321 
,Tempo parcial,,  6 463 ,   21 ,   120 ,  1 638 ,   103 ,   41 ,  2 803 ,  1 737 
,> 0 - < 25%,,  2 782 ,   8 ,   36 ,   665 ,   60 ,   17 ,  1 261 ,   735 
,25 - < 50%,,  1 660 ,   6 ,   31 ,   306 ,   16 ,   7 ,   821 ,   473 
,50 - < 75%,,   757 ,   2 ,   17 ,   141 ,   12 ,   7 ,   383 ,   195 
,75 - < 100%,,  1 264 ,   5 ,   36 ,   526 ,   15 ,   10 ,   338 ,   334 
,Tempo completo,,  1 126 ,   9 ,   38 ,   261 ,   39 ,   7 ,   706 ,   66 
Actividades remuneradas exterior à exploração,,,,,,,,,,
,Principal,,  3 053 ,   11 ,   44 ,   718 ,   68 ,   20 ,  1 370 ,   822 
,,Sector primário,   226 ,   1 ,- ,   68 ,   1 ,   1 ,   86 ,   69 
,,Sector secundário,  1 127 ,   1 ,   6 ,   307 ,   7 ,   6 ,   531 ,   269 
,,Sector terciário,  1 700 ,   9 ,   38 ,   343 ,   60 ,   13 ,   753 ,   484 
,Secundária,,   44 ,- ,- ,   11 ,   2 ,- ,   23 ,   8 
,,Sector primário,   13 ,- ,- ,- ,   1 ,- ,   7 ,   5 
,,Sector secundário,   15 ,- ,- ,   4 ,   1 ,- ,   9 ,   1 
,,Sector terciário,   16 ,- ,- ,   7 ,- ,- ,   7 ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,
,Patrão/empregador,,   434 ,- ,   11 ,   119 ,   7 ,   5 ,   195 ,   97 
,Trabalhador por conta própria,,   628 ,   2 ,   13 ,   110 ,   7 ,   4 ,   342 ,   150 
,Trabalhador por conta de outrem,,  1 966 ,   9 ,   20 ,   479 ,   54 ,   10 ,   816 ,   578 
,Trabalhador familiar remunerado,,   43 ,- ,- ,   13 ,   1 ,- ,   25 ,   4 
,Outra situação,,   26 ,- ,- ,   8 ,   1 ,   1 ,   15 ,   1 
Dirigente na população familiar,,,  3 494 ,   17 ,   85 ,   937 ,   66 ,   30 ,  1 614 ,   745 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
