Principais características do produtor singular - Mulher (Oeste),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.3/15
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,,,nº de indivíduos,,,,,,,,,,,,,,
Mulher,,,,,,,,,,,,,,,,,
Produtor singular,,,  8 586 ,  2 022 ,   227 ,   246 ,   93 ,   75 ,   124 ,   163 ,   150 ,   311 ,   27 ,   54 ,   40 ,   89 ,   423 
,Autónomo,,  8 074 ,  1 910 ,   218 ,   230 ,   92 ,   66 ,   118 ,   156 ,   140 ,   300 ,   25 ,   51 ,   36 ,   85 ,   393 
,Empresário,,   512 ,   112 ,   9 ,   16 ,   1 ,   9 ,   6 ,   7 ,   10 ,   11 ,   2 ,   3 ,   4 ,   4 ,   30 
Nível de instrução,,,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  1 510 ,   326 ,   60 ,   40 ,   18 ,   4 ,   20 ,   37 ,   20 ,   42 ,- ,   5 ,   2 ,   16 ,   62 
,Sabe ler e escrever,,  1 730 ,   415 ,   39 ,   55 ,   22 ,   16 ,   18 ,   33 ,   27 ,   71 ,   2 ,   8 ,   4 ,   26 ,   94 
,Básico - 1º ciclo,,  3 609 ,   858 ,   94 ,   98 ,   44 ,   22 ,   48 ,   60 ,   70 ,   141 ,   16 ,   27 ,   22 ,   39 ,   177 
,Básico - 2º ciclo,,   689 ,   195 ,   19 ,   19 ,   6 ,   9 ,   16 ,   19 ,   17 ,   23 ,   3 ,   7 ,   9 ,   5 ,   43 
,Básico - 3º ciclo,,   432 ,   92 ,   7 ,   4 ,- ,   14 ,   9 ,   6 ,   9 ,   16 ,   1 ,   5 ,   2 ,   1 ,   18 
,Secundário agrícola,,   24 ,   5 ,- ,   1 ,   1 ,   1 ,- ,- ,- ,- ,   1 ,- ,- ,- ,   1 
