Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Oeste),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,Pág.1/5
,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,nº de indivíduos,,,,,,,,,,,,,,
Tempo de actividade agrícola dos trabalhadores permanentes,  13 421 ,  4 179 ,   401 ,   347 ,   76 ,   325 ,   281 ,   328 ,   580 ,   275 ,   52 ,   149 ,   171 ,   87 ,  1 107 
Tempo parcial,  4 429 ,  1 828 ,   173 ,   127 ,   47 ,   181 ,   151 ,   192 ,   218 ,   80 ,   13 ,   58 ,   58 ,   27 ,   503 
> 0 - < 25%,  1 072 ,   477 ,   38 ,   33 ,   7 ,   56 ,   68 ,   50 ,   76 ,   20 ,   4 ,   8 ,   14 ,   12 ,   91 
25 - < 50%,   989 ,   391 ,   45 ,   29 ,   9 ,   57 ,   18 ,   28 ,   50 ,   15 ,   7 ,   7 ,   12 ,   6 ,   108 
50 - < 75%,  1 027 ,   408 ,   39 ,   35 ,   5 ,   28 ,   43 ,   47 ,   44 ,   8 ,- ,   16 ,   17 ,   4 ,   122 
75 - < 100%,  1 341 ,   552 ,   51 ,   30 ,   26 ,   40 ,   22 ,   67 ,   48 ,   37 ,   2 ,   27 ,   15 ,   5 ,   182 
Tempo completo,  8 992 ,  2 351 ,   228 ,   220 ,   29 ,   144 ,   130 ,   136 ,   362 ,   195 ,   39 ,   91 ,   113 ,   60 ,   604 
Homem,  8 599 ,  2 653 ,   254 ,   256 ,   62 ,   219 ,   212 ,   200 ,   337 ,   213 ,   26 ,   87 ,   122 ,   64 ,   601 
Tempo parcial,  2 832 ,  1 082 ,   104 ,   92 ,   38 ,   130 ,   109 ,   117 ,   131 ,   52 ,   3 ,   29 ,   43 ,   16 ,   218 
> 0 - < 25%,   716 ,   321 ,   27 ,   20 ,   7 ,   34 ,   61 ,   40 ,   40 ,   14 ,   3 ,   7 ,   14 ,   7 ,   47 
25 - < 50%,   634 ,   245 ,   28 ,   21 ,   9 ,   47 ,   16 ,   13 ,   36 ,   11 ,- ,   5 ,   7 ,   4 ,   48 
50 - < 75%,   597 ,   205 ,   21 ,   23 ,   5 ,   22 ,   15 ,   28 ,   28 ,   4 ,- ,   5 ,   15 ,   3 ,   36 
75 - < 100%,   885 ,   311 ,   28 ,   28 ,   17 ,   27 ,   17 ,   36 ,   27 ,   23 ,- ,   12 ,   7 ,   2 ,   87 
Tempo completo,  5 767 ,  1 571 ,   150 ,   164 ,   24 ,   89 ,   103 ,   83 ,   206 ,   161 ,   23 ,   58 ,   79 ,   48 ,   383 
Mulher,  4 822 ,  1 526 ,   147 ,   91 ,   14 ,   106 ,   69 ,   128 ,   243 ,   62 ,   26 ,   62 ,   49 ,   23 ,   506 
Tempo parcial,  1 597 ,   746 ,   69 ,   35 ,   9 ,   51 ,   42 ,   75 ,   87 ,   28 ,   10 ,   29 ,   15 ,   11 ,   285 
> 0 - < 25%,   356 ,   156 ,   11 ,   13 ,- ,   22 ,   7 ,   10 ,   36 ,   6 ,   1 ,   1 ,- ,   5 ,   44 
25 - < 50%,   355 ,   146 ,   17 ,   8 ,- ,   10 ,   2 ,   15 ,   14 ,   4 ,   7 ,   2 ,   5 ,   2 ,   60 
50 - < 75%,   430 ,   203 ,   18 ,   12 ,- ,   6 ,   28 ,   19 ,   16 ,   4 ,- ,   11 ,   2 ,   1 ,   86 
75 - < 100%,   456 ,   241 ,   23 ,   2 ,   9 ,   13 ,   5 ,   31 ,   21 ,   14 ,   2 ,   15 ,   8 ,   3 ,   95 
Tempo completo,  3 225 ,   780 ,   78 ,   56 ,   5 ,   55 ,   27 ,   53 ,   156 ,   34 ,   16 ,   33 ,   34 ,   12 ,   221 
Tempo de actividade agrícola dos dirigentes assalariados,  1 752 ,   560 ,   53 ,   84 ,   16 ,   33 ,   49 ,   29 ,   60 ,   50 ,   7 ,   16 ,   25 ,   17 ,   121 
Tempo parcial,  1 223 ,   336 ,   26 ,   68 ,   13 ,   24 ,   40 ,   15 ,   31 ,   23 ,   3 ,   4 ,   9 ,   8 ,   72 
> 0 - < 25%,   369 ,   104 ,   6 ,   25 ,   2 ,   4 ,   23 ,   5 ,   7 ,   8 ,   1 ,   1 ,   2 ,   2 ,   18 
