Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Grande Lisboa),,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,Pág.2/5
,LISBOA E VALE DO TEJO,Grande Lisboa,Amadora,Cascais,Loures,Odivelas,Oeiras,Sintra,Vila Franca de Xira
,nº de indivíduos,,,,,,,,
Tempo de actividade agrícola dos trabalhadores permanentes,  13 421 ,   896 ,   6 ,   54 ,   167 ,   22 ,   23 ,   442 ,   182 
Tempo parcial,  4 429 ,   275 ,- ,   39 ,   45 ,   7 ,   6 ,   122 ,   56 
> 0 - < 25%,  1 072 ,   57 ,- ,   3 ,   12 ,   2 ,- ,   21 ,   19 
25 - < 50%,   989 ,   69 ,- ,   4 ,   17 ,   2 ,   1 ,   38 ,   7 
50 - < 75%,  1 027 ,   64 ,- ,   24 ,   5 ,- ,   1 ,   29 ,   5 
75 - < 100%,  1 341 ,   85 ,- ,   8 ,   11 ,   3 ,   4 ,   34 ,   25 
Tempo completo,  8 992 ,   621 ,   6 ,   15 ,   122 ,   15 ,   17 ,   320 ,   126 
Homem,  8 599 ,   599 ,   6 ,   30 ,   120 ,   18 ,   20 ,   280 ,   125 
Tempo parcial,  2 832 ,   190 ,- ,   15 ,   37 ,   5 ,   5 ,   81 ,   47 
> 0 - < 25%,   716 ,   47 ,- ,   2 ,   11 ,- ,- ,   17 ,   17 
25 - < 50%,   634 ,   39 ,- ,   2 ,   12 ,   2 ,   1 ,   17 ,   5 
50 - < 75%,   597 ,   31 ,- ,   4 ,   5 ,- ,   1 ,   16 ,   5 
75 - < 100%,   885 ,   73 ,- ,   7 ,   9 ,   3 ,   3 ,   31 ,   20 
Tempo completo,  5 767 ,   409 ,   6 ,   15 ,   83 ,   13 ,   15 ,   199 ,   78 
Mulher,  4 822 ,   297 ,- ,   24 ,   47 ,   4 ,   3 ,   162 ,   57 
Tempo parcial,  1 597 ,   85 ,- ,   24 ,   8 ,   2 ,   1 ,   41 ,   9 
> 0 - < 25%,   356 ,   10 ,- ,   1 ,   1 ,   2 ,- ,   4 ,   2 
25 - < 50%,   355 ,   30 ,- ,   2 ,   5 ,- ,- ,   21 ,   2 
50 - < 75%,   430 ,   33 ,- ,   20 ,- ,- ,- ,   13 ,- 
75 - < 100%,   456 ,   12 ,- ,   1 ,   2 ,- ,   1 ,   3 ,   5 
Tempo completo,  3 225 ,   212 ,- ,- ,   39 ,   2 ,   2 ,   121 ,   48 
Tempo de actividade agrícola dos dirigentes assalariados,  1 752 ,   138 ,   2 ,   11 ,   27 ,   5 ,   4 ,   48 ,   41 
Tempo parcial,  1 223 ,   111 ,- ,   9 ,   21 ,   5 ,   3 ,   36 ,   37 
> 0 - < 25%,   369 ,   25 ,- ,   1 ,   8 ,   2 ,- ,   6 ,   8 
25 - < 50%,   263 ,   23 ,- ,   3 ,   6 ,   1 ,   1 ,   6 ,   6 
50 - < 75%,   200 ,   16 ,- ,   3 ,   2 ,- ,   1 ,   7 ,   3 
75 - < 100%,   391 ,   47 ,- ,   2 ,   5 ,   2 ,   1 ,   17 ,   20 
Tempo completo,   529 ,   27 ,   2 ,   2 ,   6 ,- ,   1 ,   12 ,   4 
Homem,  1 556 ,   118 ,   2 ,   9 ,   23 ,   3 ,   4 ,   42 ,   35 
