Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Península de Setúbal),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,Pág.3/5
,LISBOA E VALE DO TEJO,Península de Setúbal,Alcochete,Almada,Barreiro,Moita,Montijo,Palmela,Seixal,Sesimbra,Setúbal
,nº de indivíduos,,,,,,,,,,
Tempo de actividade agrícola dos trabalhadores permanentes,  13 421 ,  2 212 ,   274 ,   16 ,   4 ,   97 ,   586 ,   862 ,   28 ,   47 ,   298 
Tempo parcial,  4 429 ,   534 ,   16 ,   8 ,   1 ,   17 ,   124 ,   169 ,   11 ,   11 ,   177 
> 0 - < 25%,  1 072 ,   146 ,   4 ,   2 ,- ,   1 ,   53 ,   57 ,   7 ,   1 ,   21 
25 - < 50%,   989 ,   216 ,   4 ,   2 ,   1 ,   4 ,   24 ,   59 ,   2 ,   3 ,   117 
50 - < 75%,  1 027 ,   63 ,   1 ,   1 ,- ,   2 ,   21 ,   20 ,   1 ,   2 ,   15 
75 - < 100%,  1 341 ,   109 ,   7 ,   3 ,- ,   10 ,   26 ,   33 ,   1 ,   5 ,   24 
Tempo completo,  8 992 ,  1 678 ,   258 ,   8 ,   3 ,   80 ,   462 ,   693 ,   17 ,   36 ,   121 
Homem,  8 599 ,  1 155 ,   69 ,   8 ,   4 ,   64 ,   263 ,   483 ,   18 ,   33 ,   213 
Tempo parcial,  2 832 ,   340 ,   9 ,   3 ,   1 ,   17 ,   75 ,   82 ,   11 ,   9 ,   133 
> 0 - < 25%,   716 ,   96 ,   4 ,   1 ,- ,   1 ,   32 ,   38 ,   7 ,- ,   13 
25 - < 50%,   634 ,   147 ,   4 ,- ,   1 ,   4 ,   14 ,   19 ,   2 ,   2 ,   101 
50 - < 75%,   597 ,   38 ,   1 ,- ,- ,   2 ,   12 ,   9 ,   1 ,   2 ,   11 
75 - < 100%,   885 ,   59 ,- ,   2 ,- ,   10 ,   17 ,   16 ,   1 ,   5 ,   8 
Tempo completo,  5 767 ,   815 ,   60 ,   5 ,   3 ,   47 ,   188 ,   401 ,   7 ,   24 ,   80 
Mulher,  4 822 ,  1 057 ,   205 ,   8 ,- ,   33 ,   323 ,   379 ,   10 ,   14 ,   85 
