Produtor singular segundo a dimensão económica e as classes de idade,,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,Pág.1/6
REGIÃO AGRÁRIA,,,,Total,Classes de dimensão económica (UDE),,,,,,
,Nut III,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Concelho,,,nº de indíviduos,,,,,,
LISBOA E VALE DO TEJO,,,,,,,,,,,
,,,Total,  59 319 ,  21 073 ,  13 126 ,  10 294 ,  6 828 ,  5 264 ,  2 033 ,   701 
,,,15 - 24,   289 ,   64 ,   40 ,   54 ,   41 ,   59 ,   25 ,   6 
,,,25 - 34,  2 200 ,   484 ,   290 ,   277 ,   306 ,   488 ,   278 ,   77 
,,,35 - 44,  6 028 ,  1 708 ,   993 ,   877 ,   807 ,   958 ,   517 ,   168 
,,,45 - 54,  11 400 ,  3 694 ,  2 341 ,  1 940 ,  1 434 ,  1 317 ,   490 ,   184 
,,,55 - 64,  16 983 ,  5 804 ,  3 863 ,  3 155 ,  2 149 ,  1 440 ,   417 ,   155 
,,,>= 65,  22 419 ,  9 319 ,  5 599 ,  3 991 ,  2 091 ,  1 002 ,   306 ,   111 
,Oeste,,,,,,,,,,
,,,Total,  22 786 ,  6 404 ,  4 789 ,  4 444 ,  3 298 ,  2 679 ,   934 ,   238 
,,,15 - 24,   126 ,   17 ,   18 ,   20 ,   15 ,   39 ,   15 ,   2 
,,,25 - 34,  1 024 ,   181 ,   120 ,   127 ,   162 ,   260 ,   144 ,   30 
,,,35 - 44,  2 655 ,   550 ,   397 ,   451 ,   414 ,   534 ,   244 ,   65 
,,,45 - 54,  4 797 ,  1 230 ,   922 ,   875 ,   750 ,   723 ,   231 ,   66 
,,,55 - 64,  6 749 ,  1 814 ,  1 429 ,  1 446 ,  1 092 ,   727 ,   196 ,   45 
,,,>= 65,  7 435 ,  2 612 ,  1 903 ,  1 525 ,   865 ,   396 ,   104 ,   30 
,,Alcobaça,,,,,,,,,
,,,Total,  3 089 ,   781 ,   629 ,   624 ,   438 ,   418 ,   158 ,   41 
