"Efectivo animal (Beira Interior Norte, página 2)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 5/7
,,,Manteigas,,Meda,,Pinhel,,Sabugal,,Trancoso,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,7,20,132,518,628,"3,694",867,"7,687",605,"2,769"
Bovinos com menos de 1 ano,,,3,6,67,148,254,823,406,"1,762",342,796
,Vitelos de carne (para abate < 1 ano),,- ,- ,45,99,62,223,86,555,83,145
,Outros vitelos,,3,6,29,49,207,600,333,"1,207",273,651
,,Machos,1,... ,6,8,101,244,195,584,126,286
,,Fêmeas,3,5,26,41,159,356,249,623,197,365
Bovinos de 1 a menos de 2 anos,,,2,... ,21,51,143,453,223,897,144,291
,Machos,,1,... ,9,22,51,141,90,197,53,112
,Fêmeas reprodutoras,,2,... ,11,25,110,282,175,664,100,172
,Fêmeas não reprodutoras,,- ,- ,2,... ,8,30,11,36,5,7
Bovinos de 2 anos e mais,,,5,9,93,319,543,"2,418",829,"5,028",481,"1,682"
,Machos,,1,... ,4,8,18,30,119,171,8,10
,Novilhas reprodutoras,,1,... ,7,11,72,362,125,"1,101",34,100
,Novilhas não reprodutoras,,- ,- ,1,... ,5,33,6,88,- ,- 
,Vacas leiteiras,,3,4,65,232,456,"1,594",587,"1,656",436,"1,457"
,Outras vacas,,- ,- ,26,66,36,399,172,"2,012",45,115
SUÍNOS,,,45,102,136,261,389,885,728,"2,539",364,828
,Suínos com menos de 20 kg de PV,,3,14,9,19,57,191,107,428,36,124
,Fêmeas reprodutoras de 50 kg de PV e mais,,1,... ,6,9,16,49,100,257,37,85
,Outros suínos,,44,86,126,233,335,645,606,"1,854",313,619
OVINOS,,,29,"1,049",149,"9,282",253,"12,466",587,"18,760",296,"14,943"
,Fêmeas reprodutoras,,28,"1,015",142,"8,715",206,"11,515",539,"16,056",274,"13,130"
,Outros ovinos,,17,34,63,567,149,951,412,"2,704",222,"1,813"
CAPRINOS,,,78,"1,305",123,932,277,"1,959",726,"7,853",412,"3,327"
,Fêmeas reprodutoras,,77,"1,239",122,909,261,"1,835",724,"6,369",411,"3,009"
,Outros caprinos,,36,66,6,23,53,124,310,"1,484",92,318
EQUÍDEOS,,,27,30,817,965,"1,440","1,805","1,454","1,767","1,062","1,197"
,Gado equino,,14,14,91,103,73,91,134,229,98,111
,,Fêmeas reprodutoras,1,... ,8,9,15,21,72,111,22,25
,,Outros equinos,13,13,83,94,61,70,90,118,80,86
,Gado asinino,,12,15,439,532,"1,237","1,513","1,304","1,482",940,"1,043"
,Gado muar,,1,... ,309,330,176,201,55,56,43,43
COELHAS reprodutoras,,,38,172,178,"1,095",473,"1,314",750,"3,381",726,"1,567"
AVES,,,,,,,,,,,,
,Frangos de carne (inclui galos),,13,114,142,481,670,"3,098",520,"1,935",387,"30,282"
,Galinhas poedeiras e reprodutoras,,96,"1,022",696,"5,271","1,580","9,830","1,846","10,481","1,271","7,509"
,Perús,,6,14,31,88,30,94,94,232,55,137
,"Patos, Gansos e pintadas",,10,48,50,284,100,479,219,"1,016",141,582
ABELHAS,,,,,,,,,,,,
,Número de colmeias povoadas,,8,91,25,391,50,666,65,"1,377",58,551
,Número de cortiços povoadas,,1,... ,11,74,29,170,29,123,4,4
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
