Principais Características da População Familiar - Homem (Beira Interior Norte),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 8/15
,,,Beira Interior Norte,Almeida,Celorico da Beira,Figueira de Castelo Rodrigo,Guarda,Manteigas,Meda,Pinhel,Sabugal,Trancoso
,,,nº de indivíduos,,,,,,,,,
Homem,,,,,,,,,,,,
População familiar,,,"22,176","1,675","1,678","2,101","4,400",250,"2,215","3,941","3,199","2,717"
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,"3,934",259,373,307,789,31,384,633,574,584
,Sabe ler e escrever,,"3,038",259,156,230,546,43,283,501,641,379
,Básico - 1º ciclo,,"8,974",727,652,912,"1,731",108,943,"1,575","1,251","1,075"
,Básico - 2º ciclo,,"2,527",184,191,230,583,23,212,485,323,296
,Básico - 3º ciclo,,"1,809",138,102,189,384,25,167,339,233,232
,Secundário agrícola,,88,8,1,14,18,- ,12,10,8,17
,Secundário não agrícola,,"1,096",61,119,119,205,15,125,245,121,86
,Politécnico / Superior agrícola,,91,6,8,11,26,- ,8,11,8,13
,Politécnico / Superior não agrícola,,619,33,76,89,118,5,81,142,40,35
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,"18,577","1,434","1,352","1,710","3,642",213,"1,939","3,322","2,778","2,187"
,Curta duração,,310,6,67,20,62,1,21,58,45,30
,Longa duração,,158,23,10,20,13,- ,8,16,45,23
,Longa e curta duração,,110,14,3,8,25,3,4,32,10,11
,Completa,,179,14,9,25,44,- ,20,21,16,30
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,"3,008",216,248,328,636,33,225,520,344,458
,Tempo parcial,,"17,360","1,114","1,173","1,643","3,540",126,"1,908","3,291","2,424","2,141"
,,> 0 - < 25%,"7,312",537,480,807,"1,402",70,781,"1,598",771,866
,,25 - < 50%,"4,358",300,315,420,"1,128",38,442,583,589,543
,,50 - < 75%,"2,996",148,198,252,552,14,416,410,641,365
,,75 - < 100%,"2,694",129,180,164,458,4,269,700,423,367
,Tempo completo,,"1,808",345,257,130,224,91,82,130,431,118
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,"6,892",383,478,700,"1,706",75,752,"1,329",736,733
,,Sector primário,687,22,25,130,86,2,199,93,33,97
,,Sector secundário,"2,845",159,193,208,696,42,286,620,347,294
,,Sector terciário,"3,360",202,260,362,924,31,267,616,356,342
,Secundária,,240,1,16,28,33,- ,40,57,39,26
,,Sector primário,127,- ,4,16,5,- ,33,41,14,14
,,Sector secundário,53,1,8,4,13,- ,3,9,10,5
,,Sector terciário,60,- ,4,8,15,- ,4,7,15,7
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,605,42,49,43,133,4,39,124,101,70
,Trabalhador por conta própria,,"1,088",53,58,153,222,9,98,246,124,125
,Trabalhador por conta de outrem,,"4,962",283,371,492,"1,071",61,641,"1,000",511,532
,Trabalhador familiar remunerado,,24,- ,6,3,3,1,- ,- ,7,4
,Outra situação,,453,6,10,37,310,- ,14,16,32,28
Dirigente na população familiar,,,"12,980","1,016",914,"1,240","2,429",156,"1,382","2,339","1,925","1,579"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
