Principais Características da População Familiar - Homem (Cova da Beira),,,,,,,,
,,,,,,1999,,
,,,,,,pág.14/15,,
,,,Cova da Beira,Belmonte,Covilhã,Fundão,,
,,,nº de indivíduos,,,,,
Homem,,,,,,,,
População familiar,,,"11,280","1,287","3,866","6,127",,
Nível de instrução,,,,,,,,
,Não sabe ler nem escrever,,"2,095",263,644,"1,188",,
,Sabe ler e escrever,,"1,241",117,433,691,,
,Básico - 1º ciclo,,"4,533",546,"1,584","2,403",,
,Básico - 2º ciclo,,"1,387",134,494,759,,
,Básico - 3º ciclo,,"1,093",101,404,588,,
,Secundário agrícola,,34,5,9,20,,
,Secundário não agrícola,,539,76,170,293,,
,Politécnico / Superior agrícola,,37,6,10,21,,
,Politécnico / Superior não agrícola,,321,39,118,164
Formação profissional agrícola,,,,,,
,Exclusivamente prática,,"9,626","1,122","3,272","5,232"
,Curta duração,,216,29,75,112
,Longa duração,,103,17,39,47
,Longa e curta duração,,51,8,21,22
,Completa,,71,11,19,41
Tempo de actividade agrícola ,,,,,,
,Sem actividade,,"1,377",109,499,769
,Tempo parcial,,"9,013",977,"3,185","4,851"
,,> 0 - < 25%,"3,397",342,"1,318","1,737"
,,25 - < 50%,"2,446",302,871,"1,273"
,,50 - < 75%,"1,488",178,508,802
,,75 - < 100%,"1,682",155,488,"1,039"
,Tempo completo,,890,201,182,507
Actividades remuneradas exterior à exploração,,,,,,
,Principal,,"3,657",393,"1,292","1,972"
,,Sector primário,394,28,135,231
,,Sector secundário,"1,659",156,668,835
,,Sector terciário,"1,604",209,489,906
,Secundária,,210,12,58,140
,,Sector primário,21,6,9,6
,,Sector secundário,95,3,25,67
,,Sector terciário,94,3,24,67
Situação na profissão exterior à exploração,,,,,,
,Patrão/empregador,,395,48,129,218
,Trabalhador por conta própria,,577,65,183,329
,Trabalhador por conta de outrem,,"2,739",259,974,"1,506"
,Trabalhador familiar remunerado,,40,9,14,17
,Outra situação,,116,24,50,42
Dirigente na população familiar,,,"6,928",811,"2,339","3,778"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
