Mão-de-obra não familiar permanente segundo o tempo de actividade (Total e Pinhal Interior Sul),,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 1/5
,,,BEIRA INTERIOR,Pinhal Interior Sul,Mação,Oleiros,Proença-a-Nova,Sertã,Vila de Rei
,,,nº de indivíduos,,,,,,
Tempo de actividade agrícola dos trabalhadores permanentes,,,"3,322",424,30,20,27,328,19
,Tempo parcial,,"1,634",380,26,18,20,300,16
,,> 0 - < 25%,417,130,8,4,9,102,7
,,25 - < 50%,521,192,12,5,5,163,7
,,50 - < 75%,275,45,5,8,3,28,1
,,75 - < 100%,421,13,1,1,3,7,1
,Tempo completo,,"1,688",44,4,2,7,28,3
Homem,,,"2,526",300,23,10,18,236,13
,Tempo parcial,,"1,177",263,20,9,13,210,11
,,> 0 - < 25%,309,77,7,4,4,56,6
,,25 - < 50%,378,158,9,2,3,140,4
,,50 - < 75%,180,17,3,2,3,9,- 
,,75 - < 100%,310,11,1,1,3,5,1
,Tempo completo,,"1,349",37,3,1,5,26,2
Mulher,,,796,124,7,10,9,92,6
,Tempo parcial,,457,117,6,9,7,90,5
,,> 0 - < 25%,108,53,1,- ,5,46,1
,,25 - < 50%,143,34,3,3,2,23,3
,,50 - < 75%,95,28,2,6,- ,19,1
,,75 - < 100%,111,2,- ,- ,- ,2,- 
,Tempo completo,,339,7,1,1,2,2,1
Tempo de actividade agrícola dos dirigentes assalariados,,,559,25,6,5,5,7,2
,Tempo parcial,,465,20,5,5,5,3,2
,,> 0 - < 25%,200,14,4,4,3,2,1
,,25 - < 50%,106,2,- ,1,- ,- ,1
,,50 - < 75%,59,4,1,- ,2,1,- 
,,75 - < 100%,100,- ,- ,- ,- ,- ,- 
,Tempo completo,,94,5,1,- ,- ,4,- 
Homem,,,505,23,6,5,4,6,2
,Tempo parcial,,417,18,5,5,4,2,2
,,> 0 - < 25%,172,12,4,4,2,1,1
,,25 - < 50%,99,2,- ,1,- ,- ,1
,,50 - < 75%,53,4,1,- ,2,1,- 
,,75 - < 100%,93,- ,- ,- ,- ,- ,- 
,Tempo completo,,88,5,1,- ,- ,4,- 
Mulher,,,54,2,- ,- ,1,1,- 
,Tempo parcial,,48,2,- ,- ,1,1,- 
,,> 0 - < 25%,28,2,- ,- ,1,1,- 
,,25 - < 50%,7,- ,- ,- ,- ,- ,- 
,,50 - < 75%,6,- ,- ,- ,- ,- ,- 
,,75 - < 100%,7,- ,- ,- ,- ,- ,- 
,Tempo completo,,6,- ,- ,- ,- ,- ,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,,,"2,763",399,24,15,22,321,17
,Tempo parcial,,"1,169",360,21,13,15,297,14
,,> 0 - < 25%,217,116,4,- ,6,100,6
,,25 - < 50%,415,190,12,4,5,163,6
,,50 - < 75%,216,41,4,8,1,27,1
,,75 - < 100%,321,13,1,1,3,7,1
,Tempo completo,,"1,594",39,3,2,7,24,3
Homem,,,"2,021",277,17,5,14,230,11
,Tempo parcial,,760,245,15,4,9,208,9
,,> 0 - < 25%,137,65,3,- ,2,55,5
,,25 - < 50%,279,156,9,1,3,140,3
,,50 - < 75%,127,13,2,2,1,8,- 
,,75 - < 100%,217,11,1,1,3,5,1
,Tempo completo,,"1,261",32,2,1,5,22,2
Mulher,,,742,122,7,10,8,91,6
,Tempo parcial,,409,115,6,9,6,89,5
,,> 0 - < 25%,80,51,1,- ,4,45,1
,,25 - < 50%,136,34,3,3,2,23,3
,,50 - < 75%,89,28,2,6,- ,19,1
,,75 - < 100%,104,2,- ,- ,- ,2,- 
,Tempo completo,,333,7,1,1,2,2,1
"Fonte: INE, Recemseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
