Produtor singular segundo a Dimensão Económica e as Classes de Idade (Beira Interior Sul),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 4/5
Região Agrária,,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III,,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
Concelho,,,,,nº de indíviduos,,,,,,
,Beira Interior Sul,,,,,,,,,,
,,,Total,"9,570","6,641","1,426",703,307,272,152,69
,,,15 - 24,18,10,5,2,- ,- ,1,- 
,,,25 - 34,154,67,20,19,11,19,16,2
,,,35 - 44,580,304,93,47,29,50,43,14
,,,45 - 54,"1,345",852,201,115,61,59,34,23
,,,55 - 64,"2,373","1,627",361,192,82,73,21,17
,,,>= 65,"5,100","3,781",746,328,124,71,37,13
,,Castelo Branco,,,,,,,,,
,,,Total,"4,709","3,381",696,315,124,120,58,15
,,,15 - 24,9,7,1,1,- ,- ,- ,- 
,,,25 - 34,64,30,8,6,6,7,7,- 
,,,35 - 44,284,166,46,18,12,25,13,4
,,,45 - 54,739,505,109,54,27,24,17,3
,,,55 - 64,"1,215",842,200,93,33,34,8,5
,,,>= 65,"2,398","1,831",332,143,46,30,13,3
,,Idanha-a-Nova,,,,,,,,,
,,,Total,"2,108","1,272",319,192,99,97,80,49
,,,15 - 24,5,1,2,1,- ,- ,1,- 
,,,25 - 34,47,16,7,8,3,5,6,2
,,,35 - 44,152,57,22,15,9,15,26,8
,,,45 - 54,282,128,41,36,19,25,15,18
,,,55 - 64,490,302,76,37,26,28,10,11
,,,>= 65,"1,132",768,171,95,42,24,22,10
,,Penamacor,,,,,,,,,
,,,Total,"1,633","1,263",183,89,56,30,9,3
,,,15 - 24,3,2,1,- ,- ,- ,- ,- 
,,,25 - 34,29,15,3,2,2,4,3,- 
,,,35 - 44,94,55,13,9,7,8,2,- 
,,,45 - 54,182,123,24,13,11,8,1,2
,,,55 - 64,394,311,32,28,15,5,2,1
,,,>= 65,931,757,110,37,21,5,1,- 
,,Vila Velha de Ródão,,,,,,,,,
,,,Total,"1,120",725,228,107,28,25,5,2
,,,15 - 24,1,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,14,6,2,3,- ,3,- ,- 
,,,35 - 44,50,26,12,5,1,2,2,2
,,,45 - 54,142,96,27,12,4,2,1,- 
,,,55 - 64,274,172,53,34,8,6,1,- 
,,,>= 65,639,425,133,53,15,12,1,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
,,,,,,,,,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
