"Produtor singular segundo a OTE e as Classes de Idade  (Beira Interior Sul, página 2)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 8/10
Região Agrária,,,Bovinos para leite / gado / carne,Ovinos / caprinos / out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Nut III,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,
Beira Interior Sul,,,,,,,,,,,
,,Total,8,"1,102",33,"1,186",467,51,90,"1,642",- 
,,15 - 24,- ,3,- ,- ,2,- ,1,4,- 
,,25 - 34,1,47,1,14,4,1,6,12,- 
,,35 - 44,- ,139,5,68,28,5,13,66,- 
,,45 - 54,1,177,5,162,85,12,13,193,- 
,,55 - 64,3,302,9,330,125,12,24,365,- 
,,>= 65,3,434,13,612,223,21,33,"1,002",- 
,Castelo Branco,,,,,,,,,,
,,Total,4,515,15,590,209,23,26,876,- 
,,15 - 24,- ,1,- ,- ,- ,- ,- ,2,- 
,,25 - 34,- ,19,1,7,1,1,- ,5,- 
,,35 - 44,- ,58,2,34,14,2,5,44,- 
,,45 - 54,1,94,2,99,30,7,1,107,- 
,,55 - 64,2,148,6,164,74,3,8,203,- 
,,>= 65,1,195,4,286,90,10,12,515,- 
,Idanha-a-Nova,,,,,,,,,,
,,Total,3,359,6,207,127,10,32,350,- 
,,15 - 24,- ,2,- ,- ,1,- ,1,- ,- 
,,25 - 34,1,13,- ,2,2,- ,5,1,- 
,,35 - 44,- ,52,- ,16,6,1,5,11,- 
,,45 - 54,- ,55,1,19,37,- ,5,32,- 
,,55 - 64,1,91,- ,66,25,1,6,71,- 
,,>= 65,1,146,5,104,56,8,10,235,- 
,Penamacor,,,,,,,,,,
,,Total,1,135,8,299,103,15,31,249,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,2,- 
,,25 - 34,- ,11,- ,5,1,- ,1,3,- 
,,35 - 44,- ,16,2,11,7,2,3,5,- 
,,45 - 54,- ,20,1,29,15,3,7,27,- 
,,55 - 64,- ,39,2,75,19,8,10,57,- 
,,>= 65,1,49,3,179,61,2,10,155,- 
,Vila Velha de Ródão,,,,,,,,,,
,,Total,- ,93,4,90,28,3,1,167,- 
,,15 - 24,- ,- ,- ,- ,1,- ,- ,- ,- 
,,25 - 34,- ,4,- ,- ,- ,- ,- ,3,- 
,,35 - 44,- ,13,1,7,1,- ,- ,6,- 
,,45 - 54,- ,8,1,15,3,2,- ,27,- 
,,55 - 64,- ,24,1,25,7,- ,- ,34,- 
,,>= 65,- ,44,1,43,16,1,1,97,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
