Origem do rendimento do agregado doméstico do produtor singular (Cova da Beira),,,,,,
,,,,,,1999
,,,,,,pág. 5/5
,,,Cova da Beira,Belmonte,Covilhã,Fundão
,,,expl. (nº),,,
Total explorações com produtor singular,,,"8,579",986,"2,818","4,775"
Exclusivamente da actividade da exploração,,,491,51,131,309
Principalmente da actividade da exploração,,,"1,323",100,271,952
,Salários do sector primário,,101,6,24,71
,,1ª opção,78,5,24,49
,,2ª opção,22,1,- ,21
,,3ª opção,1,- ,- ,1
,Salários do sector secúndário,,210,9,52,149
,,1ª opção,155,6,44,105
,,2ª opção,52,3,8,41
,,3ª opção,3,- ,- ,3
,Salários do sector terciário,,281,26,67,188
,,1ª opção,206,22,51,133
,,2ª opção,69,4,15,50
,,3ª opção,6,- ,1,5
,Actividade empresarial,,71,8,4,59
,,1ª opção,55,8,2,45
,,2ª opção,13,- ,2,11
,,3ª opção,3,- ,- ,3
,Pensões rurais/reformas,,809,57,157,595
,,1ª opção,753,55,137,561
,,2ª opção,50,2,17,31
,,3ª opção,6,- ,3,3
,Juros e dividendos,,29,4,9,16
,,1ª opção,18,3,6,9
,,2ª opção,11,1,3,7
,,3ª opção,- ,- ,- ,- 
,Remessas de emigrantes,,49,- ,3,46
,,1ª opção,26,- ,1,25
,,2ª opção,22,- ,2,20
,,3ª opção,1,- ,- ,1
,Outras,,92,2,36,54
,,1ª opção,32,1,6,25
,,2ª opção,52,1,23,28
,,3ª opção,8,- ,7,1
Principalmente origem exterior à actividade da exploração,,,"6,765",835,"2,416","3,514"
,Salários do sector primário,,305,18,119,168
,,1ª opção,226,13,94,119
,,2ª opção,68,3,20,45
,,3ª opção,11,2,5,4
,Salários do sector secúndário,,"1,272",143,517,612
,,1ª opção,872,93,358,421
,,2ª opção,367,47,147,173
,,3ª opção,33,3,12,18
,Salários do sector terciário,,"1,740",172,660,908
,,1ª opção,"1,216",107,473,636
,,2ª opção,493,62,181,250
,,3ª opção,31,3,6,22
,Actividade empresarial,,350,94,87,169
,,1ª opção,292,82,77,133
,,2ª opção,55,12,10,33
,,3ª opção,3,- ,- ,3
,Pensões rurais/reformas,,"4,451",588,"1,588","2,275"
,,1ª opção,"3,962",522,"1,377","2,063"
,,2ª opção,456,61,198,197
,,3ª opção,33,5,13,15
,Juros e dividendos,,104,17,57,30
,,1ª opção,29,7,7,15
,,2ª opção,69,10,47,12
,,3ª opção,6,- ,3,3
,Remessas de emigrantes,,141,3,42,96
,,1ª opção,64,1,14,49
,,2ª opção,72,2,25,45
,,3ª opção,5,- ,3,2
,Outras,,289,18,102,169
,,1ª opção,104,10,16,78
,,2ª opção,156,7,64,85
,,3ª opção,29,1,22,6
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
