"Características da habitação do produtor singular (Total de explorações com Produtor residente na exploração, Idade da habitação > 50 anos)",,,,,,,,
,,,,,,,1999,
,,,,,,,pág. 6/6,
Região Agrícola,,,Total de explorações com produtor residente na exploração,,,,,
Nut III,,,Total,Electricidade,Água Canalizada,Instalação Sanitária,Electrodomésticos,
Concelho,,,Idade da habitação > 50 anos,,,,,
,,,expl. (nº),,,,,
BEIRA INTERIOR,,,"4,679","4,427","4,107","3,870","4,374",
,Pinhal Interior Sul ,,"1,545","1,535","1,448","1,416","1,513",
,,Mação,174,174,174,171,174,
,,Oleiros,559,556,503,522,552,
,,Proença-a-Nova,46,46,44,44,46,
,,Sertã,708,701,669,621,685,
,,Vila de Rei,58,58,58,58,56,
,Serra da Estrela,,406,368,333,295,365,
,,Fornos de Algodres,99,84,64,60,82,
,,Gouveia,173,162,154,134,162,
,,Seia,134,122,115,101,121,
,Beira Interior Norte,,"1,209","1,144","1,038",947,"1,132",
,,Almeida,43,43,40,37,43,
,,Celorico da Beira,129,110,109,100,108,
,,Figueira de Castelo Rodrigo,69,69,69,64,69,
,,Guarda,458,438,388,358,433,
,,Manteigas,24,23,22,24,23,
,,Meda,10,9,8,7,9,
,,Pinhel,149,144,137,123,144,
,,Sabugal,230,225,192,172,220,
,,Trancoso,97,83,73,62,83,
,Beira Interior Sul,,532,497,490,462,497,
,,Castelo Branco,298,286,284,264,284,
,,Idanha-a-Nova,73,60,57,53,63,
,,Penamacor,57,48,46,45,47,
,,Vila Velha de Ródão,104,103,103,100,103,
,Cova da Beira,,987,883,798,750,867,
,,Belmonte,96,89,82,77,89,
,,Covilhã,461,410,400,363,409,
,,Fundão,430,384,316,310,369,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
