Table 2.
        Predictions of Proportion of Ascospores Trapped (PAT)<comma> ascosporic and pycnidiosporic infection period scores during the period of fruit susceptibility for study sites.
Location<comma> Statea,Country,Observed prevalence,Ascospores,Pycnidiospores
ΔPATb,Infection on days with PAT,Infection
Average,Average,Std. Dev.,% suitable yearsc,Average,Std. Dev.,% suitable yearsd
Volusia County<comma> FL,USA,Unknown,0.93,62.4,8.8,100,158.0,22.7,100
Clermont<comma> FL,USA,Unknown,0.94,62.1,9.1,100,175.4,26.4,100
Lake County<comma> FL,USA,Unknown,0.94,62.1,9.1,100,175.4,26.4,100
Belle Chasse<comma> TX,USA,Unknown,0.98,61.8,8.2,100,131.6,21.7,100
Indian-River-Marsh<comma> FL,USA,Unknown,0.83,57.8,9.9,100,173.4,23.6,100
Polk County<comma> FL,USA,Unknown,0.88,57.5,8.5,100,174.4,24.2,100
Lakeland<comma> FL,USA,Unknown,0.93,55.0,8.3,100,176.2,28.9,100
Sebring<comma> FL,USA,Unknown,0.87,54.9,10.1,100,180.0,26.1,100
Southern Gardens<comma> FL,USA,Unknown,0.79,53.6,13.7,100,179.1,30.0,100
Montura Estates<comma> FL,USA,Unknown,0.81,53.6,12.9,100,179.9,28.2,100
South Florida<comma> FL,USA,Unknown,0.82,53.5,11.0,100,185.7,25.4,100
Arcadia<comma> FL,USA,Unknown,0.88,52.1,8.8,100,174.3,25.4,100
DeSoto County<comma> FL,USA,Unknown,0.87,50.9,8.9,100,179.2,24.8,100
Weslaco<comma> TX,USA,Unknown,0.89,34.8,13.3,89,79.2,25.6,100
Nelspruit<comma> MP,South Africa,High,0.95,34.5,12.5,100,94.2,35.2,100
Nkwalini<comma> NL,South Africa,High,0.94,33.3,7.0,100,116.9,24.9,100
Patterson<comma> NSW,Australia,Endemic,0.92,30.7,9.0,100,75.7,14.1,100
Letsitele<comma> LP,South Africa,High,0.94,30.6,12.9,100,77.4,38.0,78
Darwin<comma> NT,Australia,Moderate,0.90,27.7,9.0,100,147.8,28.2,100
Gayndah<comma> Qld,Australia,Moderate,0.87,27.2,10.7,100,50.1,22.2,33
Emerald<comma> Qld,Australia,Low,0.74,22.3,14.7,67,43.0,28.3,33
Mission<comma> TX,USA,Unknown,0.85,22.0,11.2,78,60.7,19.4,67
Andravida,Greece,Unknown,0.87,20.0,9.5,67,34.7,12.9,11
Patensie<comma> EC,South Africa,Moderate,0.91,19.6,5.7,89,59.8,7.9,78
Kirkwood<comma> EC,South Africa,Moderate,0.92,16.3,6.0,78,48.0,7.1,67
Addo<comma> EC,South Africa,Moderate,0.91,13.4,5.1,44,48.4,6.8,56
Pontecagnano,Italy,Unknown,0.54,12.3,7.1,56,24.7,9.8,0
Messina<comma> LP,South Africa,Low<comma> occasional,0.62,11.8,11.5,33,27.8,19.8,22
Kerkyra,Greece,Unknown,0.55,11.0,5.6,22,21.6,7.9,0
Reggio Calabria,Italy,Unknown,0.36,10.8,5.4,33,36.0,14.2,11
Cozzo Spadaro,Italy,Unknown,0.43,10.8,7.8,33,23.1,10.7,0
Messina,Italy,Unknown,0.46,10.4,6.3,33,26.4,12.9,0
Siracusa,Italy,Unknown,0.66,9.4,6.5,33,21.9,12.1,0
