Principais culturas temporárias (Ilha do Pico - São Roque do Pico),,,,,,,,,,,,
,,,,,,,,,,,,pág. 5/7
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Ilha do Pico,,,,,,,,,,,
,Culturas temporárias,,  2 350 ,  1 840 ,  2 346 ,  1 074 ,  1 251 ,   770 ,  1 246 ,   766 ,   14 ,   2 
,Cereais para grão,,  1 253 ,   269 ,  1 131 ,   255 ,   200 ,   13 ,   194 ,   11 ,   6 ,   2 
,Leguminosas secas para grão,,   728 ,   34 ,   444 ,   15 ,   332 ,   19 ,   329 ,   19 ,   3 ,o 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,   856 ,  1 290 ,   466 ,   567 ,   831 ,   725 ,   831 ,   725 ,- ,- 
,Batata,,  2 164 ,   139 ,  2 042 ,   135 ,   144 ,   6 ,   142 ,   6 ,   2 ,... 
,Beterraba sacarina,,   3 ,o ,   3 ,o ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   20 ,   1 ,   20 ,   1 ,   1 ,... ,   1 ,... ,- ,- 
,Flores e plantas ornamentais,,   7 ,   2 ,   7 ,   2 ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,   5 ,o ,   2 ,... ,   3 ,o ,   3 ,o ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,  1 642 ,   106 ,  1 580 ,   101 ,   128 ,   5 ,   124 ,   5 ,   4 ,o 
,,Lajes do Pico,,,,,,,,,,
,,Culturas temporárias,   902 ,   788 ,   899 ,   459 ,   499 ,   332 ,   497 ,   331 ,   5 ,o 
,,Cereais para grão,   541 ,   121 ,   504 ,   117 ,   62 ,   4 ,   62 ,   4 ,- ,- 
,,Leguminosas secas para grão,   372 ,   16 ,   305 ,   11 ,   93 ,   4 ,   91 ,   4 ,   2 ,... 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   390 ,   562 ,   212 ,   241 ,   379 ,   321 ,   379 ,   321 ,- ,- 
,,Batata,   823 ,   50 ,   804 ,   50 ,   27 ,   1 ,   26 ,   1 ,   1 ,... 
,,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   6 ,o ,   6 ,o ,   1 ,... ,   1 ,... ,- ,- 
,,Flores e plantas ornamentais,   3 ,o ,   3 ,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   1 ,... ,- ,- ,   1 ,... ,   1 ,... ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   686 ,   39 ,   667 ,   38 ,   33 ,   1 ,   31 ,   1 ,   2 ,... 
,,Madalena,,,,,,,,,,
,,Culturas temporárias,   977 ,   700 ,   976 ,   406 ,   529 ,   295 ,   526 ,   292 ,   9 ,   2 
,,Cereais para grão,   497 ,   100 ,   419 ,   90 ,   129 ,   9 ,   123 ,   7 ,   6 ,   2 
,,Leguminosas secas para grão,   293 ,   16 ,   105 ,   3 ,   208 ,   13 ,   207 ,   13 ,   1 ,... 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   309 ,   466 ,   172 ,   200 ,   302 ,   269 ,   302 ,   269 ,- ,- 
,,Batata,   906 ,   67 ,   882 ,   65 ,   37 ,   2 ,   36 ,   2 ,   1 ,... 
,,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   7 ,   1 ,   7 ,   1 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,   3 ,   2 ,   3 ,   2 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   4 ,o ,   2 ,... ,   2 ,... ,   2 ,... ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   657 ,   49 ,   647 ,   47 ,   39 ,   2 ,   37 ,   2 ,   2 ,... 
,,São Roque do Pico,,,,,,,,,,
,,Culturas temporárias,   471 ,   352 ,   471 ,   209 ,   223 ,   143 ,   223 ,   143 ,- ,- 
,,Cereais para grão,   215 ,   48 ,   208 ,   48 ,   9 ,o ,   9 ,o ,- ,- 
,,Leguminosas secas para grão,   63 ,   2 ,   34 ,   1 ,   31 ,   2 ,   31 ,   2 ,- ,- 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   157 ,   262 ,   82 ,   126 ,   150 ,   135 ,   150 ,   135 ,- ,- 
,,Batata,   435 ,   22 ,   356 ,   20 ,   80 ,   3 ,   80 ,   3 ,- ,- 
,,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   7 ,o ,   7 ,o ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   299 ,   18 ,   266 ,   16 ,   56 ,   2 ,   56 ,   2 ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,
