Efectivo animal (Nordeste),,,,,,,,,,
,,,,,,,,,,Pág. 1/5
,AÇORES,,Ilha de Santa Maria (Vila do Porto),,Ilha de São Miguel,,Lagoa,,Nordeste,
,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,  9 873 ,  238 396 ,   389 ,  5 064 ,  3 360 ,  108 519 ,   200 ,  5 800 ,   404 ,  9 511 
Bovinos com menos de 1 ano,  8 302 ,  66 306 ,   333 ,  1 837 ,  2 873 ,  28 826 ,   154 ,  1 279 ,   361 ,  2 346 
Vitelos de carne (para abate < 1 ano),   460 ,  7 034 ,   11 ,   26 ,   23 ,  4 940 ,- ,- ,- ,- 
Outros vitelos,  8 137 ,  59 272 ,   326 ,  1 811 ,  2 859 ,  23 886 ,   154 ,  1 279 ,   361 ,  2 346 
Machos,  5 594 ,  23 361 ,   258 ,   938 ,  1 800 ,  7 856 ,   82 ,   449 ,   254 ,   948 
Fêmeas,  6 736 ,  35 911 ,   264 ,   873 ,  2 433 ,  16 030 ,   137 ,   830 ,   290 ,  1 398 
Bovinos de 1 a menos de 2 anos,  6 574 ,  39 773 ,   182 ,   524 ,  2 369 ,  17 301 ,   139 ,   983 ,   277 ,  1 814 
Machos,  3 400 ,  9 894 ,   63 ,   154 ,  1 189 ,  2 967 ,   64 ,   217 ,   147 ,   429 
Fêmeas reprodutoras,  5 311 ,  28 754 ,   149 ,   337 ,  2 053 ,  14 160 ,   120 ,   753 ,   231 ,  1 365 
Fêmeas não reprodutoras,   358 ,  1 125 ,   12 ,   33 ,   13 ,   174 ,   2 ,... ,   4 ,   20 
Bovinos de 2 anos e mais,  7 786 ,  132 317 ,   371 ,  2 703 ,  2 406 ,  62 392 ,   135 ,  3 538 ,   274 ,  5 351 
Machos,  1 638 ,  3 086 ,   64 ,   124 ,   487 ,   832 ,   36 ,   123 ,   31 ,   51 
Novilhas reprodutoras,  2 426 ,  11 426 ,   20 ,   38 ,   969 ,  5 584 ,   56 ,   422 ,   100 ,   385 
Novilhas não reprodutoras,   74 ,   352 ,- ,- ,   4 ,   60 ,- ,- ,- ,- 
Vacas leiteiras,  5 119 ,  98 688 ,   8 ,   39 ,  2 137 ,  55 498 ,   113 ,  2 976 ,   247 ,  4 862 
Outras vacas,  2 873 ,  18 765 ,   368 ,  2 502 ,   187 ,   418 ,   9 ,   17 ,   27 ,   53 
SUÍNOS,  7 188 ,  61 894 ,   288 ,   902 ,  2 080 ,  34 916 ,   83 ,   533 ,   307 ,   778 
Suínos com menos de 20 kg de PV,  1 580 ,  19 409 ,   68 ,   283 ,   537 ,  11 891 ,   29 ,   220 ,   96 ,   259 
Fêmeas reprodutoras de 50 kg de PV e mais,  1 091 ,  7 297 ,   66 ,   134 ,   273 ,  4 114 ,   18 ,   68 ,   34 ,   58 
Outros suínos,  6 015 ,  35 188 ,   225 ,   485 ,  1 595 ,  18 911 ,   58 ,   245 ,   220 ,   461 
OVINOS,   845 ,  4 951 ,   30 ,  1 575 ,   184 ,   628 ,   13 ,   23 ,   12 ,   23 
Fêmeas reprodutoras,   785 ,  4 268 ,   28 ,  1 420 ,   165 ,   560 ,   11 ,   17 ,   11 ,   20 
Outros ovinos,   306 ,   683 ,   12 ,   155 ,   40 ,   68 ,   3 ,   6 ,   2 ,... 
CAPRINOS,  3 014 ,  9 063 ,   43 ,   134 ,   979 ,  2 694 ,   39 ,   104 ,   200 ,   475 
Fêmeas reprodutoras,  2 835 ,  7 263 ,   40 ,   92 ,   890 ,  2 115 ,   38 ,   101 ,   191 ,   316 
Outros caprinos,   812 ,  1 800 ,   17 ,   42 ,   226 ,   579 ,   2 ,... ,   46 ,   159 
EQUÍDEOS,  4 261 ,  5 885 ,   85 ,   112 ,  1 637 ,  2 438 ,   72 ,   85 ,   223 ,   287 
Gado equino,  3 181 ,  4 363 ,   69 ,   93 ,  1 546 ,  2 314 ,   66 ,   78 ,   207 ,   267 
Fêmeas reprodutoras,   795 ,   979 ,   39 ,   46 ,   140 ,   209 ,   7 ,   9 ,   6 ,   7 
Outros equinos,  2 542 ,  3 384 ,   38 ,   47 ,  1 443 ,  2 105 ,   61 ,   69 ,   201 ,   260 
Gado asinino,  1 137 ,  1 269 ,   15 ,   17 ,   90 ,   101 ,   4 ,   5 ,   13 ,   15 
