Explorações segundo o número de suínos,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Total,Classes de número de animais,,,,,,,,,,,
Ilha / Concelho,,,,1 a 2,3 a 4,5 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 399,400 a 999,> = 1000,,
AÇORES,,expl (nº),  7 188 ,  5 251 ,  1 073 ,   406 ,   261 ,   140 ,   28 ,   14 ,   3 ,   5 ,   7 ,,
,,efect (nº),  61 894 ,  8 275 ,  3 591 ,  2 582 ,  3 442 ,  4 004 ,  1 752 ,  1 913 ,  1 041 ,  3 422 ,  31 872 ,,
Ilha de Santa Maria ( Vila do Porto ),,expl (nº),   288 ,   226 ,   33 ,   12 ,   11 ,   4 ,   2 ,- ,- ,- ,- ,,
,,efect (nº),   902 ,   323 ,   111 ,   76 ,   137 ,   121 ,... ,- ,- ,- ,- ,,
Ilha de São Miguel,,expl (nº),  2 080 ,  1 556 ,   294 ,   90 ,   73 ,   44 ,   9 ,   6 ,   1 ,   3 ,   4 ,,
,,efect (nº),  34 916 ,  2 591 ,   984 ,   590 ,  1 017 ,  1 261 ,   536 ,   796 ,... ,  1 849 ,  24 952 ,,
,Lagoa,expl (nº),   83 ,   52 ,   11 ,   5 ,   8 ,   6 ,   1 ,- ,- ,- ,- ,,
,,efect (nº),   533 ,   78 ,   39 ,   37 ,   105 ,   200 ,... ,- ,- ,- ,- ,,
,Nordeste,expl (nº),   307 ,   245 ,   42 ,   10 ,   8 ,   2 ,- ,- ,- ,- ,- ,,
,,efect (nº),   778 ,   403 ,   146 ,   57 ,   113 ,... ,- ,- ,- ,- ,- ,,
,Ponta Delgada,expl (nº),   690 ,   483 ,   103 ,   43 ,   30 ,   19 ,   5 ,   2 ,   1 ,   1 ,   3 ,,
,,efect (nº),  12 853 ,   780 ,   343 ,   287 ,   417 ,   533 ,   284 ,... ,... ,... ,  8 687 ,,
,Povoação,expl (nº),   231 ,   193 ,   28 ,   7 ,   1 ,   1 ,- ,   1 ,- ,- ,- ,,
,,efect (nº),   653 ,   321 ,   96 ,   42 ,... ,... ,- ,... ,- ,- ,- ,,
,Ribeira Grande,expl (nº),   523 ,   384 ,   84 ,   18 ,   22 ,   11 ,   1 ,   1 ,- ,   1 ,   1 ,,
,,efect (nº),  18 566 ,   681 ,   277 ,   122 ,   313 ,   302 ,... ,... ,- ,... ,... ,,
,Vila Franca do Campo,expl (nº),   246 ,   199 ,   26 ,   7 ,   4 ,   5 ,   2 ,   2 ,- ,   1 ,- ,,
,,efect (nº),  1 533 ,   328 ,   83 ,   45 ,   54 ,   131 ,... ,... ,- ,... ,- ,,
Ilha Terceira,,expl (nº),  1 421 ,  1 042 ,   185 ,   89 ,   60 ,   28 ,   7 ,   4 ,   2 ,   1 ,   3 ,,
,,efect (nº),  13 851 ,  1 542 ,   618 ,   584 ,   789 ,   816 ,   454 ,   521 ,... ,... ,  6 920 ,,
