Principais características da população familiar (Mulheres - Ilha do Corvo),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pág. 6/6
Mulheres,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Grac.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
População familiar (nº indivíduos),,,  7 502 ,  4 422 ,  3 080 ,  1 353 ,  2 138 ,  1 093 ,  1 045 ,  4 301 ,  1 639 ,  1 779 ,   883 ,  2 105 ,   893 ,   438 ,   455 ,   108 
Nível de instrução,,,,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  1 056 ,   617 ,   439 ,   230 ,   263 ,   140 ,   123 ,   439 ,   159 ,   198 ,   82 ,   207 ,   124 ,   61 ,   63 ,   3 
,Sabe ler e escrever,,   915 ,   530 ,   385 ,   237 ,   373 ,   222 ,   151 ,   588 ,   220 ,   254 ,   114 ,   200 ,   97 ,   49 ,   48 ,   24 
,Básico - 1º ciclo,,  2 941 ,  1 708 ,  1 233 ,   534 ,   857 ,   405 ,   452 ,  1 832 ,   711 ,   744 ,   377 ,   968 ,   422 ,   210 ,   212 ,   51 
,Básico - 2º ciclo,,   988 ,   600 ,   388 ,   166 ,   310 ,   171 ,   139 ,   546 ,   244 ,   194 ,   108 ,   273 ,   102 ,   45 ,   57 ,   10 
,Básico - 3º ciclo,,   759 ,   457 ,   302 ,   122 ,   185 ,   83 ,   102 ,   433 ,   162 ,   181 ,   90 ,   284 ,   100 ,   42 ,   58 ,   12 
,Secundário agrícola,,   17 ,   8 ,   9 ,- ,- ,- ,- ,   18 ,   8 ,   8 ,   2 ,- ,- ,- ,- ,- 
,Secundário não agrícola,,   582 ,   339 ,   243 ,   45 ,   116 ,   56 ,   60 ,   333 ,   103 ,   146 ,   84 ,   129 ,   41 ,   26 ,   15 ,   7 
,Politécnico / Superior agrícola,,   20 ,   10 ,   10 ,- ,- ,- ,- ,   6 ,   3 ,   2 ,   1 ,- ,- ,- ,- ,- 
,Politécnico / Superior não agrícola,,   224 ,   153 ,   71 ,   19 ,   34 ,   16 ,   18 ,   106 ,   29 ,   52 ,   25 ,   44 ,   7 ,   5 ,   2 ,   1 
Formação profissional agrícola,,,,,,,,,,,,,,,,,,
,Exclusivamente prática,,  3 334 ,  2 018 ,  1 316 ,   622 ,   868 ,   438 ,   430 ,  2 475 ,   755 ,  1 133 ,   587 ,   813 ,   622 ,   266 ,   356 ,   96 
,Curta duração,,   12 ,   9 ,   3 ,- ,   3 ,   3 ,- ,   2 ,   2 ,- ,- ,   3 ,   14 ,   8 ,   6 ,   2 
,Longa duração,,   10 ,   4 ,   6 ,- ,   4 ,   1 ,   3 ,- ,- ,- ,- ,- ,   1 ,- ,   1 ,- 
,Longa e curta duração,,   6 ,   5 ,   1 ,- ,   4 ,   4 ,- ,   3 ,- ,   2 ,   1 ,- ,   1 ,- ,   1 ,- 
,Completa,,   37 ,   18 ,   19 ,- ,- ,- ,- ,   24 ,   11 ,   10 ,   3 ,- ,- ,- ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,,,,
,Sem actividade,,  4 482 ,  2 540 ,  1 942 ,   748 ,  1 318 ,   656 ,   662 ,  1 881 ,   874 ,   696 ,   311 ,  1 351 ,   312 ,   166 ,   146 ,   4 
,Tempo parcial,,  2 994 ,  1 867 ,  1 127 ,   604 ,   816 ,   434 ,   382 ,  2 405 ,   761 ,  1 075 ,   569 ,   726 ,   552 ,   267 ,   285 ,   94 
,,> 0 - < 25%,  2 666 ,  1 630 ,  1 036 ,   544 ,   589 ,   303 ,   286 ,  2 089 ,   646 ,   939 ,   504 ,   532 ,   412 ,   194 ,   218 ,   65 
,,25 - < 50%,   227 ,   153 ,   74 ,   39 ,   140 ,   82 ,   58 ,   191 ,   51 ,   91 ,   49 ,   147 ,   65 ,   47 ,   18 ,   20 
,,50 - < 75%,   54 ,   43 ,   11 ,   15 ,   62 ,   37 ,   25 ,   85 ,   33 ,   39 ,   13 ,   33 ,   29 ,   17 ,   12 ,   8 
,,75 - < 100%,   47 ,   41 ,   6 ,   6 ,   25 ,   12 ,   13 ,   40 ,   31 ,   6 ,   3 ,   14 ,   46 ,   9 ,   37 ,   1 
,Tempo completo,,   26 ,   15 ,   11 ,   1 ,   4 ,   3 ,   1 ,   15 ,   4 ,   8 ,   3 ,   28 ,   29 ,   5 ,   24 ,   10 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,,,,
