Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Ilha do Corvo),,,,,,,,,
,,,,,,,,,Pág. 3/3
,,,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
Tempo de actividade agrícola dos trabalhadores permanentes,,,   41 ,   22 ,   46 ,   30 ,   16 ,   14 ,   1 
,Tempo parcial,,   22 ,   4 ,   6 ,   3 ,   2 ,   1 ,   1 
,,> 0 - < 25%,   11 ,- ,   1 ,   2 ,   1 ,   1 ,   1 
,,25 - < 50%,   7 ,- ,   2 ,   1 ,   1 ,- ,- 
,,50 - < 75%,   3 ,   1 ,   1 ,- ,- ,- ,- 
,,75 - < 100%,   1 ,   3 ,   2 ,- ,- ,- ,- 
,Tempo completo,,   19 ,   18 ,   40 ,   27 ,   14 ,   13 ,- 
Homem,,,   40 ,   22 ,   45 ,   28 ,   14 ,   14 ,   1 
,Tempo parcial,,   21 ,   4 ,   6 ,   3 ,   2 ,   1 ,   1 
,,> 0 - < 25%,   11 ,- ,   1 ,   2 ,   1 ,   1 ,   1 
,,25 - < 50%,   6 ,- ,   2 ,   1 ,   1 ,- ,- 
,,50 - < 75%,   3 ,   1 ,   1 ,- ,- ,- ,- 
,,75 - < 100%,   1 ,   3 ,   2 ,- ,- ,- ,- 
,Tempo completo,,   19 ,   18 ,   39 ,   25 ,   12 ,   13 ,- 
Mulher,,,   1 ,- ,   1 ,   2 ,   2 ,- ,- 
,Tempo parcial,,   1 ,- ,- ,- ,- ,- ,- 
,,> 0 - < 25%,- ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,   1 ,- ,- ,- ,- ,- ,- 
,,50 - < 75%,- ,- ,- ,- ,- ,- ,- 
,,75 - < 100%,- ,- ,- ,- ,- ,- ,- 
,Tempo completo,,- ,- ,   1 ,   2 ,   2 ,- ,- 
Tempo de actividade agrícola dos dirigentes assalariados,,,   5 ,   1 ,   5 ,   3 ,   2 ,   1 ,   1 
,Tempo parcial,,   4 ,   1 ,   4 ,   3 ,   2 ,   1 ,   1 
,,> 0 - < 25%,   3 ,- ,   1 ,   2 ,   1 ,   1 ,   1 
,,25 - < 50%,- ,- ,   2 ,   1 ,   1 ,- ,- 
