Características da habitação do produtor singular (Idade da habitação entre 30 a 50 anos),,,,,,,,,,,,,,,
,,,,,,,,,,,Pág. 2/3,,,,
REGIÃO AGRÁRIA,,Total de explorações,,,,,Total de explorações com produtor residente na exploração,,,,,,,,
Ilha / Concelho,,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodo                            mésticos,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodo                                            mésticos,,,,
AÇORES,,  2 788 ,  2 787 ,  2 779 ,  2 691 ,  2 781 ,   930 ,   930 ,   926 ,   879 ,   927 ,,,,
Ilha de Santa Maria ( Vila do Porto ),,   138 ,   137 ,   137 ,   131 ,   137 ,   74 ,   74 ,   73 ,   70 ,   74 ,,,,
Ilha de São Miguel,,  1 099 ,  1 099 ,  1 099 ,  1 086 ,  1 096 ,   252 ,   252 ,   252 ,   250 ,   250 ,,,,
,Lagoa,   60 ,   60 ,   60 ,   60 ,   60 ,   10 ,   10 ,   10 ,   10 ,   10 ,,,,
,Nordeste,   69 ,   69 ,   69 ,   68 ,   69 ,   17 ,   17 ,   17 ,   17 ,   17 ,,,,
,Ponta Delgada,   476 ,   476 ,   476 ,   472 ,   474 ,   155 ,   155 ,   155 ,   154 ,   153 ,,,,
,Povoação,   67 ,   67 ,   67 ,   67 ,   67 ,   10 ,   10 ,   10 ,   10 ,   10 ,,,,
,Ribeira Grande,   313 ,   313 ,   313 ,   307 ,   312 ,   42 ,   42 ,   42 ,   41 ,   42 ,,,,
,Vila Franca do Campo,   114 ,   114 ,   114 ,   112 ,   114 ,   18 ,   18 ,   18 ,   18 ,   18 ,,,,
Ilha Terceira,,   834 ,   834 ,   833 ,   788 ,   834 ,   187 ,   187 ,   187 ,   155 ,   187 ,,,,
,Angra do Heroísmo,   427 ,   427 ,   427 ,   382 ,   427 ,   103 ,   103 ,   103 ,   71 ,   103 ,,,,
,Vila da Praia da Vitória,   407 ,   407 ,   406 ,   406 ,   407 ,   84 ,   84 ,   84 ,   84 ,   84 ,,,,
Ilha da Graciosa ( Santa Cruz da Graciosa ),,   57 ,   57 ,   56 ,   55 ,   57 ,   4 ,   4 ,   4 ,   4 ,   4 ,,,,
Ilha de São Jorge,,   231 ,   231 ,   228 ,   213 ,   229 ,   105 ,   105 ,   103 ,   98 ,   104 ,,,,
,Calheta,   126 ,   126 ,   126 ,   117 ,   125 ,   58 ,   58 ,   58 ,   55 ,   57 ,,,,
,Velas,   105 ,   105 ,   102 ,   96 ,   104 ,   47 ,   47 ,   45 ,   43 ,   47 ,,,,
Ilha do Pico,,   227 ,   227 ,   224 ,   216 ,   226 ,   157 ,   157 ,   156 ,   151 ,   157 ,,,,
,Lajes do Pico,   79 ,   79 ,   78 ,   75 ,   79 ,   65 ,   65 ,   65 ,   63 ,   65 ,,,,
,Madalena,   89 ,   89 ,   89 ,   86 ,   88 ,   43 ,   43 ,   43 ,   42 ,   43 ,,,,
,São Roque do Pico,   59 ,   59 ,   57 ,   55 ,   59 ,   49 ,   49 ,   48 ,   46 ,   49 ,,,,
Ilha do Faial ( Horta ),,   140 ,   140 ,   140 ,   140 ,   140 ,   100 ,   100 ,   100 ,   100 ,   100 ,,,,
Ilha das Flores,,   57 ,   57 ,   57 ,   57 ,   57 ,   48 ,   48 ,   48 ,   48 ,   48 ,,,,
,Lajes das Flores,   19 ,   19 ,   19 ,   19 ,   19 ,   17 ,   17 ,   17 ,   17 ,   17 ,,,,
,Santa Cruz das Flores,   38 ,   38 ,   38 ,   38 ,   38 ,   31 ,   31 ,   31 ,   31 ,   31 ,,,,
Ilha do Corvo (Corvo),,5,5,5,5,5,3,3,3,3,3,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,













































































































































































































































































































































































































































































































































































































































































