"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (UDE / Ilha de São Miguel - Vila Franca do Campo)",,,,,,,,,,,
,,,,,,,,,,,Pág. 1/6
,,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
Explorações agrícolas,,expl (nº),  19 280 ,   579 ,  7 377 ,   565 ,   672 ,  2 891 ,   668 ,  1 714 ,   867 
,,SAU (ha),  121 305 ,  4 222 ,  41 075 ,  2 520 ,  4 002 ,  14 982 ,  3 780 ,  11 284 ,  4 507 
,Sem SAU,expl (nº),   50 ,   1 ,   30 ,   2 ,- ,   17 ,- ,   7 ,   4 
,> 0 a < 1,expl (nº),  9 506 ,   177 ,  3 744 ,   302 ,   269 ,  1 527 ,   404 ,   774 ,   468 
,,SAU (ha),  3 476 ,   63 ,  1 416 ,   132 ,   105 ,   559 ,   131 ,   314 ,   175 
,1 a < 2,expl (nº),  2 177 ,   62 ,   859 ,   84 ,   88 ,   308 ,   47 ,   235 ,   97 
,,SAU (ha),  3 087 ,   92 ,  1 220 ,   125 ,   125 ,   439 ,   60 ,   336 ,   135 
,2 a < 5,expl (nº),  2 275 ,   121 ,   791 ,   72 ,   88 ,   296 ,   40 ,   221 ,   74 
,,SAU (ha),  7 427 ,   410 ,  2 526 ,   224 ,   287 ,   954 ,   131 ,   704 ,   226 
,5 a < 10,expl (nº),  1 810 ,   102 ,   659 ,   31 ,   89 ,   244 ,   52 ,   168 ,   75 
,,SAU (ha),  13 074 ,   707 ,  4 790 ,   214 ,   650 ,  1 780 ,   399 ,  1 209 ,   538 
,10 a < 20,expl (nº),  1 857 ,   60 ,   782 ,   40 ,   86 ,   330 ,   72 ,   170 ,   84 
,,SAU (ha),  26 251 ,   828 ,  11 043 ,   541 ,  1 161 ,  4 728 ,  1 023 ,  2 417 ,  1 173 
,20 a < 50,expl (nº),  1 315 ,   46 ,   431 ,   26 ,   48 ,   146 ,   42 ,   111 ,   58 
,,SAU (ha),  39 475 ,  1 344 ,  12 878 ,   729 ,  1 442 ,  4 469 ,  1 188 ,  3 342 ,  1 708 
,50 a < 100,expl (nº),   247 ,   9 ,   66 ,   7 ,   4 ,   16 ,   9 ,   24 ,   6 
,,SAU (ha),  16 435 ,   658 ,  4 536 ,   436 ,   236 ,  1 144 ,   625 ,  1 695 ,   400 
,>= 100,expl (nº),   43 ,   1 ,   15 ,   1 ,- ,   7 ,   2 ,   4 ,   1 
,,SAU (ha),  12 084 ,... ,  2 664 ,... ,- ,   906 ,... ,  1 261 ,... 
Classes de dimensão económica - (UDE),,expl (nº),  19 126 ,   579 ,  7 353 ,   562 ,   671 ,  2 883 ,   665 ,  1 705 ,   867 
,,SAU (ha),  121 291 ,  4 222 ,  41 074 ,  2 520 ,  4 002 ,  14 982 ,  3 780 ,  11 283 ,  4 507 
,> 0 a < 2,expl (nº),  9 365 ,   278 ,  3 702 ,   272 ,   306 ,  1 597 ,   372 ,   813 ,   342 
,,SAU (ha),  5 936 ,   406 ,  2 096 ,   154 ,   200 ,   940 ,   167 ,   519 ,   116 
,2 a < 4,expl (nº),  2 876 ,   131 ,   889 ,   79 ,   94 ,   287 ,   75 ,   208 ,   146 
,,SAU (ha),  6 388 ,   663 ,  1 489 ,   114 ,   198 ,   520 ,   137 ,   383 ,   137 
,4 a < 8,expl (nº),  2 369 ,   97 ,   721 ,   58 ,   77 ,   237 ,   52 ,   185 ,   112 
,,SAU (ha),  13 052 ,  1 085 ,  2 527 ,   143 ,   358 ,   935 ,   184 ,   646 ,   261 
,8 a < 16,expl (nº),  2 097 ,   49 ,   852 ,   69 ,   99 ,   282 ,   79 ,   193 ,   130 
,,SAU (ha),  23 582 ,   899 ,  6 964 ,   387 ,   959 ,  2 272 ,   807 ,  1 540 ,   999 
,16 a < 40,expl (nº),  1 938 ,   23 ,   932 ,   64 ,   81 ,   374 ,   72 ,   223 ,   118 
,,SAU (ha),  46 738 ,  1 049 ,  16 086 ,   950 ,  1 681 ,  5 952 ,  1 543 ,  3 852 ,  2 108 
,40 a < 100,expl (nº),   425 ,   1 ,   222 ,   18 ,   13 ,   89 ,   14 ,   72 ,   16 
,,SAU (ha),  19 408 ,... ,  8 874 ,   651 ,   595 ,  3 233 ,   869 ,  2 920 ,   606 
,> = 100,expl (nº),   56 ,- ,   35 ,   2 ,   1 ,   17 ,   1 ,   11 ,   3 
,,SAU (ha),  6 190 ,- ,  3 041 ,... ,... ,  1 132 ,... ,  1 422 ,   280 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
