"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (OTE / Ilha de São Miguel - Vila Franca do Campo)",,,,,,,,,,
,,,,,,,,,,Pág. 2/6
,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
OTE,expl (nº),  19 280 ,   579 ,  7 377 ,   565 ,   672 ,  2 891 ,   668 ,  1 714 ,   867 
,SAU (ha),  121 305 ,  4 222 ,  41 075 ,  2 520 ,  4 002 ,  14 982 ,  3 780 ,  11 284 ,  4 507 
Cereais plantas olea./proteaginosas,expl (nº),   92 ,   5 ,   65 ,   6 ,- ,   27 ,   6 ,   25 ,   1 
,SAU (ha),   34 ,   2 ,   29 ,   3 ,- ,   10 ,   1 ,   13 ,... 
Culturas agrícolas diversas,expl (nº),  1 842 ,   55 ,  1 155 ,   119 ,   111 ,   390 ,   64 ,   389 ,   82 
,SAU (ha),  1 428 ,   30 ,  1 135 ,   156 ,   96 ,   265 ,   20 ,   534 ,   64 
Horticultura,expl (nº),   289 ,   1 ,   107 ,   18 ,   1 ,   54 ,   2 ,   30 ,   2 
,SAU (ha),   473 ,... ,   264 ,   38 ,... ,   95 ,... ,   127 ,... 
Viticultura,expl (nº),  1 630 ,   35 ,   329 ,   21 ,   13 ,   74 ,   50 ,   23 ,   148 
,SAU (ha),  1 888 ,   45 ,   160 ,   14 ,   3 ,   33 ,   18 ,   6 ,   86 
Fruticultura,expl (nº),  1 736 ,   13 ,   975 ,   86 ,   34 ,   366 ,   144 ,   219 ,   126 
,SAU (ha),  1 086 ,   5 ,   619 ,   62 ,   11 ,   189 ,   81 ,   161 ,   115 
Olivicultura,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,SAU (ha),- ,- ,- ,- ,- ,- ,- ,- ,- 
Culturas permanentes diversas,expl (nº),   702 ,   3 ,   277 ,   27 ,   15 ,   117 ,   23 ,   16 ,   79 
,SAU (ha),  4 719 ,   11 ,   327 ,   18 ,   21 ,   97 ,   19 ,   66 ,   106 
Bovinos de leite,expl (nº),  3 889 ,- ,  1 966 ,   93 ,   228 ,   794 ,   172 ,   472 ,   207 
,SAU (ha),  67 780 ,- ,  33 491 ,  1 678 ,  3 275 ,  12 463 ,  3 272 ,  9 202 ,  3 601 
Bovinos para gado/carne,expl (nº),  2 462 ,   260 ,   571 ,   31 ,   57 ,   327 ,   18 ,   107 ,   31 
,SAU (ha),  18 073 ,  2 926 ,  1 439 ,   72 ,   168 ,   662 ,   56 ,   376 ,   105 
Bovinos para leite/gado/carne,expl (nº),   632 ,   4 ,   85 ,   6 ,   13 ,   30 ,   11 ,   14 ,   11 
,SAU (ha),  9 562 ,   89 ,   938 ,   152 ,   165 ,   240 ,   119 ,   113 ,   149 
Ovinos/caprinos/out. herbívoros,expl (nº),   782 ,   27 ,   365 ,   17 ,   23 ,   182 ,   23 ,   109 ,   11 
,SAU (ha),  3 918 ,   324 ,   666 ,   19 ,   36 ,   289 ,   46 ,   220 ,   56 
Granívoros,expl (nº),   373 ,   4 ,   105 ,   8 ,   8 ,   52 ,   5 ,   27 ,   5 
,SAU (ha),   117 ,   5 ,   22 ,   4 ,o ,   13 ,   1 ,   4 ,o 
Policultura,expl (nº),  2 256 ,   44 ,   699 ,   90 ,   70 ,   189 ,   97 ,   128 ,   125 
,SAU (ha),  2 577 ,   81 ,   758 ,   141 ,   48 ,   205 ,   60 ,   158 ,   146 
Polipecuária-herbívoros,expl (nº),   800 ,   50 ,   110 ,   8 ,   21 ,   45 ,   6 ,   24 ,   6 
,SAU (ha),  4 299 ,   324 ,   244 ,   20 ,   36 ,   97 ,   13 ,   66 ,   12 
Polipecuária-granívoros,expl (nº),   311 ,   9 ,   109 ,   5 ,   14 ,   55 ,   5 ,   25 ,   5 
,SAU (ha),   296 ,   11 ,   140 ,   4 ,   11 ,   62 ,   14 ,   42 ,   7 
Agricultura geral e herbívoros,expl (nº),   325 ,   12 ,   152 ,   8 ,   35 ,   60 ,   6 ,   36 ,   7 
,SAU (ha),   666 ,   25 ,   295 ,   7 ,   80 ,   76 ,   6 ,   112 ,   14 
Culturas diversas e gado,expl (nº),  1 005 ,   57 ,   283 ,   19 ,   28 ,   121 ,   33 ,   61 ,   21 
,SAU (ha),  4 357 ,   333 ,   529 ,   126 ,   51 ,   175 ,   49 ,   86 ,   42 
Não classificadas,expl (nº),   154 ,- ,   24 ,   3 ,   1 ,   8 ,   3 ,   9 ,- 
,SAU (ha),   13 ,- ,o ,o ,... ,o ,o ,o ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,
