"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (UDE / Ilha do Corvo)",,,,,,,,,
,,,,,,,,,Pág. 5/6
,,,Madalena,São Roque do Pico,Ilha do Faial      (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
Explorações agrícolas,,expl (nº),  1 088 ,   555 ,  1 266 ,   607 ,   305 ,   302 ,   65 
,,SAU (ha),  6 137 ,  4 940 ,  8 645 ,  8 003 ,  2 567 ,  5 436 ,   982 
,Sem SAU,expl (nº),   1 ,- ,   2 ,- ,- ,- ,- 
,> 0 a < 1,expl (nº),   683 ,   334 ,   435 ,   235 ,   123 ,   112 ,   10 
,,SAU (ha),   270 ,   103 ,   168 ,   76 ,   36 ,   40 ,   3 
,1 a < 2,expl (nº),   117 ,   35 ,   157 ,   65 ,   24 ,   41 ,   8 
,,SAU (ha),   158 ,   50 ,   220 ,   92 ,   33 ,   59 ,   11 
,2 a < 5,expl (nº),   61 ,   33 ,   227 ,   86 ,   33 ,   53 ,   25 
,,SAU (ha),   187 ,   101 ,   746 ,   294 ,   114 ,   180 ,   92 
,5 a < 10,expl (nº),   50 ,   30 ,   185 ,   75 ,   37 ,   38 ,   15 
,,SAU (ha),   356 ,   220 ,  1 317 ,   571 ,   278 ,   293 ,   109 
,10 a < 20,expl (nº),   76 ,   48 ,   140 ,   85 ,   45 ,   40 ,   4 
,,SAU (ha),  1 115 ,   706 ,  1 999 ,  1 196 ,   635 ,   561 ,   45 
,20 a < 50,expl (nº),   76 ,   63 ,   104 ,   49 ,   37 ,   12 ,   2 
,,SAU (ha),  2 490 ,  2 058 ,  2 972 ,  1 432 ,  1 089 ,   343 ,... 
,50 a < 100,expl (nº),   24 ,   9 ,   14 ,   10 ,   5 ,   5 ,- 
,,SAU (ha),  1 561 ,   630 ,   932 ,   558 ,   277 ,   281 ,- 
,>= 100,expl (nº),- ,   3 ,   2 ,   2 ,   1 ,   1 ,   1 
,,SAU (ha),- ,  1 074 ,... ,... ,... ,... ,... 
Classes de dimensão económica - (UDE),,expl (nº),  1 079 ,   546 ,  1 263 ,   607 ,   305 ,   302 ,   65 
,,SAU (ha),  6 137 ,  4 939 ,  8 645 ,  8 003 ,  2 567 ,  5 436 ,   982 
,> 0 a < 2,expl (nº),   403 ,   279 ,   601 ,   280 ,   140 ,   140 ,   15 
,,SAU (ha),   112 ,   108 ,   613 ,   222 ,   95 ,   127 ,   14 
,2 a < 4,expl (nº),   200 ,   87 ,   208 ,   108 ,   52 ,   56 ,   11 
,,SAU (ha),   194 ,   151 ,   739 ,   422 ,   250 ,   172 ,   28 
,4 a < 8,expl (nº),   171 ,   82 ,   195 ,   128 ,   67 ,   61 ,   25 
,,SAU (ha),   531 ,   842 ,  1 506 ,  1 327 ,   815 ,   512 ,   137 
,8 a < 16,expl (nº),   138 ,   59 ,   166 ,   64 ,   30 ,   34 ,   13 
,,SAU (ha),  1 081 ,  1 320 ,  2 465 ,  1 230 ,   662 ,   568 ,   138 
,16 a < 40,expl (nº),   127 ,   36 ,   84 ,   27 ,   16 ,   11 ,- 
,,SAU (ha),  2 857 ,  1 506 ,  2 751 ,  4 800 ,   741 ,  4 059 ,- 
,40 a < 100,expl (nº),   40 ,   2 ,   7 ,- ,- ,- ,- 
,,SAU (ha),  1 362 ,... ,   546 ,- ,- ,- ,- 
,> = 100,expl (nº),- ,   1 ,   2 ,- ,- ,- ,   1 
,,SAU (ha),- ,... ,... ,- ,- ,- ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
