Utilização das terras (Entre Douro e Vouga),,,,,,,,
,,,,,,,,1999
,,,,,,,,pág. 6/6
,,,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
Superfície Total,,expl (nº),"5,095","1,688","1,076",981,- ,"1,350"
 ,,área (ha),"21,754","10,056","3,996","3,028",- ,"4,674"
Superfície Agrícola Utilizada (SAU),,expl (nº),"5,075","1,683","1,066",978,- ,"1,348"
 ,,área (ha),"9,297","4,026","1,955","1,711",- ,"1,605"
Terra arável,,expl (nº),"5,009","1,663","1,057",972,- ,"1,317"
,,área (ha),"6,781","2,258","1,782","1,542",- ,"1,199"
,Terra arável limpa,expl (nº),"5,008","1,663","1,057",972,- ,"1,316"
,,área (ha),"6,776","2,258","1,781","1,541",- ,"1,196"
,Culturas temporárias,expl (nº),"4,928","1,645","1,021",957,- ,"1,305"
,,área (ha),"6,522","2,136","1,744","1,491",- ,"1,151"
,Pousio (com e sem ajuda),expl (nº),132,64,6,25,- ,37
,,área (ha),84,50,4,18,- ,12
,Horta familiar,expl (nº),"4,161","1,552",672,771,- ,"1,166"
,,área (ha),166,68,34,31,- ,33
,Culturas sob-coberto matas e florestas,expl (nº),8,1,3,2,- ,2
,,área (ha),5,... ,1,... ,- ,... 
,Culturas temporárias,expl (nº),6,1,3,2,- ,- 
,,área (ha),2,... ,1,... ,- ,- 
,Pousio (com e sem ajuda),expl (nº),2,- ,- ,- ,- ,2
,,área (ha),... ,- ,- ,- ,- ,... 
Culturas permanentes,,expl (nº),"4,469","1,599",835,756,- ,"1,279"
,,área (ha),961,444,116,140,- ,261
,Sem culturas sob-coberto,expl (nº),"3,351","1,266",476,625,- ,984
,,área (ha),623,265,57,127,- ,174
,Com culturas temporárias,expl (nº),"1,706",628,427,141,- ,510
,,área (ha),290,170,45,5,- ,70
,Com pousio (com e sem ajuda),expl (nº),2,- ,1,- ,- ,1
,,área (ha),... ,- ,... ,- ,- ,... 
,Com horta familiar,expl (nº),345,58,133,24,- ,130
,,área (ha),9,2,4,o ,- ,3
,Com pastagens permanentes,expl (nº),243,47,34,1,- ,161
,,área (ha),31,5,9,... ,- ,12
Pastagens permanentes,,expl (nº),"1,220",469,150,22,- ,579
,,área (ha),"1,555","1,325",58,27,- ,145
,Em terra limpa,expl (nº),"1,216",469,149,20,- ,578
,,área (ha),"1,546","1,324",56,25,- ,141
,Sob-coberto de matas e florestas,expl (nº),7,1,3,2,- ,1
,,área (ha),8,... ,2,... ,- ,... 
Matas e florestas sem culturas sob-coberto,,expl (nº),"3,464",987,748,555,- ,"1,174"
,,área (ha),"11,904","5,869","1,869","1,225",- ,"2,941"
Superfície Agrícola não utilizada,,expl (nº),376,72,106,55,- ,143
,,área (ha),194,43,59,32,- ,60
Outras superfícies,,expl (nº),"5,063","1,682","1,076",960,- ,"1,345"
,,área (ha),361,119,114,61,- ,67
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Norte."
