Explorações segundo o número de blocos com SAU (Página 2),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 2/2
Região Agrária,,,,Número de blocos com SAU,,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,Total ,1,2,3,4 e 5,6 a 9,10 a 19,>=20
,Tâmega,,expl (nº),"20,483","8,368","4,975","2,522","2,230","1,426",737,225
,,,SAU (ha),"56,556","19,963","10,929","5,878","6,476","6,614","4,540","2,162"
,,,blocos com SAU (nº),"61,941","8,368","9,950","7,566","9,753","10,044","9,496","6,764"
,,Amarante,expl (nº),"2,210","1,053",520,280,224,105,27,1
,,,SAU (ha),"5,782","2,479","1,217",669,701,472,232,... 
,,,blocos com SAU (nº),"4,985","1,053","1,040",840,977,731,313,... 
,,Baião,expl (nº),"1,910",650,593,292,264,95,16,- 
,,,SAU (ha),"3,928","1,264","1,039",553,604,318,148,- 
,,,blocos com SAU (nº),"4,685",650,"1,186",876,"1,143",645,185,- 
,,Cabeceiras de Basto,expl (nº),"1,264",524,288,149,158,105,40,- 
,,,SAU (ha),"5,896","1,514","1,050",452,727,"1,520",632,- 
,,,blocos com SAU (nº),"3,469",524,576,447,707,727,488,- 
,,Castelo de Paiva,expl (nº),751,319,291,95,36,10,- ,- 
,,,SAU (ha),"1,198",427,441,181,123,26,- ,- 
,,,blocos com SAU (nº),"1,407",319,582,285,153,68,- ,- 
,,Celorico de Basto,expl (nº),"1,779",953,483,160,115,51,16,1
,,,SAU (ha),"3,653","1,441",966,391,478,247,117,... 
,,,blocos com SAU (nº),"3,464",953,966,480,498,361,186,... 
,,Cinfães,expl (nº),"1,773",560,337,210,201,174,193,98
,,,SAU (ha),"4,746",861,612,431,520,540,997,782
,,,blocos com SAU (nº),"9,375",560,674,630,892,"1,249","2,651","2,719"
,,Felgueiras,expl (nº),"1,467",834,350,147,90,39,7,- 
,,,SAU (ha),"3,688","1,667",884,464,336,242,93,- 
,,,blocos com SAU (nº),"2,724",834,700,441,384,273,92,- 
,,Lousada,expl (nº),954,458,244,124,83,35,10,- 
,,,SAU (ha),"2,849","1,009",807,370,317,265,87,- 
,,,blocos com SAU (nº),"2,042",458,488,372,360,236,128,- 
,,Marco de Canaveses,expl (nº),"1,783","1,040",449,168,96,28,2,- 
,,,SAU (ha),"4,170","2,181","1,036",439,338,150,... ,- 
,,,blocos com SAU (nº),"3,060","1,040",898,504,415,183,... ,- 
,,Mondim de Basto,expl (nº),796,102,106,96,144,179,144,25
,,,SAU (ha),"5,390","3,672",198,203,272,398,456,191
,,,blocos com SAU (nº),"5,057",102,212,288,629,"1,303","1,846",677
,,Paços de Ferreira,expl (nº),605,188,159,101,97,43,17,- 
,,,SAU (ha),"1,368",350,269,178,240,214,122,- 
,,,blocos com SAU (nº),"1,739",188,318,303,423,305,202,- 
,,Paredes,expl (nº),"1,183",369,287,162,176,144,45,- 
,,,SAU (ha),"2,480",579,511,312,440,427,211,- 
,,,blocos com SAU (nº),"3,767",369,574,486,777,"1,008",553,- 
,,Penafiel,expl (nº),"1,900",811,496,244,184,116,45,4
,,,SAU (ha),"3,919","1,174","1,177",522,452,379,180,33
,,,blocos com SAU (nº),"4,788",811,992,732,787,819,540,107
,,Resende,expl (nº),"1,235",339,249,181,192,127,64,83
,,,SAU (ha),"4,275","1,127",491,449,438,569,341,864
