Explorações segundo o número de bovinos ( Classes do número de animais 30 a >=300),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 2/2
Região Agrária,,,,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,
,,Concelho,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
Entre Douro e Minho,,,expl (nº),631,436,334,690,326,37,9
,,,efect (nº),"21,353","19,140","18,145","51,963","41,614","8,648","4,087"
,Minho Lima ,,expl (nº),58,23,14,21,6,- ,1
,,,efect (nº),"1,973","1,004",763,"1,524",743,- ,... 
,,Arcos de Valdevez,expl (nº),10,1,1,5,- ,- ,- 
,,,efect (nº),341,... ,... ,340,- ,- ,- 
,,Caminha,expl (nº),- ,1,- ,- ,- ,- ,- 
,,,efect (nº),- ,... ,- ,- ,- ,- ,- 
,,Melgaço,expl (nº),2,1,1,- ,- ,- ,- 
,,,efect (nº),... ,... ,... ,- ,- ,- ,- 
,,Monção,expl (nº),2,1,- ,1,- ,- ,1
,,,efect (nº),... ,... ,- ,... ,- ,- ,... 
,,Paredes de Coura,expl (nº),3,2,1,1,1,- ,- 
,,,efect (nº),98,... ,... ,... ,... ,- ,- 
,,Ponte da Barca,expl (nº),- ,- ,1,- ,- ,- ,- 
,,,efect (nº),- ,- ,... ,- ,- ,- ,- 
,,Ponte de Lima,expl (nº),17,11,5,5,1,- ,- 
,,,efect (nº),582,466,271,336,... ,- ,- 
,,Valença,expl (nº),1,1,- ,1,- ,- ,- 
,,,efect (nº),... ,... ,- ,... ,- ,- ,- 
,,Viana do Castelo,expl (nº),21,4,3,5,1,- ,- 
,,,efect (nº),710,176,159,416,... ,- ,- 
,,Vila Nova de Cerveira,expl (nº),2,1,2,3,3,- ,- 
,,,efect (nº),... ,... ,... ,212,383,- ,- 
,Cávado,,expl (nº),211,155,119,195,65,7,4
,,,efect (nº),"7,116","6,845","6,442","14,294","8,192","1,582","2,051"
,,Amares,expl (nº),3,1,3,6,- ,- ,- 
,,,efect (nº),103,... ,167,437,- ,- ,- 
,,Barcelos,expl (nº),161,111,83,155,54,6,2
,,,efect (nº),"5,448","4,890","4,505","11,391","6,799","1,382",... 
,,Braga,expl (nº),22,18,17,15,2,- ,2
,,,efect (nº),726,789,919,"1,073",... ,- ,... 
,,Esposende,expl (nº),19,21,10,11,3,- ,- 
,,,efect (nº),641,937,528,816,417,- ,- 
,,Terras de Bouro,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Vila Verde,expl (nº),6,4,6,8,6,1,- 
,,,efect (nº),198,183,323,577,715,... ,- 
,Ave,,expl (nº),95,81,59,118,59,5,- 
,,,efect (nº),"3,219","3,539","3,206","8,887","7,534","1,138",- 
,,Fafe,expl (nº),3,2,- ,3,- ,- ,- 
,,,efect (nº),94,... ,- ,223,- ,- ,- 
,,Guimarães,expl (nº),12,12,6,8,6,3,- 
,,,efect (nº),411,533,322,594,735,668,- 
,,Póvoa de Lanhoso,expl (nº),7,1,1,4,1,1,- 
,,,efect (nº),231,... ,... ,310,... ,... ,- 
,,Santo Tirso,expl (nº),13,9,9,11,4,- ,- 
,,,efect (nº),463,393,481,792,555,- ,- 
,,Trofa,expl (nº),20,18,15,27,12,- ,- 
,,,efect (nº),690,794,834,"1,970","1,536",- ,- 
