Máquinas e equipamentos (Página 3),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 3/6
,,,,Fafe,Guimarães,Póvoa de Lanhoso,Santo Tirso,Trofa,Vieira do Minho,Vila Nova de Famalicão,Vizela,Grande Porto,Espinho
Explorações que utilizam tractores,,,expl (nº),"1,947","1,723",999,779,332,"1,147","1,654",197,"4,277",34
Máquinas pertencentes à exploração,,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),338,636,304,399,289,275,937,61,"3,017",8
,,,máq (nº),381,796,361,525,497,305,"1,355",79,"4,863",8
,,De menos de 20 c.v.,expl (nº),9,29,4,24,1,13,6,3,88,1
,,,máq (nº),9,29,4,24,... ,13,6,3,90,... 
,,De 20 a menos de 34 c.v.,expl (nº),30,69,40,66,19,48,70,6,326,2
,,,máq (nº),30,71,40,68,20,49,70,6,326,... 
,,De 34 a menos de 55 c.v.,expl (nº),237,351,218,225,225,181,635,32,"2,007",3
,,,máq (nº),245,370,234,240,257,189,676,34,"2,223",3
,,De 55 a menos de 82 c.v.,expl (nº),77,243,60,129,144,44,401,27,"1,370",2
,,,máq (nº),87,299,74,179,195,46,522,34,"1,906",... 
,,De 82 a menos de 109 c.v,expl (nº),7,19,3,12,18,4,60,2,248,- 
,,,máq (nº),9,21,6,14,20,4,67,... ,283,- 
,,De 109 c.v. e mais,expl (nº),1,6,3,- ,3,4,14,- ,32,- 
,,,máq (nº),... ,6,3,- ,4,4,14,- ,35,- 
,Motocultivadores,,expl (nº),53,78,43,53,23,42,78,12,917,17
,,,máq (nº),53,82,44,57,23,42,80,13,975,20
,Motoenxadas (motofresas),,expl (nº),21,17,47,5,9,18,17,2,500,1
,,,máq (nº),21,17,47,5,10,18,18,... ,513,... 
,Motoceifeiras (motogadanheiras),,expl (nº),78,325,207,198,213,92,398,38,"1,501",1
,,,máq (nº),80,374,230,216,236,100,436,45,"1,645",... 
,Electrobomba/motobomba,,expl (nº),627,896,464,649,331,129,"1,555",102,"4,182",33
,,,máq (nº),832,"1,480",616,"1,054",984,138,"2,268",151,"11,166",61
,Distribuidores de adubos e correctivos,,expl (nº),31,138,69,126,180,21,378,8,"1,350",- 
,,,máq (nº),32,145,74,132,193,21,416,9,"1,449",- 
,Semeadores,,expl (nº),48,196,72,133,189,23,508,14,"1,334",- 
,,,máq (nº),49,206,76,135,206,23,520,15,"1,381",- 
,Plantadores/transplantadores,,expl (nº),3,29,5,58,129,3,124,- ,913,- 
,,,máq (nº),3,31,5,58,129,3,125,- ,932,- 
,Pulverizadores e polvilhadores,,expl (nº),107,504,135,337,284,32,668,41,"2,242",1
,,,máq (nº),108,536,152,359,296,33,696,48,"2,464",... 
,Gadanheiras,,expl (nº),88,148,51,80,183,91,376,19,"1,218",- 
,,,máq (nº),89,162,54,81,189,101,476,22,"1,317",- 
,Colhedores de forragem,,expl (nº),10,82,17,67,131,14,261,6,"1,002",- 
,,,máq (nº),10,90,20,79,222,14,294,9,"1,481",- 
,Enfardadeiras,,expl (nº),22,76,28,29,26,48,126,5,345,- 
,,,máq (nº),23,78,28,29,29,48,127,5,350,- 
,Ceifeiras-debulhadoras,,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,máq (nº),- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Secadores de cereais,,expl (nº),1,- ,- ,- ,- ,- ,3,- ,6,- 
,,,máq (nº),... ,- ,- ,- ,- ,- ,3,- ,6,- 
,Viradores de feno,,expl (nº),36,144,42,74,138,43,329,12,857,- 
,,,máq (nº),37,146,42,77,155,43,350,12,918,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
