Produtor singular segundo a OTE e as classes de idade (Página 8),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 8/10
Região Agrária,,,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Vila Nova de Gaia,,,,,,,,,,
,,,Total,1,14,3,182,21,5,26,20,- 
,,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,1,- ,- ,- ,1,- 
,,,35 - 44,- ,3,- ,18,2,- ,- ,- ,- 
,,,45 - 54,- ,2,1,23,4,3,4,6,- 
,,,55 - 64,1,5,1,46,8,1,14,9,- 
,,,>= 65,- ,4,1,93,7,1,8,4,- 
,Tâmega,,,,,,,,,,,
,,,Total,18,448,64,"9,558","1,625",92,933,948,- 
,,,15 - 24,- ,6,2,27,3,- ,3,2,- 
,,,25 - 34,1,48,5,451,92,6,47,71,- 
,,,35 - 44,5,99,16,"1,337",284,13,166,183,- 
,,,45 - 54,6,99,16,"1,919",354,21,211,204,- 
,,,55 - 64,5,104,15,"2,680",476,32,253,239,- 
,,,>= 65,1,92,10,"3,144",416,20,253,249,- 
,,Amarante,,,,,,,,,,
,,,Total,- ,21,1,"1,143",58,5,71,68,- 
,,,15 - 24,- ,- ,- ,3,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,59,1,- ,4,3,- 
,,,35 - 44,- ,6,- ,177,6,3,9,17,- 
,,,45 - 54,- ,3,- ,215,20,1,11,19,- 
,,,55 - 64,- ,4,- ,324,17,1,17,14,- 
,,,>= 65,- ,7,1,365,14,- ,30,15,- 
,,Baião,,,,,,,,,,
,,,Total,1,16,1,936,89,5,68,38,- 
,,,15 - 24,- ,- ,1,1,- ,- ,- ,1,- 
,,,25 - 34,- ,1,- ,54,2,2,1,- ,- 
,,,35 - 44,- ,2,- ,135,15,- ,4,8,- 
,,,45 - 54,1,5,- ,185,11,- ,16,5,- 
,,,55 - 64,- ,3,- ,237,33,3,27,14,- 
,,,>= 65,- ,5,- ,324,28,- ,20,10,- 
,,Cabeceiras de Basto,,,,,,,,,,
,,,Total,2,53,6,559,146,8,26,123,- 
,,,15 - 24,- ,- ,- ,2,- ,- ,- ,- ,- 
,,,25 - 34,- ,11,1,19,9,- ,1,9,- 
,,,35 - 44,- ,15,2,73,22,4,6,20,- 
,,,45 - 54,1,11,2,113,23,3,5,23,- 
,,,55 - 64,1,9,- ,142,46,1,6,32,- 
,,,>= 65,- ,7,1,210,46,- ,8,39,- 
,,Castelo de Paiva,,,,,,,,,,
,,,Total,- ,3,4,383,83,21,54,40,- 
,,,15 - 24,- ,- ,- ,2,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,10,5,1,1,- ,- 
,,,35 - 44,- ,- ,3,62,13,2,9,7,- 
,,,45 - 54,- ,- ,- ,96,20,5,20,11,- 
,,,55 - 64,- ,1,1,108,19,8,12,7,- 
,,,>= 65,- ,2,- ,105,26,5,12,15,- 
,,Celorico de Basto,,,,,,,,,,
,,,Total,1,17,3,808,205,5,149,84,- 
,,,15 - 24,- ,- ,- ,2,1,- ,1,- ,- 
,,,25 - 34,- ,4,- ,47,7,3,7,7,- 
,,,35 - 44,- ,2,1,132,31,- ,26,13,- 
,,,45 - 54,1,5,1,139,55,- ,36,17,- 
,,,55 - 64,- ,1,1,200,59,1,47,21,- 
,,,>= 65,- ,5,- ,288,52,1,32,26,- 
,,Cinfães,,,,,,,,,,
,,,Total,- ,148,1,706,330,2,135,123,- 
,,,15 - 24,- ,1,- ,2,- ,- ,- ,- ,- 
,,,25 - 34,- ,7,1,36,25,- ,12,10,- 
,,,35 - 44,- ,37,- ,102,63,- ,31,19,- 
,,,45 - 54,- ,37,- ,146,57,- ,30,25,- 
,,,55 - 64,- ,38,- ,206,94,- ,31,35,- 
,,,>= 65,- ,28,- ,214,91,2,31,34,- 
,,Felgueiras,,,,,,,,,,
,,,Total,- ,5,1,722,76,2,32,57,- 
,,,15 - 24,- ,- ,- ,3,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,38,3,- ,1,6,- 
,,,35 - 44,- ,1,- ,104,13,- ,3,9,- 
,,,45 - 54,- ,2,1,131,15,1,9,8,- 
,,,55 - 64,- ,- ,- ,208,27,- ,10,20,- 
,,,>= 65,- ,1,- ,238,18,1,9,14,- 
,,Lousada,,,,,,,,,,
,,,Total,2,5,4,481,45,8,26,45,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,20,2,- ,1,8,- 
,,,35 - 44,- ,3,- ,61,16,- ,5,10,- 
,,,45 - 54,1,1,1,91,10,4,8,6,- 
,,,55 - 64,1,- ,2,150,8,4,5,12,- 
,,,>= 65,- ,- ,1,159,9,- ,7,9,- 
,,Marco de Canaveses,,,,,,,,,,
,,,Total,- ,23,7,"1,097",51,4,49,42,- 
,,,15 - 24,- ,- ,- ,5,- ,- ,- ,1,- 
,,,25 - 34,- ,1,- ,42,5,- ,5,4,- 
,,,35 - 44,- ,3,1,142,14,- ,9,9,- 
,,,45 - 54,- ,5,3,233,11,1,11,9,- 
,,,55 - 64,- ,6,3,314,13,2,12,9,- 
,,,>= 65,- ,8,- ,361,8,1,12,10,- 
,,Mondim de Basto,,,,,,,,,,
,,,Total,- ,35,- ,277,154,1,35,67,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,5,- ,14,16,- ,1,6,- 
,,,35 - 44,- ,7,- ,36,27,- ,11,13,- 
,,,45 - 54,- ,8,- ,62,32,- ,5,15,- 
,,,55 - 64,- ,11,- ,86,49,- ,5,22,- 
,,,>= 65,- ,4,- ,79,30,1,13,11,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,
