Utilização das terras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo  (P.Santo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superfície Total,,expl (nº),  14 526 ,  14 390 ,  1 844 ,  1 805 ,  1 340 ,  1 325 ,  1 258 ,   583 ,  1 692 ,  1 103 ,  2 031 ,  1 409 ,   136 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,área (ha),  8 816 ,  8 287 ,   854 ,   682 ,   539 ,   714 ,   658 ,   409 ,   761 ,   735 ,  2 147 ,   788 ,   529 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superfície Agrícola Utilizada (SAU),,expl (nº),  14 502 ,  14 366 ,  1 842 ,  1 802 ,  1 335 ,  1 323 ,  1 258 ,   583 ,  1 691 ,  1 092 ,  2 031 ,  1 409 ,   136 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,área (ha),  5 646 ,  5 224 ,   582 ,   523 ,   339 ,   533 ,   440 ,   305 ,   509 ,   360 ,  1 133 ,   500 ,   422 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra arável,,expl (nº),  11 616 ,  11 580 ,  1 614 ,   963 ,   626 ,  1 275 ,  1 014 ,   555 ,  1 569 ,   993 ,  1 769 ,  1 202 ,   36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,área (ha),  2 399 ,  2 365 ,   287 ,   154 ,   78 ,   295 ,   246 ,   162 ,   273 ,   243 ,   476 ,   151 ,   34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Terra arável limpa,expl (nº),  11 616 ,  11 580 ,  1 614 ,   963 ,   626 ,  1 275 ,  1 014 ,   555 ,  1 569 ,   993 ,  1 769 ,  1 202 ,   36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,área (ha),  2 399 ,  2 365 ,   287 ,   154 ,   78 ,   295 ,   246 ,   162 ,   273 ,   243 ,   476 ,   151 ,   34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Culturas temporárias,expl (nº),  10 852 ,  10 828 ,  1 558 ,   906 ,   347 ,  1 266 ,   919 ,   551 ,  1 490 ,   940 ,  1 723 ,  1 128 ,   24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,área (ha),  2 201 ,  2 167 ,   264 ,   143 ,   64 ,   277 ,   217 ,   147 ,   244 ,   228 ,   451 ,   132 ,   34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
