Principais culturas temporárias (Ilha da Madeira - Câmara de Lobos),,,,,,,,,,,,,
,,,,,,,,,,,,,Pág. 1/4
REGIÃO AGRÁRIA,,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Ilha de Porto Santo (Porto Santo),,,,,,,,,,,,
,Culturas temporárias,,,   24 ,   34 ,   24 ,   34 ,   1 ,... ,- ,- ,   1 ,... 
,Cereais para grão,,,   13 ,   28 ,   13 ,   28 ,- ,- ,- ,- ,- ,- 
,Leguminosas secas para grão,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Prados temporários,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,,   4 ,   2 ,   4 ,   2 ,- ,- ,- ,- ,- ,- 
,Batata,,,   3 ,o ,   2 ,... ,   1 ,... ,- ,- ,   1 ,... 
,Beterraba sacarina,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,,   15 ,   3 ,   15 ,   3 ,- ,- ,- ,- ,- ,- 
,Flores e plantas ornamentais,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,
