Principais culturas permanentes,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Ilha / Concelho,,,,Culturas Permanentes,Frutos                 frescos,Citrinos,Frutos sub-tropicais,Frutos                     secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes,,,,,,,,,,
MADEIRA,,,expl (nº),  11 683 ,  1 450 ,  1 153 ,  4 834 ,   410 ,- ,  8 764 ,   10 ,- ,   441 ,   19 ,,,,,,,,,,
,,,área (ha),  2 734 ,   217 ,   102 ,   741 ,   79 ,- ,  1 519 ,   7 ,- ,   58 ,o ,,,,,,,,,,
,Ilha da Madeira,,expl (nº),  11 562 ,  1 445 ,  1 153 ,  4 834 ,   410 ,- ,  8 644 ,   9 ,- ,   441 ,   19 ,,,,,,,,,,
,,,área (ha),  2 667 ,   216 ,   102 ,   741 ,   79 ,- ,  1 453 ,   6 ,- ,   58 ,o ,,,,,,,,,,
,,Calheta,expl (nº),  1 494 ,   179 ,   50 ,   555 ,   6 ,- ,  1 279 ,- ,- ,- ,   3 ,,,,,,,,,,
,,,área (ha),   227 ,   19 ,   2 ,   72 ,o ,- ,   131 ,- ,- ,- ,o ,,,,,,,,,,
,,Câmara de Lobos,expl (nº),  1 583 ,   248 ,   154 ,   514 ,   103 ,- ,  1 240 ,- ,- ,   18 ,   8 ,,,,,,,,,,
,,,área (ha),   369 ,   43 ,   9 ,   109 ,   32 ,- ,   174 ,- ,- ,   2 ,o ,,,,,,,,,,
,,Funchal,expl (nº),  1 177 ,   36 ,   71 ,  1 021 ,   8 ,- ,   433 ,   3 ,- ,   2 ,   2 ,,,,,,,,,,
,,,área (ha),   235 ,   9 ,   4 ,   189 ,   5 ,- ,   27 ,o ,- ,... ,... ,,,,,,,,,,
,,Machico,expl (nº),   978 ,   63 ,   80 ,   477 ,   5 ,- ,   834 ,   2 ,- ,   71 ,- ,,,,,,,,,,
,,,área (ha),   232 ,   6 ,   4 ,   41 ,o ,- ,   167 ,... ,- ,   8 ,- ,,,,,,,,,,
,,Ponta do Sol,expl (nº),   844 ,   58 ,   56 ,   690 ,   9 ,- ,   343 ,   1 ,- ,- ,   1 ,,,,,,,,,,
,,,área (ha),   187 ,   12 ,   4 ,   152 ,   1 ,- ,   17 ,... ,- ,- ,... ,,,,,,,,,,
,,Porto Moniz,expl (nº),   512 ,   88 ,   19 ,   28 ,   2 ,- ,   504 ,- ,- ,- ,- ,,,,,,,,,,
,,,área (ha),   127 ,   9 ,   1 ,   3 ,... ,- ,   113 ,- ,- ,- ,- ,,,,,,,,,,
,,Ribeira Brava,expl (nº),  1 454 ,   225 ,   154 ,   622 ,   241 ,- ,  1 103 ,   1 ,- ,   15 ,   2 ,,,,,,,,,,
,,,área (ha),   226 ,   19 ,   14 ,   77 ,   37 ,- ,   80 ,... ,- ,o ,... ,,,,,,,,,,
,,Santa Cruz,expl (nº),   620 ,   86 ,   105 ,   376 ,   6 ,- ,   275 ,- ,- ,   86 ,- ,,,,,,,,,,
,,,área (ha),   105 ,   19 ,   7 ,   45 ,o ,- ,   19 ,- ,- ,   11 ,- ,,,,,,,,,,
,,Santana,expl (nº),  1 653 ,   335 ,   346 ,   458 ,   11 ,- ,  1 444 ,   2 ,- ,   139 ,   2 ,,,,,,,,,,
,,,área (ha),   610 ,   62 ,   45 ,   47 ,   1 ,- ,   433 ,... ,- ,   20 ,... ,,,,,,,,,,
,,São Vicente,expl (nº),  1 247 ,   127 ,   118 ,   93 ,   19 ,- ,  1 189 ,- ,- ,   110 ,   1 ,,,,,,,,,,
,,,área (ha),   349 ,   18 ,   12 ,   6 ,   2 ,- ,   292 ,- ,- ,   17 ,... ,,,,,,,,,,
,Ilha de Porto Santo ( Porto Santo ),,expl (nº),   121 ,   5 ,- ,- ,- ,- ,   120 ,   1 ,- ,- ,- ,,,,,,,,,,
,,,área (ha),   67 ,   1 ,- ,- ,- ,- ,   66 ,... ,- ,- ,- ,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
