Actividade remunerada exterior à exploração da população agrícola familiar (Ilha da Madeira - Ponta do Sol),,,,,,,,
,,,,,,,,Pág. 1/2
,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol
População agrícola familiar,,  44 456 ,  43 984 ,  5 282 ,  5 811 ,  3 587 ,  4 233 ,  3 980 
,Actividade exterior - principal,  14 054 ,  13 887 ,  1 137 ,  2 090 ,  1 410 ,  1 566 ,  1 047 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",  1 503 ,  1 498 ,   74 ,   179 ,   91 ,   285 ,   174 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",   145 ,   140 ,   13 ,   24 ,   9 ,   36 ,   1 
,"Pesca, aquacultura e actividades dos seviços relacionados",   111 ,   111 ,   4 ,   8 ,   1 ,   27 ,   3 
,Indústrias alimentares das bebidas e do tabaco,   320 ,   320 ,   24 ,   27 ,   42 ,   79 ,   28 
,Outras indústrias,  1 750 ,  1 748 ,   52 ,   327 ,   150 ,   93 ,   85 
,"Produção e distribuição de  electricidade, gás e água",   222 ,   222 ,   35 ,   10 ,   31 ,   21 ,   15 
,Construção,  2 750 ,  2 718 ,   306 ,   563 ,   86 ,   354 ,   242 
,Comércio por grosso e retalho,  1 263 ,  1 244 ,   90 ,   295 ,   193 ,   46 ,   96 
,Alojamento e restauração,   719 ,   699 ,   53 ,   124 ,   101 ,   72 ,   11 
,Administração pública,   983 ,   975 ,   52 ,   70 ,   141 ,   90 ,   42 
,Educação,   670 ,   655 ,   62 ,   79 ,   109 ,   56 ,   70 
,Saúde e acção social,   435 ,   433 ,   54 ,   46 ,   75 ,   53 ,   23 
,Outras,  3 183 ,  3 124 ,   318 ,   338 ,   381 ,   354 ,   257 
,Actividade exterior - secundária,   359 ,   359 ,   5 ,   50 ,   7 ,   34 ,   14 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",   75 ,   75 ,   1 ,   30 ,   3 ,   1 ,   4 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",- ,- ,- ,- ,- ,- ,- 
,"Pesca, aquacultura e actividades dos seviços relacionados",   3 ,   3 ,- ,- ,- ,   1 ,- 
,Indústrias alimentares das bebidas e do tabaco,   6 ,   6 ,- ,- ,- ,   4 ,   1 
,Outras indústrias,   190 ,   190 ,- ,   16 ,   1 ,   5 ,   3 
,"Produção e distribuição de  electricidade, gás e água",   1 ,   1 ,- ,- ,- ,- ,   1 
,Construção,   23 ,   23 ,   1 ,   2 ,- ,   9 ,- 
,Comércio por grosso e retalho,   36 ,   36 ,- ,   1 ,   2 ,   4 ,   3 
,Alojamento e restauração,   2 ,   2 ,- ,- ,   1 ,   1 ,- 
,Administração pública,   6 ,   6 ,- ,- ,- ,   5 ,- 
,Educação,- ,- ,- ,- ,- ,- ,- 
,Saúde e acção social,- ,- ,- ,- ,- ,- ,- 
,Outras,   17 ,   17 ,   3 ,   1 ,- ,   4 ,   2 
Produtor Singular,,  14 284 ,  14 150 ,  1 831 ,  1 736 ,  1 234 ,  1 320 ,  1 251 
,Actividade exterior - principal,  4 499 ,  4 427 ,   349 ,   549 ,   399 ,   572 ,   308 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",   865 ,   862 ,   36 ,   86 ,   54 ,   212 ,   88 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",   58 ,   53 ,   4 ,   6 ,   4 ,   12 ,   1 
,"Pesca, aquacultura e actividades dos seviços relacionados",   47 ,   47 ,   4 ,   2 ,- ,   13 ,   1 
,Indústrias alimentares das bebidas e do tabaco,   124 ,   124 ,   10 ,   8 ,   21 ,   32 ,   7 
,Outras indústrias,   612 ,   612 ,   15 ,   77 ,   49 ,   34 ,   32 
,"Produção e distribuição de  electricidade, gás e água",   104 ,   104 ,   11 ,   4 ,   14 ,   9 ,   8 
,Construção,   693 ,   684 ,   67 ,   143 ,   30 ,   91 ,   47 
,Comércio por grosso e retalho,   482 ,   476 ,   54 ,   100 ,   66 ,   20 ,   40 
,Alojamento e restauração,   133 ,   129 ,   7 ,   15 ,   20 ,   12 ,   1 
,Administração pública,   366 ,   361 ,   22 ,   17 ,   38 ,   33 ,   12 
,Educação,   89 ,   86 ,   9 ,   11 ,   12 ,   6 ,   10 
,Saúde e acção social,   77 ,   77 ,   10 ,   4 ,   13 ,   8 ,   5 
,Outras,   849 ,   812 ,   100 ,   76 ,   78 ,   90 ,   56 
,Actividade exterior - secundária,   222 ,   222 ,   5 ,   33 ,   5 ,   22 ,   8 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",   55 ,   55 ,   1 ,   24 ,   2 ,   1 ,   4 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",- ,- ,- ,- ,- ,- ,- 
,"Pesca, aquacultura e actividades dos seviços relacionados",   3 ,   3 ,- ,- ,- ,   1 ,- 
,Indústrias alimentares das bebidas e do tabaco,   4 ,   4 ,- ,- ,- ,   3 ,- 
,Outras indústrias,   107 ,   107 ,- ,   6 ,- ,   3 ,   2 
,"Produção e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- ,- 
,Construção,   13 ,   13 ,   1 ,   1 ,- ,   6 ,- 
,Comércio por grosso e retalho,   24 ,   24 ,- ,   1 ,   2 ,   3 ,   1 
,Alojamento e restauração,   2 ,   2 ,- ,- ,   1 ,   1 ,- 
,Administração pública,   3 ,   3 ,- ,- ,- ,   2 ,- 
,Educação,- ,- ,- ,- ,- ,- ,- 
,Saúde e acção social,- ,- ,- ,- ,- ,- ,- 
,Outras,   11 ,   11 ,   3 ,   1 ,- ,   2 ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
