Produtor singular segundo a OTE e as classes de idade (Bovinos para gado/carne - Ilha da Madeira - Ponta do Sol),,,,,,,,,,,,
,,,,,,,,,,,,Pág. 1/4
REGIÃO AGRÁRIA,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
Ilha / Concelho,,,nº de indivíduos,,,,,,,,,
MADEIRA,,,,,,,,,,,,
,,Total,  14 284 ,   15 ,  1 975 ,  1 133 ,  1 739 ,  2 730 ,- ,   894 ,   14 ,   14 
,,15 - 24,   59 ,- ,   11 ,   10 ,   6 ,   10 ,- ,   1 ,- ,- 
,,25 - 34,   533 ,- ,   92 ,   75 ,   56 ,   76 ,- ,   14 ,   1 ,   1 
,,35 - 44,  1 463 ,   2 ,   225 ,   161 ,   150 ,   173 ,- ,   70 ,- ,   3 
,,45 - 54,  2 589 ,   3 ,   361 ,   229 ,   271 ,   458 ,- ,   147 ,   6 ,   2 
,,55 - 64,  3 539 ,   3 ,   490 ,   251 ,   409 ,   633 ,- ,   256 ,   4 ,   3 
,,>= 65,  6 101 ,   7 ,   796 ,   407 ,   847 ,  1 380 ,- ,   406 ,   3 ,   5 
,Ilha da Madeira,,,,,,,,,,,
,,Total,  14 150 ,   12 ,  1 973 ,  1 132 ,  1 636 ,  2 730 ,- ,   894 ,   13 ,   10 
,,15 - 24,   59 ,- ,   11 ,   10 ,   6 ,   10 ,- ,   1 ,- ,- 
,,25 - 34,   530 ,- ,   92 ,   75 ,   54 ,   76 ,- ,   14 ,   1 ,   1 
,,35 - 44,  1 443 ,   2 ,   224 ,   161 ,   137 ,   173 ,- ,   70 ,- ,   3 
,,45 - 54,  2 555 ,   2 ,   360 ,   229 ,   245 ,   458 ,- ,   147 ,   5 ,   1 
,,55 - 64,  3 504 ,   2 ,   490 ,   250 ,   381 ,   633 ,- ,   256 ,   4 ,   2 
,,>= 65,  6 059 ,   6 ,   796 ,   407 ,   813 ,  1 380 ,- ,   406 ,   3 ,   3 
,,Calheta,,,,,,,,,,
,,Total,  1 831 ,- ,   369 ,   58 ,   161 ,   279 ,- ,   117 ,   7 ,   2 
,,15 - 24,   6 ,- ,   1 ,- ,- ,   1 ,- ,- ,- ,- 
,,25 - 34,   59 ,- ,   16 ,   4 ,   8 ,   8 ,- ,   2 ,- ,- 
,,35 - 44,   172 ,- ,   35 ,   15 ,   6 ,   23 ,- ,   8 ,- ,   1 
,,45 - 54,   287 ,- ,   60 ,   9 ,   15 ,   52 ,- ,   12 ,   1 ,   1 
,,55 - 64,   493 ,- ,   92 ,   10 ,   42 ,   69 ,- ,   40 ,   3 ,- 
,,>= 65,   814 ,- ,   165 ,   20 ,   90 ,   126 ,- ,   55 ,   3 ,- 
,,Câmara de Lobos,,,,,,,,,,
,,Total,  1 736 ,- ,   158 ,   176 ,   412 ,   460 ,- ,   110 ,- ,- 
,,15 - 24,   6 ,- ,   1 ,   5 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   53 ,- ,   4 ,   15 ,   11 ,   10 ,- ,   1 ,- ,- 
,,35 - 44,   148 ,- ,   14 ,   25 ,   30 ,   35 ,- ,   4 ,- ,- 
,,45 - 54,   311 ,- ,   43 ,   42 ,   53 ,   76 ,- ,   15 ,- ,- 
,,55 - 64,   431 ,- ,   54 ,   29 ,   106 ,   95 ,- ,   29 ,- ,- 
,,>= 65,   787 ,- ,   42 ,   60 ,   212 ,   244 ,- ,   61 ,- ,- 
,,Funchal,,,,,,,,,,
,,Total,  1 234 ,- ,   34 ,   89 ,   74 ,   811 ,- ,   46 ,- ,   1 
