Produtor singular segundo a OTE e as classes de idade (Não classificados - Ilha de Porto Santo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha / Concelho,,,nº de indivíduos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Porto Moniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,   3 ,   1 ,- ,   260 ,   14 ,   3 ,   14 ,   8 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,   3 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   1 ,- ,- ,   12 ,- ,   1 ,   1 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,- ,   26 ,   3 ,- ,   1 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   2 ,   1 ,- ,   57 ,   2 ,   2 ,   7 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,- ,- ,   64 ,   5 ,- ,   1 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,- ,- ,   98 ,   4 ,- ,   4 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ribeira Brava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,   3 ,- ,   857 ,   16 ,   1 ,   4 ,   61 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,   1 ,- ,   2 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,- ,- ,   52 ,   2 ,- ,- ,   5 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,- ,   123 ,   1 ,- ,- ,   13 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,   1 ,- ,   183 ,   3 ,- ,   1 ,   14 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,- ,- ,   218 ,   8 ,   1 ,   1 ,   14 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,   1 ,- ,   279 ,   2 ,- ,   2 ,   15 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,   2 ,   8 ,   8 ,   334 ,   12 ,   5 ,   35 ,   30 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,   1 ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,- ,   1 ,   8 ,- ,- ,   2 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,   1 ,   1 ,   27 ,   2 ,- ,   5 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,   3 ,   3 ,   56 ,   5 ,   1 ,   3 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
