População e mão-de-obra agrícola familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,População familiar total,,,,População familiar com tempo                                                                                          de actividade na exploração,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha / Concelho,,,Total,Produtor,Cônjuge,Outros membros,Total,Produtor,Cônjuge,Outros membros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADEIRA,,ind (nº),  44 456 ,  14 284 ,  9 007 ,  21 165 ,  32 199 ,  14 284 ,  7 710 ,  10 205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  11 203 ,  5 932 ,  2 756 ,  2 515 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilha da Madeira,ind (nº),  43 984 ,  14 150 ,  8 891 ,  20 943 ,  32 043 ,  14 150 ,  7 697 ,  10 196 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  11 120 ,  5 857 ,  2 751 ,  2 512 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calheta,ind (nº),  5 282 ,  1 831 ,  1 126 ,  2 325 ,  4 056 ,  1 831 ,  1 017 ,  1 208 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 495 ,   777 ,   394 ,   324 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Câmara de Lobos,ind (nº),  5 811 ,  1 736 ,  1 081 ,  2 994 ,  4 289 ,  1 736 ,   950 ,  1 603 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 142 ,   599 ,   230 ,   313 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funchal,ind (nº),  3 587 ,  1 234 ,   654 ,  1 699 ,  2 114 ,  1 234 ,   352 ,   528 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   588 ,   391 ,   93 ,   104 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Machico,ind (nº),  4 233 ,  1 320 ,   878 ,  2 035 ,  3 015 ,  1 320 ,   728 ,   967 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   938 ,   467 ,   236 ,   235 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ponta do Sol,ind (nº),  3 980 ,  1 251 ,   755 ,  1 974 ,  2 907 ,  1 251 ,   692 ,   964 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 236 ,   626 ,   317 ,   293 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porto Moniz,ind (nº),  1 747 ,   581 ,   366 ,   800 ,  1 218 ,   581 ,   343 ,   294 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   556 ,   305 ,   158 ,   93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ribeira Brava,ind (nº),  5 720 ,  1 690 ,  1 018 ,  3 012 ,  4 039 ,  1 690 ,   836 ,  1 513 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 352 ,   742 ,   271 ,   339 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santa Cruz,ind (nº),  3 967 ,  1 085 ,   744 ,  2 138 ,  3 000 ,  1 085 ,   668 ,  1 247 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 089 ,   514 ,   238 ,   337 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santana,ind (nº),  5 894 ,  2 017 ,  1 343 ,  2 534 ,  4 535 ,  2 017 ,  1 234 ,  1 284 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 867 ,   978 ,   539 ,   350 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,São Vicente,ind (nº),  3 763 ,  1 405 ,   926 ,  1 432 ,  2 870 ,  1 405 ,   877 ,   588 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   857 ,   458 ,   275 ,   124 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilha de Porto Santo ( Porto Santo ),ind (nº),   472 ,   134 ,   116 ,   222 ,   156 ,   134 ,   13 ,   9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   83 ,   75 ,   5 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
