"Principais Culturas Temporárias (Dão-Lafões, página 1)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 8/9
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
Dão-Lafões,,,,,,,,,,,,
,,Culturas temporárias,"23,520","43,598","23,130","27,394","18,018","16,200","16,531","15,273","3,543",925
,,Cereais para grão,"21,197","14,069","20,854","13,412","2,363",668,"1,146",413,"1,272",242
,,Leguminosas secas para grão,"17,740","3,073","17,289","2,960","1,248",94,214,20,"1,046",74
,,Prados temporários,"1,613","1,082","1,526","1,046",127,32,- ,- ,127,32
,,Culturas forrageiras,"17,962","20,445","8,062","5,431","16,536","15,006","16,274","14,749","1,085",244
,,Batata,"20,372","4,474","19,480","4,174","2,183",301,47,4,"2,145",292
,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,79,37,77,36,3,2,1,... ,2,... 
,,Culturas hortícolas,"3,052",333,"2,706",293,445,31,311,22,138,7
,,Flores e plantas ornamentais,83,11,83,11,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,159,43,37,6,127,37,126,37,2,... 
,,Sementes e propágulos de outras culturas não lenhosas,6,o ,5,o ,1,... ,1,... ,- ,- 
,,Outras culturas temporárias,71,7,38,2,38,4,34,4,5,o 
,Aguiar da Beira,,,,,,,,,,,
,,Culturas temporárias,"1,048","3,612","1,047","2,252",941,"1,359",934,"1,343",44,17
,,Cereais para grão,994,"1,155",990,"1,119",62,38,44,30,18,8
,,Leguminosas secas para grão,852,113,851,113,5,o ,1,... ,4,o 
,,Prados temporários,26,29,26,29,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,942,"1,689",229,366,934,"1,322",933,"1,314",15,7
,,Batata,"1,032",622,"1,029",620,15,2,- ,- ,15,2
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Carregal do Sal,,,,,,,,,,,
,,Culturas temporárias,971,"1,137",768,786,535,352,153,119,430,233
,,Cereais para grão,832,407,646,325,283,84,- ,- ,283,84
,,Leguminosas secas para grão,754,99,521,72,299,29,- ,- ,299,29
,,Prados temporários,49,20,47,20,2,... ,- ,- ,2,... 
,,Culturas forrageiras,355,355,227,197,223,158,153,119,93,38
,,Batata,909,232,654,156,348,77,- ,- ,348,77
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,2,... ,1,... ,1,... ,- ,- ,1,... 
,,Culturas hortícolas,57,18,45,13,22,4,- ,- ,22,4
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Castro Daire,,,,,,,,,,,
,,Culturas temporárias,"2,086","3,721","2,086","2,235","1,929","1,485","1,918","1,472",82,11
,,Cereais para grão,"2,020","1,327","2,019","1,241",262,85,233,80,41,6
,,Leguminosas secas para grão,"1,504",269,"1,503",265,31,1,3,o ,28,1
,,Prados temporários,91,60,88,59,5,1,- ,- ,5,1
,,Culturas forrageiras,"1,940","1,658",644,265,"1,903","1,395","1,901","1,392",25,3
,,Batata,"1,890",396,"1,886",394,25,2,1,... ,24,2
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,100,9,100,9,3,o ,3,o ,- ,- 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,7,o ,7,o ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,37,5,11,o ,31,4,30,4,2,... 
,Mangualde,,,,,,,,,,,
,,Culturas temporárias,"1,671","4,192","1,667","3,065",812,"1,130",752,"1,100",123,24
,,Cereais para grão,"1,389",942,"1,385",926,37,16,21,15,17,o 
,,Leguminosas secas para grão,"1,266",209,"1,259",203,31,1,9,1,22,o 
,,Prados temporários,265,272,262,269,11,3,- ,- ,11,3
,,Culturas forrageiras,996,"2,221",695,"1,125",747,"1,093",738,"1,083",16,8
,,Batata,"1,593",498,"1,578",485,82,11,2,... ,80,10
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,491,46,488,45,5,o ,- ,- ,5,o 
,,Flores e plantas ornamentais,3,4,3,4,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Mortágua,,,,,,,,,,,
,,Culturas temporárias,848,"1,660",848,980,796,680,787,652,158,33
,,Cereais para grão,807,596,806,572,94,23,65,17,32,7
,,Leguminosas secas para grão,522,77,515,73,35,4,27,3,9,o 
,,Prados temporários,22,5,21,5,1,... ,- ,- ,1,... 
,,Culturas forrageiras,817,787,604,148,786,639,782,625,67,12
,,Batata,768,181,756,169,87,15,12,1,79,12
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,9,4,9,4,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,15,5,11,4,4,1,4,1,- ,- 
,,Flores e plantas ornamentais,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Nelas,,,,,,,,,,,
,,Culturas temporárias,"1,232","1,308","1,197","1,002",394,306,255,266,173,39
,,Cereais para grão,905,260,869,249,69,9,16,4,54,7
,,Leguminosas secas para grão,713,61,679,54,76,5,28,4,49,2
,,Prados temporários,90,179,87,171,8,7,- ,- ,8,7
,,Culturas forrageiras,373,566,241,298,235,268,224,259,23,9
,,Batata,"1,168",233,"1,114",220,135,13,1,... ,135,12
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,70,7,70,7,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,3,1,3,1,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Oliveira de Frades,,,,,,,,,,,
,,Culturas temporárias,"1,067","2,600","1,066","1,392","1,015","1,209","1,011","1,198",58,11
,,Cereais para grão,"1,018",796,"1,013",785,66,11,60,10,7,o 
,,Leguminosas secas para grão,888,242,882,241,33,1,26,1,8,o 
,,Prados temporários,200,105,199,105,1,... ,- ,- ,1,... 
,,Culturas forrageiras,"1,010","1,374",427,205,"1,000","1,169",997,"1,157",44,11
,,Batata,702,48,697,48,9,o ,3,o ,6,o 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,4,1,4,1,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,11,1,10,1,2,... ,2,... ,- ,- 
,,Flores e plantas ornamentais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,59,32,15,4,48,28,48,28,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
