"Explorações com rega e drenagem (Dão-Lafões, página 1)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 7/8
,,,,Dão-Lafões,Aguiar da Beira,Carregal do Sal,Castro Daire,Mangualde,Mortágua,Nelas,Oliveira de Frades
Superfície irrigável,,,expl (nº),"24,058","1,062","1,012","2,097","1,706",811,"1,335","1,088"
,,,área (ha),"37,828","2,838","1,594","3,383","4,329",667,"1,981","1,714"
Sistema de rega ,,,,,,,,,,,
,Colectivo estatal,,expl (nº),"1,817",17,2,228,22,64,48,32
,Colectivo privado,,expl (nº),"6,438",199,5,"1,599",36,157,44,590
,Individual,,expl (nº),"20,945",888,"1,009","1,044","1,682",747,"1,314",826
Origem das águas de rega,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"22,060","1,016","1,005","1,857","1,659",630,"1,316",870
,Albufeira (barragem),,expl (nº),138,- ,2,16,8,12,3,19
,Açude,,expl (nº),"1,712",16,11,383,32,126,2,639
,Charca,,expl (nº),"1,756",68,43,204,112,9,46,4
,Curso de água natural,,expl (nº),"6,314",192,132,663,195,334,97,256
,Outra,,expl (nº),504,21,2,5,32,87,6,1
Método de colocação de água no terreno,,,,,,,,,,,
,Sem elevação,,expl (nº),"11,295",176,65,"1,986",264,307,149,864
,Com elevação,,expl (nº),"19,121","1,045","1,007",499,"1,665",737,"1,306",635
,,Motor electrico,expl (nº),"6,040",53,481,118,576,98,385,366
,,Motor a carburante,expl (nº),"16,075","1,014",773,401,"1,493",695,"1,174",370
,,Outros meios,expl (nº),131,9,1,14,3,11,3,7
Superfície drenada,,,expl (nº),35,- ,- ,- ,- ,3,2,- 
,,,área (ha),42,- ,- ,- ,- ,o ,... ,- 
Superfície com encharcamento,,,expl (nº),385,1,- ,- ,- ,110,- ,- 
,,,área (ha),108,... ,- ,- ,- ,31,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
