"Principais Características da População Familiar - Homem/Mulher (Pinhal Litoral, página 4)",,,,,,,,,,
,,,,,,,,1999,,
,,,,,,,,pág. 10/24,,
,,,Pinhal Litoral,Batalha,Leiria,Marinha Grande,Pombal,Porto de Mós,,
,,,nº de indivíduos,,,,,,,
Homem / Mulher,,,,,,,,,,
População familiar,,,"35,808","2,782","13,890",563,"14,010","4,563",,
Nível de instrução,,,,,,,,,,
,Não sabe ler nem escrever,,"5,764",431,"1,800",83,"2,765",685,,
,Sabe ler e escrever,,"6,015",444,"1,925",61,"2,778",807,,
,Básico - 1º ciclo,,"13,217","1,110","5,613",236,"4,546","1,712",,
,Básico - 2º ciclo,,"4,303",297,"1,778",60,"1,652",516,,
,Básico - 3º ciclo,,"3,095",216,"1,300",57,"1,141",381,,
,Secundário agrícola,,69,7,20,2,30,10,,
,Secundário não agrícola,,"2,323",200,"1,005",34,775,309,,
,Politécnico / Superior agrícola,,58,4,29,2,14,9,,
,Politécnico / Superior não agrícola,,964,73,420,28,309,134
Formação profissional agrícola,,,,,,,,
,Exclusivamente prática,,"31,646","2,357","12,404",519,"12,412","3,954"
,Curta duração,,461,100,129,6,134,92
,Longa duração,,199,20,67,- ,69,43
,Longa e curta duração,,143,15,52,- ,26,50
,Completa,,127,11,49,4,44,19
Tempo de actividade agrícola ,,,,,,,,
,Sem actividade,,"4,199",358,"1,551",62,"1,321",907
,Tempo parcial,,"29,028","2,193","11,237",480,"11,661","3,457"
,,> 0 - < 25%,"15,783",952,"6,820",144,"5,714","2,153"
,,25 - < 50%,"5,395",489,"2,095",158,"2,006",647
,,50 - < 75%,"3,613",364,"1,170",102,"1,540",437
,,75 - < 100%,"4,237",388,"1,152",76,"2,401",220
,Tempo completo,,"2,581",231,"1,102",21,"1,028",199
Actividades remuneradas exterior à exploração,,,,,,,,
,Principal,,"12,243",975,"5,109",217,"4,389","1,553"
,,Sector primário,736,37,329,5,326,39
,,Sector secundário,"5,914",447,"2,365",106,"2,207",789
,,Sector terciário,"5,593",491,"2,415",106,"1,856",725
,Secundária,,193,11,78,- ,70,34
,,Sector primário,75,2,37,- ,29,7
,,Sector secundário,37,3,8,- ,15,11
,,Sector terciário,81,6,33,- ,26,16
Situação na profissão exterior à exploração,,,,,,,,
,Patrão/empregador,,"1,046",71,419,33,310,213
,Trabalhador por conta própria,,"1,761",173,640,25,716,207
,Trabalhador por conta de outrem,,"9,385",709,"4,011",156,"3,390","1,119"
,Trabalhador familiar remunerado,,137,6,71,1,23,36
,Outra situação,,107,27,46,2,20,12
Dirigente na população familiar,,,"12,159","1,048","4,647",203,"4,748","1,513"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
